a341, 085b
87dd, 44b7
c5cf, 685d
571f, a904
a538, a599
1414, 7e58
601e, 81c2
4a92, 8b24
4695, 1680
b11b, 940f
195c, 3db0
4fc8, b3e6
6df3, ee7a
efb5, ec49
d327, 32e8
b8f8, 4304
16b1, a369
0a64, bdc1
9287, cc7d
2e02, 2ae6
f3fa, c7ae
78d8, 781c
e0ab, da76
adca, f98c
ddc2, 0983
a55b, fbc8
c376, b191
3528, d34d
844e, 3481
10fc, 763f
d566, d600
8d39, 128d
f6aa, 15b3
8a81, a3c3
be1d, 4607
8240, 3286
5618, 9b91
3d68, 7b67
3190, 4650
4e48, 2893
3005, 850f
5cb0, bfef
1d02, 8d04
dafb, 71a5
e0d6, e5d6
0ca1, 8ac4
0cc8, a085
86b8, 9cf0
7e3c, 8acc
33fb, 82f6
53b6, f4b1
059e, e366
210f, c391
ef9b, e575
d693, 3928
19b8, 6125
eb30, e706
2350, 32f0
4c10, 4fff
a12c, 0eec
57b4, 9a7e
b0d1, 9fb3
a999, 628c
baf4, 53c9
7578, 3098
cec3, 4b19
1fe1, 86be
4566, 0278
b243, c522
2fd4, 961b
8c98, 73bd
00d4, b52e
06eb, bce6
53c6, 0d0e
fbca, b83c
cbb9, 8686
3c79, 4fdb
09da, 42f3
5697, 52b8
020a, 1223
6414, 96b7
55e5, 6c40
070b, 5eff
3143, 0729
6ded, f887
283a, a763
c3e6, 896e
c819, 7f73
1947, 3809
70b3, 1527
ec05, a5df
01b7, 2496
5398, c57e
9a7c, f7bb
de3d, c9d4
55ce, 6444
d6cb, e5a5
fa91, f233
d274, e11a
fd1e, 9b07
b460, c8c9
e58f, a91f
dcc2, df7f
697e, ef1a
693d, f71f
f84f, a21d
079c, aeb6
e56f, 97fd
29a1, 42bb
cb3a, b949
27e0, c2f0
809c, e040
0eec, a12c
90af, e060
ccf0, fd5e
24d0, 22a6
9767, c5ac
e3d8, 302d
f118, ce5e
4c66, 3fc9
433e, 39c7
e7c6, 4d35
8675, 89bb
292a, 15d0
a0ff, 8f9e
1379, 7525
d8dc, e825
c9eb, c02c
933a, 5f06
ab56, ae10
24fa, 3e27
14b5, 1da4
19d6, e2f3
70d5, df86
1f4a, d980
8472, 017f
c191, 6482
2d8a, 02a5
9615, 161d
8fe8, cc00
2d3f, 1e97
4048, d3b1
0afe, 6a03
172e, 7eca
01e7, ea8b
8e42, 4ab4
844e, 3481
d060, 7956
1f4d, 29e8
30a7, 2aee
a454, be52
a3b6, aa50
f111, 3617
699d, ea5f
8d30, c157
76bb, 7c70
8c0d, b417
41cc, d83a
a50a, ebd0
57dd, bb21
9fd2, 28e5
0f81, 3ac8
9afd, cbf1
7027, a20b
d263, 9ec8
8391, ebf7
224f, 5d46
a1cb, 0e1a
7b54, d5bd
a7c6, ffa3
b427, b390
00f7, 0252
69da, 524c
6118, bba4
e065, d50f
9f57, ab84
5dda, 49b9
c04d, ebf5
c0ed, 05e4
530f, 0310
5d32, 955f
bf9c, 5c20
5ae8, 99d6
1d1a, bd60
1f3e, a8cd
2d2b, 263a
849b, 1dd0
5fc2, 5a4b
4ebe, 37e7
827f, 8f18
402f, dc40
55a8, c0c8
d431, 1dfd
f03d, b90d
b82e, 3de5
dc5f, d035
e622, 8981
ae5d, 67fe
5dd4, bd9d
34ec, 7149
cd25, a72f
15b4, 8ac9
c3f7, bb5c
5805, 1188
90a6, b4f8
0161, 80cf
41c6, 4400
0c52, 6bdb
9c21, 7c84
e84f, 14dc
3365, 1559
538f, 5aa5
5628, 73cf
5cbc, ac46
8e63, 1107
dddc, 4def
6273, 38cc
7eae, f698
def5, b9f9
a6fc, 7fd5
1efe, 2467
7026, 1090
a16d, 9ff0
f051, f613
6fa4, 0529
2567, 9a11
f10e, 8007
c6fa, 99c5
13f6, aceb
0e1f, 94cb
d0a7, 7ffb
a3b4, 34f5
b452, b335
1310, 6fd1
cc5f, 6569
b8f9, b03d
e72b, 4f0a
8ad7, 8a16
fcf6, 56f0
f372, 551e
c98e, af74
ad63, 6a51
c671, 44ff
55ed, bfb1
f1ff, a3c8
ed92, bef6
fc53, a5cd
63c5, 7fd7
09c4, 5a56
2dce, 1fb3
3724, 21d8
6402, 9ec3
d52e, 175f
ba93, 9dd7
71f3, 3ec7
fd1e, 9b07
48de, 971a
83e5, ad79
9db2, 86df
911a, 28cc
e824, e748
7ff4, d9e6
2266, d2f6
4823, 4e88
1fb2, d838
29d9, 36b6
5f93, d900
b073, 052d
6f8e, 3ac2
e242, 85be
a86d, fb1e
1831, db2c
c2f9, 56fb
16fa, 40a5
94a5, 1b82
0c06, 92c0
0513, 1b07
067a, 9e2e
af2c, 6389
dc64, 0114
20e1, d98e
60ad, 6912
a926, 9fab
c72a, 582a
cc2a, 9ff2
c9cb, 936a
ec32, ec33
590d, b938
5e84, 52ae
89b1, 8282
a15d, aac7
9c69, 5f0a
aee2, 7ee6
38b1, 8c2b
4cc3, 40f4
3898, 5e5c
d1b1, 7d7d
271b, 1a00
8d97, a4c9
d9ff, 59d5
c2a1, 5bcb
7699, 15c3
8316, 8dd5
2390, 76ba
8ed3, 40e1
efc6, e510
a9af, a555
bb94, bcff
4a96, 2aba
38f4, 3701
9c6e, a2c7
9e25, 4a41
61ae, 25c5
3578, 4156
f82d, acd0
0553, 53fd
237e, 4b36
2feb, 40df
8d93, 13f4
1afd, 1425
579d, 7e46
f189, 08b6
7680, 1c2a
df9e, 35e7
a304, a6ae
b6f2, bae0
af80, 092a
0211, c538
41a3, dd62
7a95, e7df
4ed8, 9e75
884f, 4b4b
999f, 9245
4a3f, e8f6
b903, b6ae
b4b9, bbbb
