3311, 1ddd
a920, 1c77
af0f, a687
1760, 85da
6e7d, 672d
853f, 4606
c9ee, 67c6
f39f, b274
eeba, e015
a166, 8aca
bf35, f18f
f99f, 39c5
bd34, 7567
a205, 26ec
bc8b, caa0
506a, 7072
da5c, c63a
93f7, 74df
4c8f, 4c82
a392, 6e4d
bcd5, 82c5
72d2, 1de1
f74e, 2d51
5026, 6520
43dd, ca7c
9878, 3e35
ffdf, ef5b
1a9b, b6c8
2602, 484d
c239, 2ce5
57a3, ebb2
f815, c410
7eee, 9b0b
1481, 1d9d
2baa, 23e3
9d18, 154c
8382, 4254
a0dd, bd1b
914a, 871d
07a9, c99c
d55b, 7535
9d37, 498b
0614, 1e9b
1755, b266
4599, 7678
d646, e3d1
a4cf, 4768
4676, 053b
da2f, f311
2258, 30a1
bb3d, 72ae
90ac, d1aa
7395, 5b7e
5ac0, 6217
1cbd, 6e18
e1c1, aabf
3ac4, 71e6
08ef, 9935
3bfb, 2fbe
feea, eabd
082b, a725
5cf7, 033e
2a02, 3ae9
2f3a, a1fc
891f, 14bb
1218, 310c
76f0, 121b
5e9f, 75f2
3729, 31a3
fb4c, 25bb
25b9, c91b
70b9, b845
b587, f8f6
9d15, 1802
8bd2, 6958
47e2, 20ea
8d99, 5690
7714, b643
c1a3, f868
5e93, d463
5fb5, 5c9a
99be, 64af
13c6, 64b7
e3c6, 5572
0059, 41d9
b4c8, e4f9
a43d, 4d75
ca9a, 7acd
bee3, cda6
da6c, 7631
90a0, ee30
c346, 895c
9fdd, 93d0
c9c7, 91d4
c4dd, c7b4
738a, aeda
6080, b2d5
1a35, 0d0e
35f3, e7fc
191d, 4ad1
b3ea, 60b4
4fa5, fc2c
dc55, b0b1
d5ec, 6e76
aee8, 5e01
7c64, 456c
f03a, 1236
e7b8, 9d0c
8996, c4db
9c93, 559a
d9d0, bdb9
db96, 3cb2
60b0, 36fb
b840, 2b0d
8317, 8816
2b56, a6ca
2602, 484d
33e8, fb4f
e834, 66b7
e09b, cc0b
e453, 18db
8661, 00cb
7878, 7b5b
be88, 67e4
03a6, 05fa
7ebd, 4ec6
892d, 7a03
c099, 4f6f
7f34, a75d
24d9, 7ced
9335, ec1b
3469, 7755
9692, 6f43
6518, 7fc5
ba8a, 8982
ac21, ae05
955e, a375
01c4, 96ec
27d0, b3ef
c320, b15a
e675, dfbe
4608, 34f6
f013, 34c7
d38f, 3542
feb3, 54be
406f, e0aa
5b93, 3176
67a2, 942b
95b3, 3749
f9cf, 2b7f
3fde, be2f
d29d, fc74
1b02, 3762
99ba, a029
d86d, bc53
0235, 3682
8e2c, c671
c802, 8138
5c1a, 30f3
e0d3, c6c6
0876, 08d6
4b24, bbcf
e1c6, 22be
90a5, f259
b738, 7bf7
07e1, 38da
07be, 5cde
1ecc, ddde
b39a, c52a
e11d, f263
729a, 7c8a
7d34, dbd1
6a4a, 179e
c743, 8e2b
1862, ce91
dfd1, e9dd
6459, 1355
4f2d, 26e9
9f3d, 81d5
d75d, b5fd
656c, a48c
f46d, 3796
96ff, 1e16
058d, 38ff
d0e6, fc35
39de, 7c70
5028, eace
17f3, ce0e
e707, 2c0b
5054, efc2
dc80, c61b
590c, 8cf8
d1c1, ed1d
c52f, bf7b
ee6d, c184
dcc9, bc7d
abd4, 6422
43c9, 9732
10e0, 2195
9216, f05b
db68, 24c2
c20b, 399b
cdf7, df33
3972, e15d
9dec, 93f0
b46b, b115
f8c3, 3e4d
999e, 31da
2ed0, b514
a854, 0339
2dd2, 1bf5
f41f, 0f4e
8648, d3bb
142e, 2121
c7ff, 6f74
f767, fbfd
131d, 0b31
d5ce, a401
48be, 10e7
fcfa, db88
05f6, 3fa3
e95d, e591
33d2, 1341
188d, 464f
c7ce, 88cc
431b, 9923
2fdb, 36cd
8f6e, ad1c
f5f0, 5a8a
71d8, 534d
fc8b, f2fd
f938, cf04
ba5c, 3f77
3ef2, 7e9e
3075, 4c9d
f197, 5603
68bf, d9d4
97d6, ae9b
5753, 0fd9
be14, 295d
f09c, 0a30
b9b2, b9cc
d176, 2fe6
8400, ded4
6e60, 40a6
81d8, 0b48
f0af, d089
e6e7, 1c76
d217, ae18
d86f, 74b4
82c5, bcd5
32b3, 2d94
d01a, e51f
85b5, 85fd
9d58, 1c03
eaa0, 324e
9634, 565b
63b4, 3eb0
61a7, 256b
e109, 2c5f
a78a, e398
27b4, e8e8
7994, 17f5
17c7, ddd6
0b96, a440
19cb, 5f7f
8c4d, f23f
588e, bd59
2d11, a524
7cfb, bf7a
e3fe, a811
aaf6, 2768
0aeb, 5ef8
b82e, 2bdb
769d, 5c39
0215, 10a1
b40b, a32f
5f0e, 5322
4fb7, d4a3
bf4b, 52c3
7760, ef5a
021d, 5a56
4172, 78ce
6589, ff7a
06cf, c3e5
2cdb, 5d45
4413, 5011
24a2, 634f
2ef7, 5494
8c61, 55c9
0078, b22d
e1a9, a3fb
ec9d, 12d6
10e2, 0a26
9fff, f206
0b66, 353b
5146, aa45
1ee5, 9637
7b41, 862a
2264, 3fb4
0ede, 8b58
a28b, 6925
a83c, ad1f
fa4d, ccb9
b5ff, 548c
3d71, 7d87
a95b, e954
4236, 20cb
a45f, cea5
6e98, a856
b958, 4b76
f5d7, 2171
8ac2, f920
3777, 252f
2f98, f846
39ae, d679
c0a1, 6494
bce7, 9545
7c8e, e8c9
1c05, 54ce
c2ae, 2a4a
080d, 4ce7
2f32, 4616
d345, c0f6
8ef1, 3c98
7cc1, a6ef
10fa, bfe8
0eab, 07ca
86bb, 03cc
623b, 7d3b
47f8, 9f23
1e35, 29bc
4291, 56af
d074, 42bd
57e4, bd2e
