8cf3, 77db
79a2, 0272
e2b1, e882
bae6, 7615
9ea9, 8242
ef4e, cd2d
48c8, 8fba
0b36, f14d
5fd1, 3e98
97bb, 2b82
70da, 90a5
5c3f, dd54
8b27, 29dc
72b4, 3631
289a, 3717
3372, 40ba
077a, abdf
aa22, 0aa7
01e1, 6643
45e3, 45c7
8d89, 29cf
c4b8, c31a
fe18, fc1a
3bfd, c346
32ab, 97c4
ccb8, 2826
8361, efcc
d5a8, f2e7
84e1, 539d
774f, 14ab
af17, 8ac3
bc68, a2f6
1f48, 9425
0619, 7689
0cf9, b23f
d267, 29cc
1725, 25ee
108a, 4c83
7f5e, 1a77
f2bf, 71a4
ea79, fa71
482e, 694a
b11b, 6238
673d, e54e
f285, 0afb
756a, efa8
8d37, 8afe
813d, 891e
c09a, 14a2
f270, c994
0260, 68c7
c889, a4bf
935c, 9151
ea22, 9320
2594, 760f
922d, 4352
932d, dfa4
66d3, a111
3384, 43dc
a6e7, c211
3e0e, af52
71ce, 08c5
7d42, eeaa
370e, a6af
2c53, 7087
6fec, 75a9
4bd3, e362
f9fc, 5637
9a42, c878
40a0, d5e4
9900, 9c35
3de5, 331b
71d4, c77c
25dc, 2ba4
8301, 4efc
d335, 78bc
e77b, dfea
4109, 96e7
9a9c, 13c4
8b3f, fc5e
6a9f, 7511
d347, fb73
0069, bcf6
8e95, 5085
24de, 1d87
160a, 73a0
a6b9, b5f6
2ff0, 1797
e31e, eb87
581a, 4bd6
c732, 34b5
cbfd, 947d
9778, 1af5
30c0, b510
01d2, 345a
e4c6, c937
4d38, b4ec
f6fb, ad07
43b8, 0fe5
2e59, 5f06
aa1f, a592
72a7, 60d2
09c3, 58af
3f74, 0cdc
f8d0, beb4
3f1d, 4a3c
3b9c, 4b9f
fc73, 922f
a2b7, d2e9
4bfe, 223e
4c6c, 4565
49a4, 5a02
eedc, 5f4c
1624, 818a
b805, 6b6c
6993, 88d8
e1b3, 3231
d26b, 6831
2525, 6277
9351, 9370
2743, c840
a13a, 0312
0e06, 5964
e0c1, 8b1a
74ba, 8176
c9ac, f3db
3f83, c734
a478, dd17
bd18, 8416
8ee7, 6d85
a875, 10ae
8ab3, bf57
9fa5, 94a2
abdc, 5e0f
2153, 9b82
942c, c8d2
9330, ab0d
8dd6, 8309
b595, 04cc
3b43, 2f8f
a317, 0ca8
6f5d, 767d
1643, a39b
1e60, 9bed
2d7d, 9a8a
b33f, e493
7819, 25d2
a7ec, 7a23
d8ed, cc78
bcdd, 1441
0b2e, 9024
52ec, 1af8
f756, f45a
d4b6, 9010
046b, 693d
7557, b7bc
8aaa, 1979
5e43, 5883
2bde, 9bbc
b804, e1d6
589f, 4f12
1906, 120a
b20e, f1f5
e2bd, dccd
f17e, dd38
5815, e9b7
315c, d29b
d0aa, 2fb9
67b7, 9965
eac5, ec36
d95f, de2f
cd83, e7cf
54ee, 4829
ff73, 75f4
c634, 91fa
2db6, feb0
daaa, d6f4
5b28, 2bc4
2ce5, 78cc
d20d, 1160
e951, 10b3
79c1, 4330
29fa, 3ad6
fa28, 48f8
42e3, d6fa
a951, a35d
2eee, dbd7
efc4, 8795
3e1a, c16d
c0c9, ed28
ae8b, a786
31e8, 9cc1
4945, e5e3
719b, af42
afe2, 2a62
5bdf, 13e6
c6b4, 352a
d9f2, 38cd
57fb, e823
8ec6, b07f
e304, 9b6c
031a, 03a6
da4d, 1ba9
3618, 2d5f
e195, 7c31
2f69, 7107
fb73, d347
31d9, 32a2
8539, 1ee2
4adc, 41d5
ecdc, 6683
ce0c, 7dbd
4a66, e5a4
afcc, 505f
e656, e8f8
1152, be78
95b4, c8dc
0fbd, 566e
5d95, f301
4402, fd88
5ef5, 0490
4825, 55a5
3bf6, b84c
dda3, 4596
b6c8, e6e6
c330, f0ac
2046, f11c
dcaa, c43b
d7ff, 30bf
ba3a, 0049
8b3d, 0d35
ef3e, 2e39
de0c, a5bf
d59e, 5d90
bc1d, afa1
792d, 9d23
e26c, 28c0
045a, 1b13
815e, 674d
5725, 080d
8598, f89f
48bc, 7b7b
136b, 0fb7
f180, 5044
a1de, 546d
42e6, 1add
bf4d, f529
fbed, d244
8a22, 1e5a
673b, a3ae
7064, 1ec5
fb63, c57d
267b, d466
3c61, dfb7
020c, dbf7
32f3, 73d3
ff8f, e831
e9aa, 7019
3e4f, e498
6039, 4305
1c47, d19f
426b, 48d6
cbc7, 1644
8237, 9067
2598, 67d0
740e, eb80
ec30, 49f0
d9ce, 7e5f
829e, 3395
071c, 04ac
e80f, 5aee
975c, 583b
2efc, 4c7c
18bf, 9f6c
10ff, 9466
9566, 7a85
02de, e6ad
ad26, ab96
673e, 8255
a919, a407
c690, 8d83
a098, 5a87
a51e, f55e
47a7, f8f7
f420, f217
ba6c, a3c0
7511, 6a9f
3454, 6194
5063, ef2c
9624, 296d
c533, 70b2
150a, 4880
d238, ec2d
acf2, fdd3
9d2d, ac9e
0be2, 7b03
15d0, 2dfb
90d1, 9830
2dfb, 15d0
476a, a91f
402a, 00d1
2e2a, 34a1
445a, ff80
52ab, 7832
2ca8, 995c
8dca, e2a4
d767, 9474
7aff, e491
b96c, da36
133b, 75c5
5af9, 16e2
209d, 019e
0a21, 87fe
f973, c24a
8e8d, 5911
19c0, 382c
1596, a82a
07a2, a67e
959b, f215
5770, 9e42
0e00, cb31
9899, 827d
f19e, edc4
0bd4, 2eff
c389, b91c
f2fc, 0a54
110c, 19a7
e5e4, ec72
db5a, cdcb
94fc, 3630
2401, 05c8
440c, 090a
