e945, 211f
7d04, 7acd
0eb2, d87c
dd11, 1d0b
e305, a9b5
0b2f, 2bbc
ea67, 7b22
97aa, 0ec5
af32, 1e32
aa4b, ac30
1216, 697a
3792, b211
743c, 7488
5179, 2894
6267, 01e2
6881, 8d83
522e, 3f8d
8be7, 0bf7
d542, c437
dcbe, bcb8
d377, e8db
408c, 43b3
e5bc, 0a71
469b, f0c0
2be2, 2ad5
392d, bc90
ea4c, 3d37
2b64, f004
0726, 1625
3774, 7744
812b, 6ab1
5b6e, 3db0
36b8, c880
4e84, 0e95
a467, 5a17
afe0, 1310
1374, 3ae6
d819, c3f6
b2c9, 5a2f
10f8, 2e74
fc36, 40d3
fd21, 81c7
1de0, d93b
7877, 26e8
eaf8, 283e
7ce0, 56b2
ffd9, 20d6
b3cb, dd1d
07ee, 7ab9
2003, c459
502a, 53a3
8c79, c5af
060a, 42fb
91c1, c217
3a81, c686
da91, cc12
07c7, 95cb
7d95, 8d5d
2ed2, e234
6d5b, c6b1
18dc, f843
ab08, c418
e624, 6936
e80e, d691
e62e, 4866
6759, 2848
3af6, b9de
a6a8, 0f6d
8ad2, 2a44
de50, aaa3
bf21, d947
134b, e6a1
0dfe, dd2e
bda3, 485a
abbd, e0a1
72a9, 02df
16b4, 088d
25fd, 0208
6d05, 11b1
45ed, 64eb
3fa7, ddc9
07ee, 7ab9
1f17, 40a8
0f62, de18
cb91, 0c03
1921, 27e9
2d6f, ff6a
4575, f2c0
4401, b5c3
1acc, 9207
57a0, 9770
69f4, 77c4
5b04, 84a0
ce7d, dbc0
0938, 3a45
d722, 33f5
091f, a581
c3df, bd48
73ad, 6e1d
53b1, f4ad
7448, 9a99
d148, c3e5
6561, 1e4e
8a87, 568a
eb74, b0a4
3c84, e749
36f0, 52b0
b2cb, f9f0
c4f3, 4942
4293, 64ec
fdb1, a77e
0254, f2a2
7289, 9209
3041, 9157
cb6e, d36e
079d, 1e26
1021, 102a
6a3d, 1a8b
d756, e162
009f, 10cc
8ab8, f211
cb18, 46ff
d129, 418a
fe6c, e95b
352b, f88c
4b1f, 2b74
3ee9, a77b
4ae5, 484a
6a61, 4261
da05, 260d
ad09, 2c9c
7e36, 7a9b
dc10, b33a
0758, 1f92
3f97, 14d9
cf40, 1da4
aedf, 38e8
9efd, bc1f
c0cd, de7d
2707, 7bc2
b0d2, da1b
0406, 73fe
a86c, 0a4f
a55a, 07ad
5270, 27cb
3106, d7b1
e9f8, 165d
85ac, 2fc6
4507, 6407
75ed, ddda
3092, d853
360f, 5e56
9c0f, 2739
da74, 9d7a
6e2e, de2a
e33d, 675d
7528, 9d05
dafd, b173
8603, 425e
1d9f, b128
b2c9, 5a2f
c9bb, dc8b
7f5f, 91c2
7802, a213
1c7f, 4774
3e86, cbb4
6348, c3d9
492e, dffe
f367, 4871
0fe7, deb0
87c6, 0919
6417, 7917
a89e, fc1b
4f72, 22d9
60bd, 10b3
d90b, 09db
6c40, 7580
a5e8, 6113
a86b, 5531
9e98, bc91
5500, 26db
1422, 4d95
1cba, b516
adcc, e6a6
adb3, 75b6
bf2b, cb3f
4fe4, c775
23e6, f3a6
0d13, 600a
0d7b, e6b1
0b6b, 6cbd
af23, 2a2f
5759, a43f
b4c5, 4969
6f8d, eda7
23d1, 56fc
7f2d, 1114
b415, bedc
b633, 3d3d
26bb, c500
9b25, 1283
9e68, c1bf
0879, 640f
7060, 593a
e501, 124a
f8c2, 1e76
6c1f, 782b
ecd5, 87d8
ec4a, c9b4
f7a2, 141e
520b, 8ac6
8d7a, 036e
c984, b70f
8137, 8c69
95f5, 8d5c
2a27, 5258
bd87, ddb9
6370, a20d
2077, e97e
e5fd, 86d5
2bcd, b14d
6bf1, 70c1
094d, 894d
d87c, 0eb2
692f, 1597
b88e, 152d
eae8, c9ce
fbe3, f8f5
64f0, 7f5a
9717, 81d5
7ad5, aa63
ff48, b2d8
0124, ab7b
d43f, 72c5
16e4, ecec
595b, ec24
895c, c16c
9bb0, 0d99
ecc9, cc9d
4e29, 5292
ec1c, 37c0
13f7, 8a23
18a0, 787d
d0e7, 16b3
1774, 8744
0ea3, 49fa
ed98, 1757
5d26, 1670
a631, fb54
5457, 8502
c1a2, 9fcf
a70f, 9984
76b6, a5ab
753f, 059f
2b81, 90f7
1c6d, eb07
f6a4, 2ab8
d239, 813f
1358, 3e73
8cbd, fbdb
9ba0, fb70
1ee3, de1f
451e, 97e3
3c23, b72b
2296, 5236
70f0, 66c0
6970, f6d6
876e, 2119
0682, 9800
30e3, 5b7c
bc57, 8a44
354c, 03fc
f92f, 29ff
f3b4, 94a2
363a, e56b
2597, 1fc4
b3e4, 6e1c
31b3, cc53
803a, a6b0
b9b4, c75f
232c, f3fc
dac7, 31af
d6ba, cf0a
8b20, cd2d
5f3f, 0f1c
6900, 7810
f73d, cb63
1efe, 42b3
acfb, a06f
1d95, 3d9a
dea9, 1908
198e, a387
771e, 3264
89c7, 9757
882f, 787c
667e, 062f
36d5, f8c6
00a3, b031
bb87, 3307
a10f, 53f7
4f8d, db17
b1f8, 6338
d217, b196
c9ea, 0fcc
b527, 3c74
430e, cb7d
ae97, ca98
cd5e, d017
90ba, 5cb7
68d7, faf4
1a75, 6a2e
9176, b7d6
774a, ec06
5101, e181
0c5f, 8c86
fecc, 201c
19c3, 5589
9ca7, 98e5
aacf, e506
4a2d, 587a
e944, 0131
e2e2, cc77
99fd, 4e51
e7f0, 8198
ace9, 074f
e40d, b20e
89d6, 163e
5cfd, e884
31f2, 3cd8
d469, 14e2
0dff, 9b00
c225, fad4
caa2, d126
8a11, a378
5bfa, 0092
ce7f, d324
c21e, a017
