2a5d, 5955
4b2d, 8cf2
ee4f, fb08
e0b5, 7165
ed95, 9812
baf4, c67e
01ae, 70a7
fd8a, 9dfe
8082, 22ee
a65e, 5502
055f, 7d7d
65c7, 7976
d15c, 7b43
3a9c, c21b
50bc, 05ce
5a9e, 6b92
012a, 9de5
f9a0, dd3a
a878, 5894
f6d8, 3a69
7a55, c28d
441d, 5b62
bfa3, 9907
d576, 29ba
4865, 34d8
8f94, 7fe3
943b, 5f4d
885f, e8ac
6f96, 1611
2d98, 4bf5
58b5, bff1
b490, 7a7d
8e2a, 3510
1fba, 6a21
d504, bf96
3864, d86f
6b3a, a647
95cf, 419f
84ce, 5c7c
e9bd, 462e
1fa3, a312
ced7, 3049
3e70, c8ed
3fc4, 59f8
e45e, afb2
a47c, 60f5
dc2c, 6441
acaf, 1a79
e426, 780d
e01d, 0b61
313e, b3f5
3ad5, f519
d857, b06a
09a0, 3ec9
6c92, a6c9
d752, 47a2
50c2, f601
0950, ad1e
cfec, 630e
5cb7, ce08
35d7, 12f7
0c53, f9d6
67fc, 9878
6593, efb2
1049, 8d97
7923, 14c8
7c8c, 304b
4766, d116
0b10, 5dd4
865e, f85c
47b0, 9f16
78b5, 79e8
7478, 0652
17b1, 6509
493f, 34f7
4692, 9867
ebc9, 7b28
f96c, 0c5a
c630, 3a90
7f68, b768
3d22, d8ca
9461, 22cc
2548, f145
652f, 5c8a
36c7, d5b7
1439, 5a04
9e48, a0de
cea0, cfed
8e69, ee42
ccb0, eee3
f134, b7f1
b040, d65d
76f3, 09b5
5ed4, d56c
62f6, d98a
2223, d3d1
fee4, 7bb5
2b3c, 2e4c
a6c1, 16f6
5d1e, 10c9
1a58, b20c
7135, a092
5066, eedf
7fbb, 9603
a5a9, 4218
acc3, f8b3
983f, 5533
f622, 3f7e
3e3e, c0bc
5f7e, cde8
8c65, c53e
62f3, 4413
66f9, 1b70
3b2c, cba3
229f, cdf0
cb0f, 364f
7f8e, 9d85
4f64, 19c8
a2ce, 7cf0
c530, 8c40
9f4a, 00dd
5bdc, d19d
c290, 334b
efe2, 2cb7
496b, 99bb
cb7a, 46ed
0800, dda4
92b4, 048d
09bf, 895f
3fd5, 64c1
2e05, 87b8
4b24, ffe6
84f7, 26e7
3135, 6e29
c500, a486
2c7a, 9601
a1f5, 9c9e
ed41, 2c13
4c37, 6132
4dbc, 0123
7fcb, 86cf
6b22, 8f18
64d1, c57e
d472, b174
d82e, 3c25
5a25, c8db
fea6, dd2e
591b, 5642
7ba1, 5e87
d362, ce32
ecdb, a06b
9d5b, ba55
787a, 425c
1871, f44c
e703, 61d1
74b2, 2459
5fb2, 74a8
8502, 5b47
a3e6, 85e9
6acf, 515a
2b29, 4b64
0e8b, 65a8
2a7f, cc6c
567a, 30ea
24ae, a5ae
baa4, 690c
3c48, 7892
a3c9, 1f2f
6eb2, 04dc
430a, 36e8
8505, 9e32
6706, 1ab9
0590, 60a4
797b, 647e
654c, 5439
aa28, 2a20
5d37, 0df8
e5e5, 1baf
cf62, 8500
3534, b431
2720, ebb9
773b, 60d4
87d3, 0963
4b1e, 467d
77ac, 2723
1a21, 743c
0a31, ff69
1eb2, ead3
fd02, 9bf2
e02e, 26d2
2821, a014
16aa, 057b
2c0a, f617
e34b, 699b
0e0f, 255a
f652, 2183
b45a, c582
a64e, 31c0
a775, 0cc8
2314, ad68
3054, d6d4
87cc, cf88
3ffc, bffc
dded, 3eb7
9a1a, 55d7
b811, 3611
eee3, ccb0
bfdc, d27c
2db6, aca9
2e69, 4ae6
666a, f210
02a9, 72df
7ddd, ea00
5310, 3fe0
311c, 3bb5
41e7, e4d7
d34d, 70b9
ecc5, 0c58
95bf, 74b1
1543, ead7
0a10, 60e7
0019, ee71
223c, 9285
059b, a0a4
51bd, fc34
ee88, a2f8
4ba0, deaa
b83b, e33e
f67f, 4d12
ff35, 59d1
c3f9, deb3
6dd6, e018
8544, 697e
e0ad, 3361
dd02, c33a
92b7, 88aa
e78b, 7176
e67a, 66bb
f964, b964
a26a, 2b16
62cb, 8b83
17a4, 0cd6
0a0c, 296f
faf9, 79e6
f7f0, 330b
816c, 0c4d
8de2, 64dc
7da1, 84ad
e448, fb27
a342, a4e1
b498, b28b
81ac, 3ddc
7e3c, 0c6c
0d24, 13dc
c2fc, d2ec
833f, 0e61
c075, d0ce
3f73, 1b10
f4cd, 45a3
9fa9, 11f9
d54e, 2ce4
a443, 6224
287f, 7d40
2044, fb8f
e76a, e94a
e050, 0d3e
a2af, dcd3
535c, 872c
207f, fcbc
6c55, 82e4
f7a2, b752
676a, 4742
f42f, c823
8640, e3ba
67c9, 6294
5f34, 5adf
bb5c, 3939
8191, 058b
9904, 0904
b110, c9ee
622d, 5b48
1e22, d130
379c, c33c
58d1, 5ef0
99ab, c27d
6767, c17b
4975, ff6f
9cda, 0e74
7ab4, cca6
b533, f05e
7ac6, 1a27
0afa, 8ae2
85cc, e8fe
1972, f1ce
84ae, 8fbe
f5b2, 1a5a
1a97, a1f6
1b30, c59d
be08, a8e5
98e9, 0f18
ae7e, a9de
3581, 4d5d
087b, 5fc3
72b0, 69d0
2709, 8772
ed65, 00b8
86f1, 9385
9999, 0748
dc0e, 6b0e
dc10, c9e0
ae35, 7bd5
b1c6, e476
50ba, 064c
d781, 315f
a717, 6c21
b317, b876
e8aa, ded0
4b41, 2b56
d68e, e650
a021, 450c
1c41, 8674
9ba3, 5924
8a49, be33
2f6e, dc6e
da5c, 7b88
d426, cbd1
6c13, 75e5
b7b5, cb7e
0909, d1f3
cf2e, 5856
0208, a479
2946, c9c6
791e, 697b
5eee, 2062
5598, 5f06
da34, f29c
4d7f, fd19
dbf5, ed42
025e, a809
