19e6, 131d
8dde, 9ae0
4090, 4f9c
7699, 1379
bd89, 404c
1565, 193b
e71f, c4f4
8e16, 234f
08a0, afc2
bf33, 175d
617c, de8d
8455, 8527
2c4f, c77c
dccc, a166
6fb0, 638c
bf1d, 68ff
e1a7, 84f1
abd1, f04a
47a1, f277
1fe8, 63f5
002a, 0187
4c45, 6b75
7ea1, 69f6
01e0, 8e47
3cb2, 3eaa
8510, 8dda
055b, 86b1
1af1, 2846
9587, 2858
5b0f, 5e6a
44d8, 20f8
85c8, e68a
9a04, beeb
e2c2, e2b0
ad05, 5a93
fad3, b179
a83a, 67f9
447d, 1acf
e791, 01dc
c6a0, fda7
5ce8, 597d
d563, d296
eeeb, 73ff
2728, 2a9d
1dab, 28c0
7045, 7053
24bd, 21d3
0b05, aca8
0b83, 00f1
d8a6, d2b1
81a4, 870d
5655, aace
1c6d, 1938
7ff8, ee16
65b6, b39f
8cb3, 81af
51d6, 0209
8319, 81da
3b9b, 4e9f
8221, ffc9
7c9f, 75c4
a3e0, a320
bb59, 0869
cb2f, d181
f50e, ff02
f270, cf1c
6099, 5118
0e8b, 0bd5
ad81, 74e0
4b9f, 1d9a
25a3, 291d
1b03, 6981
5c2a, b394
d460, 6e08
b940, b44d
7ffd, 73f8
5741, 30b1
bbed, 6884
bf77, d407
541e, ea91
f914, f01d
a2e5, 1cab
f0d1, ffd2
f9b1, 4b03
81f9, ec4e
c793, cb41
a5a1, 9fcd
4686, 75bc
d12b, 12dc
cd59, c054
6c37, 1be9
453f, c97f
8e1c, 8dab
994c, 2a5f
695e, 6ff3
b450, df59
30fb, 3d90
7230, 9678
df14, a45f
7b1d, 435f
fb3e, da88
6664, 643b
f6ea, 2b23
db9a, fd7e
c623, 22e4
b0d9, bf46
585c, 92c3
60d3, 6f4e
d914, d9dc
6a49, a808
806d, 8f03
6970, 0bde
d535, 15c6
e550, 34e9
44f5, 364e
0f41, 09be
57d7, 59b6
7a10, d758
a1fa, bfe5
8f30, 2490
59cd, 0001
b653, 003d
5183, fedf
87f4, ac59
cccc, 4fef
9e71, 9be2
8fbe, ad25
a052, 9c03
2c79, c93f
7ea9, e378
301c, 3f10
62e1, 18f3
3b02, c97e
fc2c, 7659
b31b, 6e11
710e, 243d
942a, 7d7e
38ec, 42ae
9d1e, 951a
998e, 2e57
ba65, b2f7
ae0d, ae38
1702, 7a32
270d, 2168
96ed, f583
47ab, 4aa5
e1ad, 87fe
03b2, c0e3
4ae2, f8e0
b8bc, cbdc
70cf, 7319
3269, 3c66
09a2, 0c58
3b08, 886e
0929, 62d7
9b91, 2761
33a8, 861e
a680, 87e9
a3ad, 9772
08ac, c5b5
e956, e74a
ec83, fb4e
4dfc, 9f36
d801, 71b3
6ca5, be5e
ab8b, 7181
b389, 42ce
c5c0, ba7a
6bb4, 698b
2f78, 5d85
dae3, 17b7
5aa1, 41e9
220e, 7ded
5783, 578e
b61c, c816
a282, 780e
1b0a, 283a
a31f, a6cf
f5e1, 5f0e
ed6f, e294
2814, 56ed
3e83, d2ca
d9f7, d514
d41a, 9702
c34c, f793
b6c5, 6fa9
b940, b44d
fb69, f866
d3db, 199c
5cb6, 59d9
ff32, 3f1a
5519, 5260
4166, 40dd
25ac, 291b
0198, f267
e16f, e391
6b62, 3a44
7b3e, 9c42
2649, 7540
fa6d, 3658
906b, 9764
3dcc, dc88
dd8a, cbee
074a, e781
4428, d95b
39ae, 1ad1
a8ec, ab25
1855, 1383
88e1, 5adf
571c, 5061
46fc, 231c
007e, ed1d
2070, ae7b
75c7, 2625
0827, ff45
1589, 19bf
2fe2, 4077
c4ec, 519c
1931, dac5
257b, 860d
f66f, f46d
6c23, 5286
afd8, 6088
c24c, ca91
c62c, 023d
f656, f25c
60ca, ed17
e66c, e350
27a0, 22ed
082b, ad7f
1c6f, 1bdc
fb43, 977c
ca09, c706
360b, 4a7b
57bd, fc6d
3966, f637
953a, f959
2140, ace4
285c, 8238
e875, 5045
bd5e, 40da
30de, 61eb
b057, c1c5
dc5e, 893f
b646, ca93
a59d, 8d33
b1a1, 312d
4edc, 41d6
21e2, 29dc
c73d, 8bf0
9aa2, 9111
a83c, 742e
73fb, 6983
134b, d682
311e, 05a3
96ab, fcf9
5efd, a016
4a61, 4762
6373, c09a
6c76, de5f
ac51, 9053
9ba3, 9caf
c25f, a77f
9942, 9c81
8a4a, 8899
0de0, b48c
a47d, 0fbb
0756, 0937
650e, 3833
68d4, b056
e002, 7850
295b, 2e86
9be6, fb73
9aee, 1a75
0034, 0d5f
90f7, 5ef5
5825, 2d27
a9b5, aeb2
9549, 6c8a
fbeb, f7ef
f8c2, d11f
23f8, 2ffd
bbbf, d72d
aa04, a60c
7deb, 22f6
8ca5, acc7
27d4, f464
89d4, 840f
2430, 2f47
5209, ff68
abd6, 7db1
68fe, 7735
982a, 6d76
72a4, 7cf4
0f01, 04ab
40fd, 4ff8
224f, 2c8a
5f37, 54f0
879f, ac0a
f1d5, feda
5808, 95a0
f8b6, fabc
6386, 66b9
c93d, c7f6
5171, 4d8c
cabd, c576
d829, de76
a333, dc32
645c, a400
7b5f, 7042
f1a5, c30e
3d4a, 3036
d38d, 11ac
73cb, 51cb
c420, bdba
4708, f0b7
ce48, f19e
7da0, 2227
f2ec, fce0
17c0, 741a
cc4a, 39b3
6a15, 0fb2
c592, 3dda
8144, 7cf8
0a9b, 5125
c291, bce7
7a5c, 776c
9904, 9c67
f9bb, fbb4
da2d, 35bd
5496, 4f76
34c7, c428
ff04, f50d
8c94, 591c
8dc6, 0299
