73e7, 8400
38d4, 30cc
3c65, 3f57
217c, 19ee
94ed, 019a
32d1, 3ae0
ecde, 6dcc
76cd, 9dd4
93f7, 25b0
270d, 14aa
4774, 626a
fa13, 6cd4
ed1a, 6842
8798, 072c
c3eb, 03b2
05b7, 8588
f5ad, 0bb4
19ad, e384
9374, 216e
f5ad, 0bb4
785d, 5a8c
aced, a985
5984, 72a1
a7e7, 7d49
6adb, 4eae
00dc, 2004
2ddc, 257a
595a, 4a46
2009, 1a3a
18ef, 7235
7282, 051b
42c5, 90c2
e5a2, 42c6
3c63, 2029
c4be, 6eb5
d214, 6aa1
1d70, fecd
5434, d813
acf7, 7af2
d132, 6779
311f, 1ca4
a799, 9822
bdfd, de4a
3223, 1586
1abf, bd74
5ff0, ec16
2dba, d733
4e21, b5c9
2644, 48f2
a079, 3781
122e, 9992
8a71, c070
7ec9, cc59
f7ec, b71c
d237, 6dde
4a19, 6c7f
196e, 97f9
577e, 0e29
ed45, ea5f
70cb, ed20
9e03, dbb3
d60f, fe67
ae09, 0ac7
3772, 8f72
a9c4, ef68
b99c, caee
3bbe, 7cc9
a14b, fafa
3a04, 1c9e
b817, e20b
5004, 0476
a366, 83b7
eaff, 4a42
d608, b80c
6df4, 84c4
bfc3, 772a
b72c, b7cc
1187, 5ceb
ec67, 3c74
46e5, f089
21ae, 3ebb
5f33, e04b
a6dd, 5f1d
a20d, 587a
24ef, 61c5
3a4d, aa39
25a9, 9491
7da4, 61ec
28f7, 2c3e
a1b5, d0d2
b454, 7000
a2be, cfb4
1663, cba0
7835, ea5b
150b, fcc5
24c7, 7d3b
d3ff, f094
8abb, fa3a
69b1, 908b
352d, 5ccc
b5ca, 3886
1973, 6973
fd61, d2de
d804, b91a
c207, 3c47
2187, f44a
22a5, c71f
4726, f7c1
ed85, 76f4
73bd, 935c
62f0, 74df
aa5b, f499
837f, ac54
fecd, 1d70
bbfa, 54d0
7f69, 8254
a68a, a86b
1435, 48c1
6d8f, c43d
b249, 8f1c
7b0f, 5684
7efe, 4f20
b64d, c68a
7471, f96d
f2da, ea03
d257, b1e6
9587, 4d98
68e5, feb2
774f, 9094
1b8e, b37b
e271, 4f1f
d4f3, 0c09
05dc, 9aa0
bd54, a3b9
2cd0, a312
676d, ba6c
10fd, 5de3
c0c4, 4a02
9929, a445
c1c8, 7d8b
1dc2, 1eaf
2955, 7716
31ff, 4766
2224, 4180
cd2c, 5846
c349, b7a8
d479, 13e9
2408, 77ba
a011, d59c
1b24, f9fc
b621, b52d
8e59, a959
876e, af9a
0de0, 3831
ff85, 5858
b8b7, 1137
120a, 140a
ff0d, 18d7
def5, c5ed
9d53, 3fcb
9113, 7e52
5fc8, 3ff0
3544, 1a95
f5d1, e503
d272, d408
452e, a9e0
7c6d, 3880
2de8, 9334
782a, eb80
d33a, 6df1
dcd8, 37f3
92e9, 1cdb
3473, a509
799a, 346e
4298, 0697
64a5, f852
6474, 1ce9
1c5a, 7e0a
8023, 538d
7786, e019
5d61, 176f
f3fb, 5847
025b, 5920
4a33, a874
ce60, 11a0
547a, 5a9c
803a, 2d44
fb27, 7c3f
c602, fe9c
0950, 9f52
26b1, a6ed
b93f, e7db
e625, 7c4d
d34e, 4de7
32c0, a881
79e2, fc71
0908, 1f90
c573, ddc6
1714, 773b
0a9a, f534
2374, 7e19
e46c, 51d5
6a6d, 8a9c
adb8, 4505
949f, 1a9b
3218, 50a2
61ff, 22d5
9f52, 0950
30dd, 54a0
dcd7, f5e4
71d5, 9dfe
b899, 5197
d563, b37e
93d0, 8c49
2efa, 1e3c
a0f9, f25d
e0f3, 1255
4c77, 9ae3
384f, af7b
78c2, dd3c
2e9b, 6b07
3507, 4f5f
8652, 98d1
b6e4, 44a6
bab7, e162
5308, 13a5
e254, 9e06
6a1b, 7eea
4567, 3ae8
a0c7, 3bdb
05c2, 06f0
e913, f109
3cce, ecff
353e, 0852
5164, 1bda
5a2d, 5a2b
1164, 931d
3e6d, e406
3110, 3a8b
7cd8, 5523
6fc3, 5c8c
0655, e194
94cf, 94bb
9bd0, 68ae
b7ca, 1e2f
93d0, 8c49
2020, a86a
cf59, 3852
c9a6, 3790
533d, f3e3
41ba, 0336
33eb, bc09
9b56, f145
009d, 3c0d
a959, 8e59
e270, 88af
7579, 0acd
79df, 847d
fbcb, efd5
00c5, 1976
f19f, 7b63
7cc8, 3488
1aa5, 815b
22d3, c7a5
f2a5, acc3
c953, e649
8580, 709a
dcd7, f5e4
0735, 53b5
8b29, 1912
93f4, 37be
6691, d172
c524, 3f91
b2bb, b6d5
6cd5, 1873
a893, cd3b
32e8, 8387
94df, 40c3
2c1f, 28f5
0d65, c31e
1c45, 650e
6f9b, 8dbf
40f6, 8b55
62e3, fcfa
aef6, d72f
745a, 28ae
6e60, a164
ef82, 8896
507a, 9eb8
fcac, f172
4573, d137
5f51, 13e3
583a, 4de4
ba26, 996c
8540, c83f
9556, 7774
12aa, 12a3
e4ae, eb40
28c8, 7bde
d102, 862b
2073, aad8
60f6, ab17
9ba4, 5487
97a1, 333a
86ae, 3d15
fc45, 1b1b
8163, f388
1b89, fc26
0b4a, fd69
31fc, 273e
74f3, ff74
1621, 572a
9767, 3a92
fb59, 91fe
f407, 57da
44ec, b025
ab6d, 5a8a
f9c0, 21e4
4254, 1f8c
58fc, 642c
358e, c381
2137, 960b
4228, 4425
f8a2, 6efa
a2fd, 4b81
a85a, df39
bada, 2201
362f, 0dc7
d861, f0ef
b788, d798
ed34, 9cf5
3ac3, 3dc4
73c9, 14dc
f018, 224e
9ae7, 15d0
0cd6, ecd6
a30c, d27c
1e80, df44
2e31, 78ac
44e5, ee32
727f, 09fe
8bfc, 8cc0
