3339, c971
b47e, 9380
535b, 8bab
aab0, 374c
1802, 8e0f
e41a, bcfc
b2b9, b724
616c, ac15
1a4c, 1179
c117, 9c82
dfa9, 3dad
43e7, 4856
7713, 7278
48fb, 7e9e
11f2, 867a
59b3, 5eb4
6f1d, 76fa
dbf6, dda5
7355, b78e
0b4d, c3c5
dbfd, d684
1fde, 849b
cb5b, c606
f6f2, e180
b71f, b31b
5ebb, 4ed3
178d, 56b0
78ad, 7b91
28db, 2a34
1a36, 11d5
67dd, 0b3e
7ae7, 6240
2191, 2acd
439d, bb42
406e, 4fdb
322c, dd1a
121d, 855e
4a4a, 75c7
a0cc, a1ba
5e31, 3157
8ddd, 8ed1
321d, 896a
12dd, 8c34
401d, 492a
fa0d, a764
af7a, aa0d
aa3e, a7db
5b39, 0a13
a0e6, a607
ede3, fee4
908a, b1e2
5aac, 9431
4cc1, 49ad
db9e, d7ca
5b12, 581f
1ec9, bc50
5141, 5046
1988, 8e5f
cec1, cce4
fab6, 82c9
7e68, ced5
48d0, e5ae
74e7, 1abb
3b39, 763f
769e, 1fcb
8441, ce9f
c39d, b67b
4617, e812
049f, b898
23b8, 56ee
4543, 1025
a1fc, f213
0a86, 2225
e11f, 5307
f50e, cbbf
d16d, 13c7
080f, db5a
6e57, 6bbb
5c39, 8fed
6194, db5f
d487, d11b
1fb0, 2a4e
e44c, 0989
955c, ed52
dbe0, 6d25
3a1e, 371b
a588, 30a7
d24d, bb51
71a5, 70dd
197c, c124
b0fa, b15d
9c6f, 9e74
4520, 7d25
18de, ea97
b35e, e95a
80a9, 301f
5a55, 4747
d240, a667
3d2a, a959
9bc0, eecd
7de8, 1d28
835b, 8850
e0f0, eb7e
bf01, ae89
8bed, 8c45
8e9b, 1d61
1e58, 5986
1088, 4e0a
990d, e1e5
1213, 2e09
3a60, 3763
5faf, e3a1
4c89, 4158
d051, bc99
3515, 3916
1484, fdcc
f2a0, f82a
66e6, 6564
1b5b, 1d2e
f7b9, fb7f
07e5, e233
485d, 7fc3
c4bb, c158
155e, 192b
0c28, dae3
bfa0, 75ef
814b, 844e
afaa, a22c
ba4e, 5f6a
27d8, 9858
fbcb, f8ce
f657, f358
c256, ccb0
9dfd, cbc4
536f, 37b6
f145, f7cb
6843, e29f
ab94, a761
0f53, 7810
097a, 0514
6bca, c347
de9c, b8fa
4765, 4ad6
18be, 8be8
a7e7, 965c
16f2, c057
647e, 3a48
49aa, 4cc4
5d99, 1fc8
e852, e557
86b1, 8473
16f7, 011d
82cd, 8a60
0eb5, 0d26
a945, 9280
38c2, 8dc7
f18a, f935
90d5, 65a6
4f5c, 6f71
5b48, afe7
b34e, e74c
d971, 40f6
8f1a, dddc
8e2b, 5c13
8ec9, 8964
5b69, 2276
5896, ef97
b8c5, ec2a
77d1, 7bf4
1a5e, 172b
efe7, 2fe8
52b7, 5db2
4f96, 39d5
065b, 309d
7b82, 7044
9043, c315
f60c, b328
0d45, e592
bf8c, 2e4a
e43e, 3705
5e0f, 8052
b257, 27e0
7642, 72bc
894d, 8ce7
eaa8, 5054
f8f9, 8efd
6f55, 4126
3a96, d4a5
ec85, 7325
d7b1, daed
e245, 5c83
48f2, 610e
767f, 74e1
c80a, ad61
a873, fba8
f913, 4e71
307f, 36ca
1b9b, 0008
d49b, a6bb
1211, 7123
6b37, 6d38
a325, f653
5a8f, 6238
6414, f13f
7250, 983d
34f2, 31ff
f371, f67d
8e41, 4d66
d9f0, ab27
7b41, 8b4d
e4a1, c18c
b050, b653
4416, 4175
d011, 046f
2723, 98d6
0e87, dc3b
9635, e746
aca8, a05f
4550, dbdd
589d, d9b9
32d8, ffa9
ad03, 35b5
1c18, 1b5f
2550, 3bc8
4a5d, 715a
def2, 8ef7
90bd, 97c7
bdca, 9cf5
6a10, 6743
b6d7, 2307
d4ea, d1b1
0168, 0c2e
86ac, 4f9c
a25a, ac21
231a, 1b85
e262, efcd
e3de, e7d2
a552, a92f
714f, 7112
b383, b784
5962, e5dc
5ea3, 98aa
47fe, 4b3a
3704, ab9d
a55d, 5590
39b8, 35b7
cf55, 02f7
cc67, c23b
4382, ba34
8b67, 57ce
b4d6, cda4
bd92, 78c0
1c8c, 85ab
6925, 6968
5b92, 310a
9375, 9616
c45b, a0ec
7dd8, d82a
f8ac, 2756
d406, 7c93
ff94, 7195
a7e9, fe4f
00ab, 370a
246a, 0091
bdc0, 054e
3cc9, 0334
6ea7, da25
ead4, e8db
399e, d99c
f3ff, 620b
5eda, 5dd4
0d22, e2d0
403e, 7368
e09a, 4e95
17d4, fbf9
fe95, 9df0
7f72, 45e2
0cb3, 9d05
ba25, b65a
e3f0, 2537
218e, 2405
a9fa, a4c8
256d, 2d00
a72f, 3798
4392, 46ff
daca, d791
0972, 051f
6bc4, c04b
f072, be86
b0d2, 6125
f252, fc5f
61a6, c952
0250, ac8a
ec48, b86d
fa21, 86ab
a981, 0522
c613, 66a4
1f7a, 1ae2
c442, 7205
2e21, bcc5
aafd, a4d7
9c3c, 93f2
5db1, bc93
d712, 50f5
2116, 2480
484b, dcd5
e4d1, 08d6
e223, e824
fd72, 80c9
b589, aa5c
dbca, a077
a69f, 4d26
bb82, b044
0d25, e2dc
3d3c, e317
020a, 1adc
4e6d, 4dd1
5cd9, 601f
6d2a, deea
6f06, 372a
d480, d116
22cb, b59e
cb64, fc39
1ae5, 66c9
8ed7, dc83
5ef3, 067e
5a3d, 3d35
aab9, 6aa7
59f5, fb50
