4dd9, 12a2
c2aa, 0034
7497, 74a4
a96c, d062
e7ed, cfea
d4df, 6b95
486a, a90e
4c06, a1c0
697a, b361
af27, efaf
ea56, f5ee
5bfe, acaf
00b6, c2db
6524, 0ea0
c0c3, 609a
b759, 31dc
5487, 4cdc
158c, 4980
ceba, 0f1b
23fe, 5ecf
9d18, 2850
2d99, a189
e873, d7d0
9a5a, 3556
7d08, d690
e404, a369
74f0, f150
379d, aa52
548d, a4a0
a322, 3394
4a36, 4304
f7d2, 627f
3f0b, e8a6
f9b8, d8b9
2597, 5700
e2cb, a9e1
1e85, 902f
5d7c, 5479
18f1, 3fc7
a957, 84e9
05a6, 6c03
f4cd, 0de2
0af8, 313b
1ce4, 110a
8a90, 8792
08ca, 8c23
322f, 8b73
e00e, 9c8a
5d77, 0d88
3878, 4f28
b00d, 5f70
5075, 5976
c239, b8c1
f640, d95c
91d5, 4d29
c21a, 254e
1873, 0bb8
5e57, bf49
4b9c, ddda
9667, 6b0f
79ea, b1b6
c3a4, 5a01
ba81, 493a
0fb6, a7fc
0741, c037
850d, 8902
cc62, c082
60c3, 283d
2148, 8e74
2648, 7c5a
d1c6, 3c50
deb6, ac6d
8b69, 4f86
55a0, 6651
7a36, 8dd9
cc78, f274
fbc5, 25da
a66e, 05d1
8467, 2ffa
a66e, 05d1
fcc7, 8df7
69e7, 38b8
ed61, 20ad
d3fa, a900
3364, 597d
8f01, 875b
5f68, 31f9
ae21, 612d
e0d6, 7f93
4472, d524
d5fd, 63de
3215, 5fe1
a9ca, 05a5
368f, 90ea
daac, b382
406a, 80ef
4d03, 324d
9ea0, 3d57
7cb8, 6c0d
20d0, 0527
85e8, e5b8
68ca, 6752
819b, eb51
6408, 2713
9fab, b134
cd40, 143a
87dc, c913
51be, 4f9a
14ef, 5e5b
1b10, 645a
2d3f, f94e
0ceb, 0d97
aeec, 2c00
6c92, 0862
7c9e, 499f
928e, 8e48
8c3b, 0da2
e272, d4aa
655d, 6384
4be0, ee04
cdd2, aa33
eb71, 007a
b0bf, ee36
f4ca, 8942
6c35, 0177
104b, cfda
1f61, 172b
a5e4, 4bf5
8ec3, db9d
034c, 9757
6b81, 4517
1373, 79ff
69fb, 6097
0bcd, 677f
86aa, e525
c38b, e23d
7e61, ebca
461c, da8f
c6ec, c19c
a414, 08bf
397d, c89b
07d6, 0aa6
8313, 8869
7535, b076
2272, 4fd7
58b2, 1122
2dfb, 4381
27c8, d700
a1b2, 2015
a48b, 4f59
acb4, 3aca
23cd, 51f4
fa0a, de64
83bd, 30cf
fb69, 3d81
eb17, 2900
7819, b9b8
6696, c603
f423, a146
0266, c3ff
11dd, dc34
d55e, aead
6783, 22e5
89dd, c6eb
0e87, 2fe4
cce0, 701e
518d, b3d9
e488, e6f3
9224, 9f1b
9d6d, 3562
e5cb, ddfb
059d, f6de
d3b3, a1cc
a6a5, 6dad
08d0, a47e
bb62, bc73
2639, 5d80
e287, 549a
78fb, fb7d
dfeb, e997
3acb, 2c86
ecac, e9f0
9a74, ffb1
455f, d126
002f, f52f
0236, 8753
2ef2, 0c7e
e1c0, 6bef
d2a8, 3bc3
0da2, 8c3b
057a, 6c87
82fe, c43b
b285, 001b
88e2, a9c9
697a, b361
4fc3, 86ab
a313, a9fd
4189, 400a
6b0b, 07b7
7f27, 7c7d
476f, 7086
f2a2, 8e31
c166, 981e
67e0, c533
9aef, 50b9
4f46, 2abd
b9ef, 8083
7d47, ef36
ee0d, b0e6
1bc9, b208
ff14, b5d4
5a02, 8289
b6b2, c459
ad6a, e432
8e91, 3907
bf59, 71d2
43de, efa8
2100, 4848
781b, e3de
028f, 0926
2eb2, d8c5
5dda, df67
0c66, 861b
88ba, 5b4a
c248, 2b35
c391, 9d28
3fe2, 2dfe
acf3, 6063
6db3, 8346
9a0f, 98be
b490, 9e42
58a7, ba62
d5ee, 9d58
6807, e4f6
32f1, e98b
79a4, 6d56
cde1, 11ad
bfc5, c843
c380, 7456
d34c, 780c
914a, 5159
e689, 7ed0
bd78, 4c83
ca36, 474f
82f8, 2b0c
aeab, 8085
3cee, a98c
4a7d, 7da7
2ce6, 753c
e4cf, 1f5c
a418, ba92
28e2, c22c
6760, a5aa
c749, 77c0
43ed, f207
ee2c, 1f53
36b6, e91c
87ae, ca35
394d, 6c78
668e, d6b7
faa6, 023c
a72f, 6e0d
955f, a8db
0ebe, b752
6612, 1e31
6b80, 1655
7e4d, 8f63
9716, 82e5
7279, 1d6c
11b7, 550d
c9ba, efdc
ab8d, cd30
4047, d200
a174, f89f
f580, babc
b1a7, b8fb
dc4f, 3747
ce66, 4ead
977f, 14f0
8b64, 4aad
efbf, 8529
4190, 64ec
12c1, d311
7e99, b075
2ef5, 71d6
15ef, 57ff
957b, f214
1cd2, c644
e457, 450b
c41f, 8969
b205, f195
0947, e741
acb0, b405
0307, 0a53
74d4, 360f
c425, 52a3
0f1e, a1cb
d5b7, c43a
7afe, f282
a9ff, bec4
6bb9, 5b33
1735, 6034
476a, 5c7f
40f6, df27
2ecf, 9928
3be5, 4ff5
2d87, 4e57
800a, 2cdc
fe07, f124
7f45, ddde
bfdb, 82c7
4664, f10e
7266, 3912
3d20, 618f
f21e, c514
c83e, a2ef
b4d2, fa07
caf4, bbf2
caef, 3417
ea16, cb2e
0156, dc77
aaf1, 4ed9
1dd7, edec
d28e, b29d
ac49, ba3a
01f6, ba20
8beb, e88e
7ffc, 3048
c9cf, 4247
d87a, 0666
61aa, 9b91
40f5, ec0f
96a8, 996d
90b9, 9cb5
7cdb, 818e
ad92, 6555
0271, 097e
965c, 9493
86fe, b477
