ea4a, 62c7
8a44, 5194
e65a, d71a
1f45, bd47
04a8, 7603
0235, b938
6571, a02a
e706, c9ad
3fbb, 6f6b
9979, 6939
0cf2, a189
f7a8, a819
3daa, 96dd
9d90, 204d
8003, b087
24d6, d363
4f80, 8840
246d, 47bd
06fa, 3023
a7a8, a466
54f9, c742
6069, 0c29
a193, 6fa9
d499, 5839
924f, 77b0
9744, 8754
9b3c, d537
49ee, a7dc
25ab, fc37
07e4, 1494
34c5, 8f5b
e570, 1350
67b6, 89e6
a173, dfb3
e9ed, e48a
6442, 49ad
6003, 02b6
2b11, 99b3
6931, 817b
718f, 09da
54df, d21f
5c9f, ee61
40ca, 99e0
7203, df73
2e5d, 483d
1a96, b4aa
f5d8, cc37
fb1a, ba7b
6a90, 2ba3
ff6e, 1713
5711, 8c9f
0165, 9ea1
6a57, 8732
2b46, d397
99a2, fef2
077e, aa6c
559e, db7b
27fc, 490c
742b, ecfc
62f6, 74ff
86ef, 8be9
222a, 9a91
6e5a, c241
a9df, 230f
9634, 5fdb
6a73, f62e
4408, b878
bc16, c5a6
7779, 0826
db5e, 9b5e
aafd, 4cfe
b5cd, f844
9d82, 3abb
4850, 490d
5ed3, 379b
7954, f29a
0195, 84b1
1219, a3b4
4bcb, 744a
ba11, c5da
f7e5, 915e
29ec, 8e2e
78ab, a87e
7135, c039
7a9c, 5ef4
da0f, b3b4
7734, c8e0
65c5, 82cb
b8b0, 66e3
2e11, c1d5
e7ee, 69db
d604, 7f83
90be, c700
007d, 6624
1f31, 4687
c57e, 2b2a
dca7, 4aaa
23c2, 221e
c25d, 1e9a
9a3c, 258d
6121, acd1
d9f4, beaf
de4b, b1fb
0550, 5cee
df73, 7203
6441, 128a
07a8, a8b9
f993, a8ff
6543, b420
110b, c10b
cd9a, 1e96
9cb4, cca9
5039, 3089
8243, 4d63
3ff6, 304d
ff38, c9e2
1fcc, 2d98
6995, 89ce
faf0, ac90
9b34, 1e84
6f5b, 0a90
a4e3, dc85
fd0c, c6fd
76ce, e722
abac, afe1
4569, 59f3
3fcf, cb60
6207, f2f7
6d72, 38ad
a2a0, 12db
b57e, 12ea
76c3, 9923
22be, 5901
aa97, e886
735a, d050
b452, 4732
540b, bada
52b7, 0a02
7401, 6381
8311, e1b5
4476, 743f
0421, b9c7
a453, 213e
2c32, aab2
4c2d, e6c0
d6e4, adba
67e9, 23a2
4795, 9836
7620, b617
d730, 9465
a4e4, 15e6
bdaf, 70a9
2c9a, 4594
329b, 6f65
106e, 1d65
4a00, 7736
e9ff, 2255
9d8f, afa1
5c7f, ed49
1ec0, 9ec0
14b0, c9b0
979a, 39e4
76f3, e23d
eaf0, 9050
944a, 03d2
972a, 400c
e9b1, 77cc
53b0, 662f
dff7, 3e69
18e2, 9862
f96b, 3396
313e, e453
9c2a, da71
b300, 66c2
4ff9, 9b66
91bb, fe9f
e88f, 8f48
44da, ba1f
58a6, dec2
f49a, 515a
6bfb, 7bfb
88a7, 3592
8f73, 1ee3
4595, 9a43
055d, e1e5
32fb, 6a0c
a13c, f753
0241, a4e1
4082, 1fb1
36d4, 9688
2976, 5322
1679, 9475
afe9, 9926
1643, 2d8d
294d, 920d
a809, 5279
2c17, 2cca
a9a2, c37a
2b6e, abbb
522f, f9ef
69f6, 7746
2206, 1afa
27ce, 4871
0982, 92e2
3357, de3c
5749, 8b73
efac, 9d8a
5a76, dac6
ee88, cca4
3d3c, 6f8b
b2b4, ba86
b12f, 2ae6
9a48, 985b
0f64, beda
0e8c, 73f1
8848, fa9a
010c, efbc
a483, 6393
eb23, 3623
8494, 33af
e583, 3e9e
e258, 8c35
616b, 14d5
7c0b, 0855
1391, 4047
726c, 081c
afbf, dbe6
83fa, b1a0
8890, 389c
5eb7, 514f
ee05, 5433
61dc, 8b3e
61c7, a1d7
0762, a86e
691d, 6103
0b8a, 6d9d
5e9f, e62e
efef, 3eef
3aa6, 65d7
4ca7, 311a
1e03, 8072
46a8, 2de7
5b9b, 8bfb
413e, a15c
da53, 1c5b
26df, a9ec
689f, 1999
b722, 15d0
e306, 91b3
cf4c, 744c
8a34, f994
189d, 7400
5e62, cc63
7fbe, 1e25
795e, e046
726b, 09a0
8bfd, 5d0b
cf25, 7de5
81c4, 9532
dcb8, e5b5
85f9, 53da
b8ac, b8ae
6b57, 7b87
1f49, a0fa
98d4, 02f5
fd48, 7470
758e, b9a6
69c4, d37c
135a, 6cb0
1379, 7d33
8a07, e19a
8339, e933
b331, 7407
6fbd, dc00
fad9, 1cdf
f077, dfaf
f0ea, 4b36
8a82, 4a27
6423, 18c2
c389, 2ff2
6aac, 1aac
9875, 0403
04a6, 67a8
7274, d274
212e, 6d8b
378b, bc85
afef, e0be
13c7, fe26
5e84, 8e84
88f6, 3b90
1fe1, 5abf
5582, cedc
f904, 7431
2bc8, ed69
34f2, cf45
c89e, 5296
dd38, 9b58
22c9, a859
c4ee, a738
ec5d, 3550
e45c, 1ed5
506c, 2eb6
5d31, 3084
c3ae, 7ea6
c3e1, dbe1
05c2, 3c27
3822, 7793
3da9, edd2
fabc, 737f
f518, d0ca
c6f3, ff8d
3e7d, e81b
d28b, 2eae
3a7b, 0cd2
0532, f0e8
54e3, 3c85
31f1, d50a
c8da, 7e15
72ad, 8395
30f8, 6b31
72b8, e9ec
8569, 69f3
4f3e, f423
1b0c, 3180
17b6, 03d8
ac9f, 6b39
35a0, 963f
09f2, cc30
ec1b, db10
c898, 1e48
9ae2, cbb5
eb87, ddf8
f4d5, 34d5
bd6d, f1da
c09a, 5fa9
d5f9, c2ca
246a, 4156
6987, 6c7e
