7bd5, 7e3b
964f, 3756
6c81, ead7
0fc1, 3dc7
91c3, 738f
9823, 4e92
3954, 39d9
353b, 7aa3
a365, 1a88
4781, 57bd
9bdb, c17c
9f2e, bee3
df5a, 51cb
2aa9, 1cdd
07c2, 4cd7
245b, 5a95
009f, 4209
63e6, dd7b
9ec0, 1248
8965, 1a09
ed81, dc74
68aa, 3ff3
29b0, 3a7e
630b, 7f2d
fe5e, 27e9
bebf, 63b2
1b5f, d0f7
863f, f5c2
e61a, f550
ae47, f225
a8f5, 61d3
1d91, a2bc
9fd5, cf98
a399, 4803
fcce, e0bc
cf80, 9ecf
e9d7, 80e1
7340, 861d
3ae3, 6d40
9300, 299f
d264, ab3e
55f2, b5b3
dbe7, 854b
3bc1, 2b09
ed31, 2614
6354, 46a8
424f, bb3c
455d, 72d2
781e, cd42
f9fc, f43a
31bd, b1de
3960, 87b0
8252, d91d
ddb1, 971d
1035, c4ba
c892, 12e6
9bca, 13d7
8137, d483
f6b5, 7c92
eae4, de56
7492, f6bf
2c5f, c600
7027, f4c6
6a86, 1446
05d7, 999e
b7d4, 9696
039a, 71c2
9987, a5aa
f602, f6f2
837f, 15c4
2617, a39a
4298, e9db
baf8, bfad
430a, f2bd
a5e8, f2d4
496d, 20e7
75b2, 401c
7d13, 028d
6371, b7ab
263e, 2993
208b, 325d
c268, 0991
9b68, b8e1
c0ea, 4568
8ab0, d4ab
9847, 7e28
cd90, ad90
cf90, 17c4
e20a, 7418
728a, cee8
de8c, 5eb4
07d3, 482e
6021, 0edf
ead4, 8149
b790, 15f0
75df, 2806
b565, 990a
3662, 837e
40fd, 7281
8282, 3ba5
1678, ccdf
8ccb, f3d8
8868, f7bc
b50b, f531
fbb6, ab96
35eb, f2c8
2381, 0922
9602, 66c4
916a, 16fa
ce9c, b5ee
0de6, ed93
2ed1, 70df
24f1, 4177
9e20, bc29
5ee0, e5ff
e7d3, d031
4035, 5348
79b4, 9ffa
832f, 8322
92d2, 2338
f651, d723
d925, 7922
b85b, c2ec
6315, 5e9e
e4bf, c242
07b4, 7736
6878, b63f
7aad, 648e
b260, 7bca
25ad, e2b0
75d6, c77a
a01b, de75
623b, 1acf
66e3, b440
6c6b, 5b37
8a2d, 02f1
207f, d72c
ca9a, a796
5853, 9c6a
391b, 9313
abf0, 4e7f
12f3, 0f9b
8fd3, 6833
e1cc, f1cf
f907, f733
22bd, 1bda
317f, cd0a
5a37, dd81
2585, 09da
5f6d, 83c4
c1ad, 43ca
cfd9, 72db
bf2a, 8d93
346a, 4e27
38e0, 4f4a
2178, d869
eb5a, ac05
a003, dc9f
b8af, fa61
ea6b, 024f
0159, f043
beb3, bbfb
34fb, f06c
f5ae, 6630
2e9e, b1f3
7d02, b4ac
5f9e, f630
ba96, 361b
b853, 7911
2427, db34
1c15, da00
ad10, 53b0
2397, 7337
170a, 07ec
e1f1, a89d
cc98, 2d11
c536, d663
9dc0, 6070
ba6d, 6a9f
7c83, 4971
0430, c71a
096f, bc0d
4514, 1a7e
f511, 21d6
d327, 4c3f
d8a7, 2d78
b758, 5883
d75f, 6856
00bb, 8117
6a78, 8a59
0f62, 9530
1f7c, 8f50
f05a, 673e
d1ab, 7085
fff1, 444b
abc4, ce67
8c86, 48aa
9828, 160a
ed58, 086e
5471, 4601
e321, 3cdb
5906, 77ba
0bb2, ba48
f59f, 48da
0c65, df7c
6d3f, f6a6
5986, 0514
d52d, 4fc0
94b4, 109d
9051, 1a9d
63c7, ee3d
4513, 6f0d
16a5, 6f49
db41, 949e
5a8a, 0398
39f1, 846d
325a, cc18
8b22, 852e
4fe6, 8459
ee31, ca7a
f58c, 2279
39d7, 7486
33d2, 8bb3
25fb, d575
dae2, ad83
b972, 6bb6
8233, 26a9
cfca, 2897
00bd, c4f9
6775, f68f
459a, b4e3
f15e, cfcb
e7aa, 16a3
3c84, 1238
af8f, 6a9a
ef36, b226
2999, 2996
ab15, 752b
fb5c, 8de8
4a96, b068
9157, e73f
63b8, 6368
c171, eea6
e329, 9491
a705, e9ef
ea6e, 0623
7a74, 3716
7540, 3edd
29ac, 5e77
5a78, 8abb
557b, df64
6835, f139
d0d9, b856
dc27, 9b43
427a, bbce
9f27, c03e
9588, c26b
7937, d424
3e22, 37e5
d2e5, 847c
bdbb, 64d8
20bf, 5edb
96cf, dd4f
6a7a, a4c3
01dc, c7fe
8ebe, 5713
2f9f, 6a5a
d2e9, 13f6
e072, 33b0
4833, f49f
6960, 818c
2385, 78f1
bb8a, d4a5
e02b, 66fe
d860, 8498
4809, a097
ec6c, 917a
8ac9, 94c3
6044, 6094
3c84, 1238
3073, 5d7a
2a51, c8b9
0dc1, f591
c9ac, 41e3
5eaf, cb40
5dc6, 49b7
d03d, 9b6e
0843, a369
b4d4, 8c1e
7f07, 23eb
717e, 67b7
0cd9, 9a86
e03a, f3af
e157, d069
4d07, fd97
4053, 285e
d4f4, 3d52
7638, eeaa
f636, a0a3
a304, 84c7
3611, e168
8a92, 5884
ff4a, 0799
5da7, 7999
b742, 3c8a
59d2, 6e9e
63f3, ced7
8f4a, 0f54
e111, ee8e
d374, 18fa
2b9b, 00bc
a7d7, 820a
6307, 6301
13d6, 69ea
36a3, 6baf
619a, 5cc5
094e, 8ae6
72d6, 7e81
6313, 039f
ecca, 7eb8
d102, 7c77
3fca, 32ca
5273, d142
9ff6, f13c
a771, c627
5962, 8293
5df5, c96d
3e7b, 7e7b
345f, 4d85
a55b, 80e5
6426, 1764
8a74, a9a9
a042, 488d
bb45, 3c14
85e7, a367
5718, 5072
b9fc, 74c9
ae7d, 879b
17ce, 0240
