e3b6, 7511
56ce, 73f9
dfde, 4dc0
771a, 772e
06f8, 00fe
3b4d, d983
f1e5, 0404
b45f, b5c4
6921, 675b
3815, 3c01
fc03, f595
7fae, b2da
6671, 39a1
c457, a0df
3b98, b6fb
3e39, 3f09
a206, 443c
298b, 031b
82f7, b51a
39c9, 5bd7
a503, a25c
d497, d195
72fc, 7281
9935, 9743
115f, 82c0
4690, a5a4
82a1, 350e
78d5, 4a00
85e3, fc75
a074, 48dd
ce05, 589c
39d4, acd9
7d93, bfaf
8078, 13c4
a2fc, 7575
a37e, a09c
0ca4, 8abd
411d, 670d
bbdc, 250e
3e5d, 20e4
31f9, 4265
b8e8, 45a2
ee94, 2a00
6a48, 62ea
67e8, 2ff9
6b04, 9bb8
be07, e15c
8aec, 1167
622d, f136
fc82, 1df2
673b, 776c
460e, f95c
5761, 5caf
e55a, 559d
aff4, f608
d79a, 3791
d73b, 9317
e040, 7f65
37b6, e56b
5eb7, a16e
c34b, f8ab
10fe, e293
4444, 91af
c69d, a818
2319, 5aec
3d8d, b86e
4b10, 11b9
fe77, 17ee
d630, 44f5
09a3, 3cf5
8140, bbcb
f521, 85b2
ed08, 0b9c
523b, 77ac
8c07, 4263
df80, a94a
c044, ecae
5b53, e8d5
46d7, 1aff
4765, 7f56
e6ab, 1330
1b63, d3a0
9c12, 6729
8595, 916a
bc65, ab7e
0ff9, a283
e4c3, 5bb4
031e, 5009
1aaf, 16d8
5dcb, cdbf
ee3d, 568c
fdc1, e724
797e, c71a
c529, 134a
783b, 9014
5967, 59cb
4a33, 227e
ad45, 1831
61e0, 618c
ada9, 666e
9c89, b83e
2dc0, 624e
7b23, 457c
261e, d2e0
d433, e39f
40be, 0a27
5ea1, ceff
de75, d919
3242, 981e
170c, 0207
7d1c, 1e71
04c1, 2801
e719, 56b2
d440, dbef
acc9, fd20
efd6, bfd6
a837, 6bd3
46a1, ba83
5a7f, 5750
a929, 70b4
e267, 9f4a
580b, 9e71
4cc9, dae0
a993, 06f0
934d, acde
a423, 2fc1
1cdd, f40f
e84c, 80e3
786c, cf76
25fc, 2ea2
f53f, bd53
8d2e, 19cd
4c23, 5bc8
3369, 7d82
400a, fc52
72ff, e465
c700, fa32
753c, b150
fa3e, 5147
5e2b, 27bb
0c12, aad2
0737, 664e
9ec8, 5642
63b7, b19b
be07, e15c
33d0, 8425
b70a, cd6c
2b66, e499
5578, 598c
9e41, d1e0
96ef, e78a
9a78, fef9
1ccf, d9cc
718d, 1e24
751a, 76da
ecb8, ee9f
b62b, 76e7
1441, 612e
fdf0, 5ec6
8ee6, 8886
7395, 41c2
9592, 5787
df8e, 5980
7971, e663
c400, c297
c35e, ec11
e579, 6853
c22f, cbf0
2778, d59e
9e79, 2657
690e, 6b17
42cc, 906d
9ade, d71c
c21e, e6fc
dc39, b82f
8191, 786d
f6b0, 4038
581a, 33c8
9e05, 7f26
ce41, 7bc8
0c7f, 8a1b
23d6, 12aa
df48, 634a
00e0, 06ec
eb91, 6158
6714, ddb4
7950, 26a4
f2ef, c184
bf15, 58e6
c815, e624
3af5, 32d7
38f3, 4985
41e3, aceb
b955, 0107
2065, 5a4a
98c5, 4226
51eb, 5b47
7ec7, 9946
2807, dfb1
819c, 925f
bf72, 89ef
a8ed, 8d67
0938, 3742
b21a, 7fd5
7d25, c84a
7d13, 5460
90f4, 0a13
4b7f, 7742
d88d, 3542
b5bf, 1a82
6cdc, 3115
1c9e, 1974
462e, 04ed
ea1a, 06c2
73b6, 8fdf
7d79, f0c9
da99, a7c5
4e0f, 56d6
7087, 387f
9e27, 0b84
3692, fca1
599d, b5b8
d29f, f916
b315, 2909
3970, 7195
a681, dabe
8a9a, bb8e
ce97, be1d
0815, 8c8c
4800, a22f
b26a, b981
f63b, 3ba1
bcfa, fade
ce6c, 90a3
39ab, 395d
2126, 1719
1bab, 8000
9b2b, a97f
426a, 75df
5387, bcb3
0058, a35a
ca02, 1535
7b05, 0979
916e, f353
17f0, 1b02
a2d4, 1d41
d6c9, da2e
7ab4, e104
f362, 5607
13f0, 751b
2546, 1918
09c0, 6ddb
77b9, 9b0d
0538, 0c3e
ca85, fe81
7412, 109c
cda5, d5d1
3300, 2680
1f7d, a918
e1a3, 2a88
f5b8, b1bf
ed80, bb47
9cb1, 3661
51d0, 0ca6
a47d, 5d22
aea3, 6444
69d5, 67f5
cdf6, c2fb
e029, bec4
e0a2, 9df9
f54d, 5b36
5848, 1720
752c, 8524
7645, c8d3
7763, 8389
97c3, 281c
344e, 3c13
b707, 65ae
aa58, 9727
b378, e9e2
2397, 253c
3c51, 765f
c354, 035d
f3aa, 029d
dbf6, ac5b
0b8f, e5a4
beea, c568
b86c, 7a1c
8f02, dc28
291c, 6849
69b9, 71e8
7003, 4bdc
608e, 21b0
a211, cbca
7add, a936
ce57, c7dd
b8ec, 1857
afe3, 8f34
a0f6, 0944
f82b, 08ed
e4ec, d682
2cd0, 938d
24c5, eb5a
4a64, cb12
ebb5, e9a1
da97, 2e91
743b, c0c9
faf5, 7897
a630, be22
260e, 6e63
5cbc, 9ac6
1e8e, 8783
6de8, 7132
540c, 1625
d344, df2c
cdff, c4ec
3f13, 1b50
d6f3, 0e83
0c8c, a05a
3964, 2293
fc06, 4c6c
7004, e8dd
7e1e, 1c5a
e386, b610
179e, 54da
d8bc, 38de
6ce9, 9656
8584, add7
072f, 3bc1
d4c1, efbe
9e91, 141a
dccd, 64ea
a2dd, 5825
0c9b, 1043
148b, a0f0
66cf, f536
