21a0, 3da1
552d, f32b
bc78, 467d
1f9a, 3c3d
4f30, 4301
0c66, f6a1
2fde, 3cd2
60bf, 3efb
f44d, 0ff1
91e7, f724
6ef2, 5d42
04de, f428
d981, ac62
4e57, be99
10db, 5919
1bbe, 6b89
f6fe, 3014
f467, 5acb
8619, d513
0df1, 82b5
e4fd, 2707
04d2, cfe1
c63a, 376e
b228, 13b9
7296, 8fb2
2cce, 2f12
fe12, c44d
2816, 3bd3
b78d, ad2d
c44e, faed
7844, 3e7b
652d, fdd1
7023, 0a7f
0d82, 02ea
954a, 402e
cf5f, 333c
26ed, f710
995f, 2601
d731, 3a1d
54b5, e3e0
993c, 606f
973b, 3b64
efd9, 49b8
c55f, c0c1
465b, d9e6
d917, e153
6e63, 33fb
c88f, ccbb
10b0, 28f0
3060, 0f65
387b, c738
f967, 9694
0590, 33a0
143d, be62
f37f, 36ac
d914, ef2d
79ec, fe00
0122, 6118
ff88, f1fc
6e12, 04ed
546a, 4cf6
3f2d, 3927
c309, c65b
5206, 3d13
ff8c, f021
c2df, 0685
23da, cfe3
5fd6, 5913
edf3, 7a8c
9991, 0905
5423, 9746
a438, 5e29
5f26, 9fbf
b734, 4bf0
92c2, 7993
1e20, 6686
0c08, 6f3b
148c, 4b37
6482, 7d3c
8c0c, c997
0b3b, 343b
eb20, 36d0
381b, 6788
f581, 0081
bdd4, 7f15
5e0e, 69b5
dc6e, 72c4
0a44, 5bf2
44bb, dd28
89f9, fb5c
8e62, 57d9
eacb, 84cd
a7a1, db9a
752e, 1022
82f5, ec34
b66f, 8270
f081, 3c43
77ad, c30a
310e, f199
782f, def6
6733, 2b6f
a90a, 653e
7bc7, dd72
2c4c, d7db
2ed6, 2e46
0a02, 0c86
8eb9, 86cd
cf23, 47f6
cb90, 013c
3b35, 3a3f
ed06, d770
35da, 89fb
c72c, 2dda
772a, 4305
dca9, 8359
5901, cc63
e7d9, 220a
3a54, 0aa9
140f, ae33
db28, ecb3
1e88, 4d18
e6b4, dc06
8655, ec56
4024, d6db
edbc, 41f3
8c9d, 4352
72ad, eabe
2ef5, 2090
9b5d, 9571
ee56, ce35
1e21, 4443
9d6a, fa33
46b8, 4029
d8f1, edd0
57b8, 3fb3
4d57, e79e
601e, fbcf
6113, ce10
e846, 74d0
ee8b, f768
7734, 627e
a7ee, 8bde
624e, c3e9
dd35, 492d
326f, f110
8770, ea96
7f74, df64
2be8, 53da
5fbb, 63fd
0ced, 5e0a
1e88, 4d18
44d2, 6da0
6a14, d33d
ef48, cd0a
2428, 57de
f234, 2b83
8701, 6dd2
728a, a6d6
77c2, 6ad4
c735, dc2e
3e63, 0acc
e6b9, e803
22e6, d948
6d62, 3929
89f0, dfbf
2e24, c187
dd15, 6db4
719b, 4867
9ec3, a84b
cb9d, 228e
bd39, 81ea
7806, 189f
06ca, c59f
7dd4, 65d1
985e, 93f2
6a60, 028e
4281, bb6a
e37b, ac5d
b370, 2014
17b8, bb89
4cde, eda6
1a3e, 7b7d
3478, 06bb
8366, 1a26
a240, 7cd5
d5e6, 810a
3d28, 51eb
196a, 7056
85a9, 43a4
6b34, 64ce
4a28, 5cb3
9e41, 94bf
a88b, f16a
b274, 8c16
e73d, 785e
15f0, 1232
1954, 2c71
be86, 44d0
4c95, d67a
a581, 1943
7d0a, a493
6b4d, 3724
3403, 6a91
1b77, ff06
7694, b33e
a254, a2c8
cccb, 98b3
c370, 9d15
c1f9, 0b17
3216, 7832
3a46, 67f0
45bb, e0b7
a028, 1ba3
e649, d5f2
c0c2, 365e
70ac, 7c6a
7b6e, 415e
74bc, 1ae8
fc64, fbec
dddc, e23a
6a7f, 6e9a
bef4, acc7
31e8, 9e27
b2aa, b3ac
ccc0, 9dc2
9953, 2005
e164, 4b38
0936, 9f0c
ec88, d6f9
6b78, 3d3d
21c9, 2e6e
ea6d, 88c9
f426, 5840
59be, 50de
6590, f6a0
5f3a, fede
f801, 7ff0
cd92, 3a3e
ea7f, 0427
5a74, f0e3
b6f9, acf2
1d5c, 1b51
f311, 8b4e
42f9, c310
d524, e036
be13, 48ff
80c9, 19c7
78ad, 639c
eb13, b87b
d2bf, 466b
2ace, c270
723d, 7b24
4d98, f999
10df, 0e9a
0b4c, 6fe9
87bf, aa25
4caa, d5c0
36d6, 2c80
77fe, deb4
36e0, e09d
cf35, fb7d
4646, 7220
4fed, 4347
1cd4, 7da1
60cb, 333e
e15c, 808b
3009, 5c92
26d5, 4612
8118, 7f39
3a49, 1b9c
e423, ab1f
11e7, 4a48
9c19, 54cf
b887, 11bb
f474, 93fe
0648, 6cf2
6897, c1c7
abc4, ab09
d67b, b569
10c5, e2aa
67dc, 95f4
5b6c, 3a61
3dbb, c1b8
a8e4, 807b
c366, 0454
1b45, c8ad
46ac, 8c96
e3dd, d2b4
5595, 04f3
e285, 1cf0
cae5, 7e50
bb5f, a45a
d366, 1955
0e4f, 1cd0
6219, 1d43
5ce4, 508b
183b, 1d11
9380, 2f4c
b0e9, 19ca
4d77, 8e3d
d856, 5a2e
85a3, b7a3
0ce9, 9c1d
ef9c, d344
ea54, ee5e
bae2, 67c5
dec8, 5f97
160e, 99ca
21cf, 673f
afe1, 5d11
1076, c6ae
c918, e933
6ebf, e915
8850, 57d2
c623, e8da
e64d, 177c
afac, 5c14
ac3b, e274
064d, 6cf4
2bf5, 1615
e58f, 97c1
e758, e18c
3a31, 5b30
1c0c, 8391
7be4, 92e6
5bfa, f721
ae53, aff2
8ec1, 4eca
e10d, c251
91aa, fa0f
3457, 9898
f435, 4175
cdda, 0c2d
ef54, 156e
7cc0, c6a4
ed4a, 14fc
1360, 7c96
f05b, 39c8
9323, c5b5
39b5, 9a17
c64f, f913
efb9, 4850
32a7, 8f60
