25dc, 1347
4780, e42c
5215, 7e46
6569, 47c2
336b, 6b18
02da, 1ccb
a107, d3c0
39ae, 8271
94d2, 47d5
582a, 3fc0
1a0a, 4cf0
a524, a8a9
05e4, 3b09
50e8, 645f
e420, c084
c811, cd9c
85b1, 6c11
ef16, 8c98
70bf, dcf5
5646, b183
31f3, f99f
988d, 8e7e
9afb, db5d
a19b, 8777
c436, 138a
1eb3, 322b
2f46, 7919
b32a, 208a
f090, a807
f343, 16c5
337e, c07e
70fb, 4560
c507, 9032
0633, 1698
1040, 337f
21fe, 0a29
2f7b, 779e
c0d9, 2e20
486a, 8bcf
d1ed, 46e5
d81d, 9cc1
0e8d, d6c8
6b91, d340
c9ae, 209b
5b20, 94bf
2b7d, 5633
3b50, b8f4
b5d7, 41f4
dfb7, dec3
72f5, 7083
e2e6, 75e5
736f, 1593
4e4c, 5c98
5c12, 75f8
1f5d, b2a8
5aee, adcd
0a01, c04e
c018, 2a96
4c38, 16b5
28b1, fd31
5814, 49c6
59c5, 9d10
0060, fd8c
bbef, f5da
8c9e, 0c5a
6442, ef41
1106, 40b2
d302, 68d6
0393, 6de9
4150, 29c0
d8eb, 680e
7e4e, 44b9
209e, 8e3c
59c4, d737
10fc, 3265
0ade, 4ea1
7dc5, ba9a
4023, 66c1
ee61, e73a
9365, c31d
7b73, 2f04
49a6, db72
844d, 5f13
05fb, 647c
ec71, 631d
6bcf, 66f3
ddb4, cb9c
4f8e, d743
b64a, db1b
83f4, 811c
7c12, d8d3
745b, b055
1cca, 1ea2
8361, 82d2
ead6, 09f3
9222, 0d0a
02ef, d97c
5775, 51ab
b848, 412b
b8ef, ccd6
7f3d, 9690
283c, 9627
6907, 531e
6954, 7ec6
1e2f, 6712
70c7, 057c
ce96, 0bb6
811b, fa97
4735, b2c6
250f, 0d41
c2df, 73c1
9505, c953
a179, 59ea
5f71, 1762
7f2f, 27b1
d089, 9f1a
dd39, db56
b301, 8d9d
8a62, cf9f
cdf3, 68d5
e897, 4425
d470, 9719
abe8, a90b
d06d, 92ac
6694, 1415
9919, a56a
e004, 4969
28e8, 66c6
7614, eac5
8bbe, d28e
799a, 1ad1
52f5, 69b3
6670, f76f
541e, 91d3
37ae, 2b78
db84, 2087
1179, 1253
201e, 27a4
e413, 6267
7bf8, c2e7
7769, 120a
7c95, 13b2
9c13, 4936
770f, d170
1038, 6b19
be7d, 3a2c
7f99, 9bd5
638a, 4adb
87e0, 84e1
1260, 127f
e372, 2c9c
485b, 0fce
73ec, 01e8
23f0, dd08
2151, be9f
0918, 5e10
3b1a, b9e3
fced, 90db
19e6, 559c
a2d3, 2e06
98c7, 331b
2652, c20c
1c9d, b2d3
3de3, d251
9610, 30e3
879c, 9bfd
32b5, 896f
1a8a, e8c8
9278, 17b1
1ec2, e839
9f2a, 667e
8022, 8ce9
fe5c, 1f13
6037, 1e02
1453, e90d
c3d2, c109
2fc0, 1bad
94d0, cb85
d10f, b528
1c9f, 4235
dd85, d16b
88d4, 6a6b
f6e2, c922
7861, cff3
06f8, 663e
b78c, 75c0
7c58, afda
f868, 3404
30af, 175e
5b4c, 1683
1de2, 3b53
c784, 91eb
1aa7, 0994
995c, 3023
cb28, 8793
93ed, ca3b
ae87, 2104
073e, c393
3240, 6cdc
82e9, 7fac
f3ad, 6274
b9f5, b7cf
17be, b47b
ac06, 16a1
dfe5, a1ca
a196, 4cc5
2447, 3a18
8b5d, e45f
f820, 99cf
cb14, 8919
270f, cb3f
cd2d, 4a9e
ef68, 4f68
0289, 5d91
cc17, 6c30
0f17, 39f8
e473, 2fb6
415f, 7f48
5c2c, a54b
cdb0, bd41
6fdb, 0ec4
988f, 5782
573a, 9bcf
82ce, d592
894c, 3424
fbd9, 4774
bd9c, c882
6755, e3b0
6b36, d688
c480, dc0a
97e1, c695
009b, d4a6
b1bd, f403
659e, 8a58
559c, 19e6
7ff2, 395b
090f, 76bc
33a2, 5c39
0177, 7688
957a, 20a0
3ad5, f01e
0e66, e9a8
93b2, 8cd0
9c01, 9bdf
f237, c5ad
6985, 48ee
a129, 3478
e61e, 5ace
efc6, 93f1
0db5, 5039
4da0, 53cb
dabe, 1d43
e944, e0f8
aeaf, 4299
6169, c673
5848, 69f1
7a7d, b304
0da0, 96fb
fefc, 6f5d
d5e2, afc1
2403, 76b1
4a67, 1d08
5421, 9f17
e89d, 0488
11af, 0be7
ed7d, 4365
fbe0, dc34
2a4e, d37e
1ae1, d255
afec, a8d8
23f9, 4ff6
ed2f, 430a
09ec, bcc0
48c1, 2c37
8412, 4edb
137e, 40f6
dca2, 384c
3fa5, 24c9
7db9, 8f5b
db58, 39b0
9d76, 0edf
9164, ce2f
80e8, 361a
28ef, 9587
a700, ebaf
80b7, 705c
c079, 9f6a
332a, da49
eb16, 9809
4553, dfeb
4f6d, b53d
9a08, 913f
f8a4, c86a
972b, 8ac4
8b13, 52f4
d486, 2c25
4cd4, dfd4
acd9, f6b2
ea45, 4b09
93f3, 05ef
1356, c398
03b5, 42e8
c688, 9588
b935, e961
f931, b313
3a97, 8928
a7a0, da6a
b1fb, 0d0f
c8f4, 8a94
27c1, 1f47
9363, 8c1a
e051, 0f47
1f6a, 5aca
8706, bdeb
bcbf, 0b41
3ed4, 2e84
0419, ea2d
337b, 9747
fe95, db89
ed94, 32a9
3281, 3f86
985a, bc8d
8ede, f90f
e41f, 9974
372e, c42b
36c1, 2a8b
72c6, a00f
d71b, 2a87
7fe1, 687c
961f, d7ed
fdec, 0234
dc1f, a38a
f789, 8b3f
fef9, 3bd7
cc79, 709c
