a33e, 13e1
9299, fc92
431a, 4cf3
4bcb, 1126
9aae, cabc
1062, 8bbd
109b, 01a5
a170, a312
f480, 2cbe
0bb9, 5db4
a20f, dbd1
1691, f29e
a134, ae83
733f, cc19
d296, dccf
131e, 102d
9879, df26
997f, c8bd
8adf, 2bfe
7ed1, ed8a
afd4, 78a0
33c3, 975d
6cb9, 312c
69f5, af4a
1bae, bd34
1e0e, 60ae
d774, dbf3
7b95, a75c
e91b, 824d
4c39, 4b8e
1d32, a837
17b4, 405d
ddad, cc9a
512c, 5cb7
4744, 4719
4381, 83d5
9fa6, dfe1
41ff, 4b08
726d, ec5b
d6e7, cd6a
5adf, e00e
7937, 71fe
da46, 18df
76ff, b507
2c63, 5393
8377, 67f5
d14a, a8b6
822e, 892d
2a2b, 20ad
869e, 86da
4b5e, 5e84
c511, f21f
9a04, 786e
d302, 6d69
22e6, fce6
70c2, ec6d
4cbc, 6bc5
7c5c, e5ac
7e97, 715e
0307, 7f0a
787c, da3c
9cdf, 9ab9
1e01, 1105
a281, a685
4c21, 64ef
dc47, a517
342b, 3910
377b, 39c0
8805, 4aa5
79d7, 6466
c931, 0409
53ae, e601
24c1, 5655
1616, e232
d540, 04c2
e13b, 7e11
a6c2, 19ef
21e4, fd24
512c, 5cb7
2376, 5022
ee70, 5e01
6996, 6409
ca9e, c79d
c921, ce2b
6257, cdb9
d3db, e9f0
3d33, 5850
3a6a, 2b42
c947, 31af
a46b, c559
160e, 1af9
9a0f, 1410
2f16, 9812
f9cd, 9c0b
176e, bb2c
0dee, 793a
83fb, 1460
59a5, 5e07
7094, 5152
1638, fc70
cf10, ea25
1766, 10bb
4d70, 3d49
fe4c, ec13
6b24, 8dc6
1ba1, 1e6f
c73c, 7147
60f4, 6f49
acef, cb53
6ae1, d52a
dbf7, a814
4b67, b1a1
5691, 044c
624c, 6cf3
9dd0, 3603
0aa6, 3aaa
450d, ba66
49db, 1752
5069, 5f52
1f11, 68a9
36ef, 5340
a1a9, 7499
f098, 9f9e
5137, 097c
6aaa, b213
ecb2, e2e9
4e6b, d972
487e, 4d36
5a18, 1d36
9681, c222
9b76, 402f
0122, 5bb4
86a7, b579
234b, 264a
159f, f698
693b, 6c58
f615, fb2e
f075, 9c71
7ffe, b6fd
ba95, 68dd
b4ff, 41d1
7f18, bf2d
3715, 3781
3f33, 9da2
ec04, a1bd
5c09, 2257
b6de, 07fe
6535, 6f01
9e6b, e904
0776, 70d1
82be, 2f9f
9e3c, 21cb
a07a, 1fcf
f62b, f318
bfab, 34f1
9830, 28a5
3db6, 6c42
7468, 716b
b001, b39f
c406, 39d7
98e5, a1c6
c179, 207c
deca, 4876
4fa3, 3c92
f028, ff4e
5e76, 45e8
bcbe, 8bc1
3196, efb6
f23e, cc68
ed32, e474
579f, 2c87
48ee, 4bd8
5d7e, 3808
5a96, 2651
e805, daa5
1adc, 116b
1171, 17cf
5260, 6064
9063, 8760
ad97, a445
5df1, 6bdc
0067, d367
97ab, 9960
354c, 6910
cbe9, 7a3a
cec3, 3a06
61a0, 2b69
ff65, f0a0
123e, b60b
1fd1, 3f31
df3e, 51b7
98dc, 9be5
96d9, 6450
0e17, 3cb2
e927, 7c24
7c0b, fb66
10b7, 786c
bceb, b28e
db18, aefb
c7a6, f99c
bfb3, f86f
d89f, 65be
63a0, fea4
50b4, 512a
7e66, 2056
857d, 3f5c
71cd, 7762
f774, f370
e7d3, ee04
fcf9, 99f2
c85a, 5cd6
af05, ff08
0668, 3728
c9bf, aabf
e405, e289
8269, 844b
4cd4, 9f1a
ef37, e279
0b57, 0c91
a93e, 50b8
4ebb, 590a
6940, 6cf5
1a70, 2f6f
c6c3, cbce
947c, f7c9
7914, eb3a
0289, 6584
adb5, da67
e19a, db94
37bb, 3046
1448, c102
bc91, 6359
9ecf, 9e01
2839, 5f35
2f13, 2e1e
04d6, c274
df05, 4673
2e76, 280a
fa3c, f755
a203, ac0c
4d0a, a027
1fac, f2a7
42cd, dc08
c4e2, c9e6
3df1, c670
6ec6, bcbc
1285, b6fc
5754, 5990
b80e, 57b3
5036, 5faa
8d94, b46d
84f8, 7a48
56d2, c10e
41f8, 4002
142f, 641b
a498, 42eb
9fde, 93eb
ceae, cdad
7520, 01cc
4223, d9f0
07ac, cb3b
5309, eca5
30bd, fb9d
d414, adec
35f2, 38da
0157, 0c9c
84a8, 88fa
94cd, 2108
ea5e, 0c62
3d8e, 4201
bee2, bc94
d546, d7cd
e99f, e5c6
c5bc, 5cfa
085c, 60bb
5c3e, 52ad
79e2, 75e7
3d55, 4fb1
1a8c, 5344
36bc, fdb9
113f, c21c
7724, ea47
e6a4, b292
8fc9, 8e12
4678, dd1e
7164, 7469
88f5, 73c3
3352, 170b
e36a, e656
4c38, 0b5f
7d39, 6c30
346c, 1763
925d, 1d87
8890, 6f35
949b, adee
9af4, ff10
1f94, 1598
5dd5, 8079
3ff7, 3329
3efd, 97d8
7da7, 29c1
0673, 507c
2165, d5b3
2365, 2f50
7305, cc3b
515e, 99f7
0784, 0cf3
1d78, b899
e312, bd8c
6f60, f864
96e9, 93d4
dd40, 1d10
880f, 85d8
8263, f0e1
39ec, 32d5
fb5e, abbd
ff70, 6fa3
1e81, 4c76
7c05, 0937
bf70, 93e4
1b7e, 4177
2ece, dd9a
569f, 9e40
fe09, f39f
5bb0, 20b4
e706, e0d9
ff43, f3fc
5ee1, 4607
1574, 1818
30e3, 9eb4
004b, 561b
aad0, a1ab
222f, c82a
4bb3, 3760
a14f, 8892
a447, a69e
6dee, ffe1
