25d5, 04ee
b16a, b30a
c24f, 174f
3cf9, 88b7
4f79, ff06
dff5, 3ca3
b9e3, 04e3
07ec, e76e
10e6, f215
6e5e, 9047
1051, 9dd7
8467, 6ab9
4ea0, 4fab
6d99, bdc9
e01f, d1a3
75f0, 4ffc
3306, ecec
c19d, 5e9d
2f62, a85f
5ebc, 70b5
f423, 3757
5a7e, 6230
43da, e166
9544, 8a07
c9db, 5e11
ca08, 20a1
e589, 4c14
b4a2, 0585
6ff0, 14f0
8205, f314
ffd6, a543
c80b, 31ea
9975, 4cdc
ef73, 331e
1721, 0864
15f9, 04b7
7f7e, c275
1043, f613
22d8, 49a5
7b2e, 8f1e
a0cc, 6012
abad, 685d
f9a9, b776
e110, 87cc
05c7, cd2c
41c3, 7dc0
c224, d59f
60ac, 673c
6087, 0037
a0d5, 6bb6
5e17, 4163
7f14, 478e
4a0f, c471
6d9c, 70fd
2ef0, e24c
23e9, a652
b7e7, 3157
e1aa, 8a86
0114, cf21
860f, 8649
9d4d, d50a
0c8e, 7878
f940, 7840
3c50, 8e11
0807, 35af
5ef4, f5bc
e2c3, 6de5
30f3, bd34
47b1, 92b7
f510, bd2c
370b, b1ba
2661, c198
fb6d, bbb4
cedf, c978
4563, 3622
1082, e2ea
a93b, c319
5e0e, bf1c
ea04, 86e4
30bb, 3b55
cd09, a8e1
4123, bb20
6349, 9cbe
a5b6, 9cba
baf7, bf4e
909a, 7edc
e3b6, bdc3
83db, 4062
5b4e, b090
25df, 7b70
4ceb, d73e
9fdd, dc5f
3b1b, 4990
24ef, a2bf
c379, c98c
434b, 7aca
10b9, bd8c
de8d, 9fec
a69b, c000
fc62, 351a
59ee, ea58
d4fe, be18
9f5c, de3d
22a3, cf0f
646a, 65e2
3d43, e043
71c9, a6de
574d, c4fb
b935, 313b
cd53, bce9
12cd, db82
b4df, 0a8e
9b77, df0a
589b, 5f37
089d, 174d
f288, 7594
3d47, 48f3
e549, ec0f
dac9, 364a
be8e, 30d5
fcb2, 8574
f23d, 06c9
aa4c, c50c
74fe, 5515
e00d, 51c2
e66d, 5653
4f78, fd1d
8020, 970b
b0d2, bdd9
65b7, 8e80
552d, 5a93
b748, 8833
3d14, 8dad
4c01, 9bfd
4928, dd14
8e73, f187
c53e, cf77
4386, 90ef
d0c2, 6d6a
08c7, 7e14
4f94, f69a
656b, 6c1c
78a4, 73d4
bf03, 0c41
bbcb, aff4
f763, f322
4ab4, a6b8
405e, 4d55
cd58, b1e6
c4db, 17ad
68c6, 8cc8
9816, 1ff6
d906, 6f1d
d818, 762c
85da, 6c86
3248, 484f
dc65, bf06
29b4, 9fad
edfa, 9cde
bee4, fe5d
14c8, d388
7d1c, 23c8
1d8e, ecda
f932, 9913
eb17, 5bab
374e, dab2
e966, 6e80
8f42, 9733
629d, 3581
198d, 4f1e
dcd1, 3121
db23, 518d
0870, ec85
7a44, f483
0561, a5c7
16dc, f82a
0248, 5298
3903, 1334
acda, e913
c951, dc57
363d, 13c3
3eb6, d3d5
6f3f, 47dd
8d9d, 5742
73ed, c801
45be, 73f2
198b, 57de
e6c6, 9e4e
d538, 9535
d2d7, 0db2
8c8f, 31da
e034, 55f4
2246, b46d
0252, e46f
0563, 1062
e888, 2fff
5d4b, eb44
d585, 0ee6
0aa1, e2d9
3e92, e64a
4921, 2711
875e, 5f93
74b6, 01e8
915c, 2935
4f78, fd1d
03e6, c23e
cb8e, 7c39
416c, db06
048e, ef09
2612, 030c
e00a, 95eb
9510, 8e34
5b69, 36c2
d303, 9565
576e, 795c
888a, 5857
fabe, e972
2940, 8840
8dd0, 361a
8446, 32ff
7e5c, dbb6
9e83, 13d3
0cf5, 128a
f5aa, 785b
5b31, 64c4
fd09, 91c5
05b9, cac6
01d5, 2ed1
ede5, 4d04
0901, c075
3237, d082
e743, 74ec
2695, d008
b052, c1f9
d8b8, f0f4
cf0e, 1e03
dabf, b19b
e052, 365f
9785, d9e5
5a79, eb4a
a7c8, c869
3ecd, da83
af2f, 284f
1415, fbe6
b795, 4d91
e0b8, 2d76
ff2d, 8be1
fe80, ba0e
9e6e, 1eee
655c, 490f
48e4, fd54
7b7d, 6dc4
8b52, 8082
1a6d, 6a6d
2733, 139e
382f, e3b3
75c9, 8c24
a6a5, cda8
c738, 6597
a092, 666a
3fed, ff22
61c4, 0fc9
859e, 35cc
a8b4, a6e4
621e, a900
1e7a, f002
68d7, c77a
07e8, eda6
2016, ebde
83b6, a385
c507, 110a
c2fd, 28a2
abc0, 7d1b
28b8, 130f
b5e3, a3ba
f446, 12ff
196b, 2cde
f306, 601e
01fa, 7541
c18d, aa5b
da58, 19e8
bb6e, b0eb
30a1, e661
6863, 1f22
a509, 6ce2
7298, 5243
c879, adb1
ea8a, c39d
34fd, 489b
eba3, b725
f019, d81f
e153, 1c91
8bae, b93c
e794, a154
abf2, 2caf
c6ee, 51a7
afc7, 7114
91e7, ac3f
2e1d, d005
c9e5, 148e
ca89, b102
4883, dde6
c267, 554b
98d2, 846e
9b8a, 7925
1552, 9d8c
5240, 7a40
c531, 0675
ab82, f8b8
2641, 0712
fb78, 1497
8772, c515
4789, d6b9
09e9, 5cce
c7b1, ace6
396f, 49c2
ae87, 675b
2b82, 98ee
601a, 9e73
7795, 59ce
2df3, 46f5
045e, 7788
8835, 1837
6f93, 6c04
9b5d, 6e54
ba90, 4862
f439, a858
3e15, 5f78
