20ab, 3c4b
7123, f464
cb27, 3199
2e5f, d94d
1d32, 865b
7e41, 2af1
fa16, f7a3
9c6d, afc9
6d35, cbb6
cf8d, 3c59
c322, da0a
0d2c, f888
e238, 7d00
d7c9, bca8
452c, 79f7
0e5a, 1b59
e54b, 0dbb
63e4, 151d
f925, db4c
119a, 87d6
9400, 1005
a7c6, 1297
14ff, 0078
9205, e1a5
cd94, d98e
7163, 75ee
6c9a, 04a7
a079, dcff
b90a, 5c42
1f01, 15e2
d9c7, 6c15
c2a2, 9e8c
0656, 8dd9
6fb7, 8845
4152, f6cd
723d, 501c
d252, 879f
b7a3, dd6e
455b, 1e63
e70b, 6081
9ed4, 0dae
9cfb, 41fc
1855, b47b
242c, e9d3
2dac, 7914
4ef8, cd76
483b, 94c7
9c52, c7d3
34a2, eca2
0e2b, a96b
ec87, 4d05
5361, 0d1d
673d, a6c0
a573, 0d4b
2be9, 3461
c66f, dd7c
cda4, a977
71aa, 4831
a02d, d347
8648, 864a
98e5, 15aa
c60e, 804b
e27a, 2bcc
01c3, 8fba
f5be, bdba
d5a7, 81b2
dbf5, 1af6
3dfd, f63c
ce99, d5d8
fe79, 7283
4813, 043a
9c05, c27d
f2c6, 4d78
1a70, 4518
8f6f, 6e58
f24c, 9231
6b44, b54c
89ab, f0a9
5375, fedb
8d94, 48cd
c72f, eda4
b024, b02a
0eb2, b778
359b, 804a
03b5, 7bbc
909b, 1dbd
4a30, 9d26
546a, b288
e0e4, 78fe
4d85, 345f
3735, 60ac
abdd, 650e
4ef7, 79cf
3de3, c0de
d257, 70b3
3742, 82cd
b413, 8782
b3e2, 3489
8293, 5962
2bd0, 7f87
2a32, 6fb9
ea32, 5952
44f1, 5444
7adc, c2f7
42ad, 4169
0481, 50ec
ff37, ba6f
89b2, d6a7
6127, 9f7a
2ef4, 88f4
c5dd, 2386
efdc, 8c48
1163, c974
808b, cffb
90f5, 573f
815c, 41ab
953a, bab8
bb1e, 0bfe
7835, d56c
10cd, 3359
8a12, 98ac
07ad, eb8f
91d2, 1f21
ad80, fb9d
dbdf, ee5d
d6e0, 9d6e
635a, 9128
18d2, 7c9f
d413, 7d51
6370, bea4
5b1a, 32cf
886a, 788d
ba72, d697
094d, 4860
3914, 1ff7
9d88, e1f4
4e8d, 1635
978b, 6271
2dec, 7dc3
7d77, c8fc
4cbe, a2e3
c06f, f436
6382, 8d81
819c, e113
d8da, d63a
3f14, 3f74
3796, 7a9a
ad82, ecf2
6451, f661
08ca, 7df3
965f, 8634
55ee, 5e20
57f3, d350
ea39, 2636
05ef, 4ad5
a923, ac76
4f5d, 36ce
4d8b, af42
0d8c, 0a8c
be3d, 0423
aabe, 1897
38d3, 7d9c
3551, 5959
4503, 224e
b13e, 6185
92a4, b5de
4130, 6e70
ded7, 155d
1a63, fb95
9d45, 885b
5f5c, fa9d
c1f9, 336e
4a5d, 397a
2cb7, 4253
dff8, c6e0
797d, 2aee
7d81, 0772
1a74, d793
98cc, 724c
dbee, a186
ccfa, 28de
030e, 5cde
0a42, 380b
74b6, 4540
8075, 3e43
08bb, 0545
d21b, dc81
0022, 9403
7620, beaf
dc20, e4b9
029e, fe4b
603c, 6c3c
ea85, 2f4d
598c, b43e
081f, 04e8
36eb, c937
48a9, 2341
4054, 2889
3849, d889
d698, 71fe
91c3, 738f
e933, ec33
4d0f, 132b
8e71, 8377
7ed8, fd19
5d43, be9a
3432, b96a
b28e, 8755
451f, 2055
5fe9, 44cf
6166, be5a
d35c, aaee
99d0, a99d
947f, 8700
adf9, 13b8
d77f, b4a5
887a, 1293
6cc3, 5ae2
530d, 79d3
0869, 806a
f9a9, fed5
c699, 9614
52b1, e034
8a90, 3bee
449c, c713
6174, eda9
ec98, 6ed4
cc0c, 41b3
397d, c5ec
2802, d90a
0aa9, db38
29fe, 1140
d09c, b11d
c83d, 4e56
f1be, babd
bda6, 9c42
4e30, 1c2c
b924, 9459
6231, 4124
0c50, f7d8
c7ec, 2006
f135, 32ac
dbd9, 833b
6db7, 9a13
3faa, f241
af4a, da5d
eeb1, 36b2
5f7d, 206f
73ea, ab26
5c17, 7a4b
6910, 4efe
20dc, 08a3
62cf, b832
1331, b760
3963, 72a4
c060, 4314
c48b, 9acd
4904, 2db6
d72e, 5d2f
1ed0, 0cc3
5faf, 5946
f9c2, d292
983f, c5de
a1e3, ba82
f4d9, 2951
70b7, b297
872c, ca4d
f573, 4436
3c6b, a5b8
5993, 57e3
b7b7, 16f7
8392, 8495
7bf6, d6fa
3896, 7093
c45c, 1aa3
4187, 7571
1e66, efd9
f0a2, 5fe1
c9d2, 13c9
49cc, c7f8
73dc, 9ba1
fea2, 45b1
2eec, a7f0
812f, c03c
b853, 7911
a8cc, fef2
a034, 2644
588a, 220a
66bd, b428
ac1d, 63a8
c64f, 1074
06f9, a22e
73bf, 8490
e90d, c0ee
5c59, 98b1
47bc, 63eb
6e3b, bb85
0db1, 04d4
5948, 448c
3687, be8f
7783, faf5
5590, 4d73
5781, 2fd8
59eb, 4b43
fffb, 9712
fdf5, 3444
89c7, eca7
d3a2, 457b
2c0c, ba35
e115, ab13
2f32, ad34
d8cc, d9cc
3883, c698
8f81, ac72
e615, c57b
b61a, 037d
ee90, 3509
05a8, 8cee
1fa6, 7204
08c7, 8d20
302d, 7bf5
03d1, 6d3a
5857, 2c17
e36d, 6a02
ada3, 768b
e719, b8cb
6992, 5c19
4437, b27e
1798, 9a17
add9, 8928
6ff2, 28e6
8cc1, d730
5b6d, 2166
e5c2, 5e81
1ac5, 1685
10a6, 31e8
1b8e, 022a
100c, f3fe
