bf5e, 7c96
0b27, badf
a781, 2655
c039, 3e98
5e10, f069
3d92, 581f
4b0f, 7259
65d2, 8b61
0a44, 0184
db33, 0878
08d8, dfe7
cb2e, 481c
2ebd, 973b
a09e, bbf5
16ab, 5ff1
5df0, 9d21
d102, e101
d720, 0dc4
aaeb, 8a4e
586e, 9dac
7fdc, 358a
ddad, 04f0
e8fc, ddaf
2d7e, 8e62
218d, 133e
6ba5, 5cc7
69ff, be28
a7c4, b7d6
48ed, 87ca
ace4, e5aa
10ab, 54dc
7494, 645b
10f3, 97e6
5bb5, c069
9340, 8dcb
7a86, cb96
da62, 6762
81e2, 71b9
b571, ae19
48a1, 900b
e91d, 291b
16cf, 76ca
577a, 8d5b
c5d6, 0132
2038, 851c
b63e, 9c0f
fab6, 17c3
1b83, a4b5
9b69, f266
e70b, 05e7
5513, 3b75
372a, 325f
8813, e391
ebcf, 8e6c
1b55, 89ad
d911, 01f9
0cb9, 1767
cb88, 0ca2
61e5, a48d
0d9e, f3e1
084e, 5545
5c2d, 5b25
296a, 915a
ea1e, 7678
7792, 1669
f121, f52c
125d, 5ed4
54e1, 5fe6
9680, 6d62
52b7, 3ded
d6fd, 0c8d
b91b, 49b8
51f3, 611c
72c1, 79a1
04dd, 87b9
3471, 2748
f3ef, a15e
dc88, 07c4
8c5f, 14f0
6ed7, 4cca
bcb3, 0af7
2324, c727
2ea9, 6378
01b1, be00
6781, 2a5d
53b7, f60c
8b45, fa05
ee86, b1ee
eba5, 50ca
1013, 0a80
ba26, ebae
9425, 23b6
d3d0, f5ef
b66c, 5eff
f098, 2fb1
92e2, 3603
e369, d28e
3f19, d3fd
ace5, f341
a6cf, c67c
bfc5, 2998
c2f2, ae32
95d1, 90ac
954f, a177
40d8, 69eb
1563, c7c3
a6eb, 549f
190d, 7173
c583, 711a
47e2, 6787
35fb, 8411
996e, d86e
0171, d585
b52d, ce5a
4ace, a74d
fd17, fe11
a2cf, 9980
8bba, 5989
3943, 8eca
6f92, ae88
8be2, 50cb
0c8f, c2f0
1f8f, 125f
6540, 5ea7
70fc, fce2
d318, b549
2dc1, f397
b16e, 6a36
94fa, 0470
d48d, 7fa0
36c9, 03af
4bbe, eae6
9804, a1f6
53f5, 1d0d
1f35, d662
a3cd, fb41
144b, e888
55bd, 5192
50aa, 7f9e
4522, f245
93f2, 13ca
bede, 0419
2fa8, 057e
3c9e, 19e6
3a0c, b7bd
51ad, 25c8
5b65, 9e04
9cd7, cd38
0273, 545d
0f32, eb7d
1288, d085
558a, c415
ae44, 6b9e
aedd, 15a1
23f1, 4fc1
4191, c516
bd32, cc49
0884, e619
9e37, 8c5e
9d5f, 8f85
1d7e, 7d29
e4cd, a6e3
c61d, 917b
77f6, 7124
bcae, ae92
040f, 2b1f
ef05, 3653
866a, b55c
88f0, 32d3
8aaa, d2da
f2af, fb69
cc54, a9f1
cc40, 2d0c
84a4, 51f5
8007, d672
b937, 4e60
b507, 2a63
0178, 92e7
3cce, d90b
ac0f, bfdb
83b8, a072
d24c, 7829
2449, c303
5479, 73bb
6b57, c53d
1f59, 09cc
a91b, ac71
8d60, 47ed
b66e, 9502
0667, de50
cfd5, 7c28
d6ea, 78e8
375e, 5e31
cdfa, 99c3
4161, 17ea
5075, 8834
ccfa, 651b
1b99, 4c7c
c5ea, 0a0d
fe51, dabe
82ec, 6810
60eb, 6554
a580, aca8
1da6, 5fa1
5252, 733b
266a, 9210
b93f, 99d4
9391, 4a58
69fa, 3c4e
dc20, f6a8
937f, d7cc
504d, 772e
9d1f, fc61
b3ef, 90be
6523, ba07
a5b8, d9c3
8823, 756e
1879, 2b50
b2f7, e191
6f7d, 30e9
38bd, d7f8
071e, 57e2
1656, 4220
a7e7, 7eaa
e94b, 74b5
669b, 9415
cc1b, 9959
d9cf, 1088
c32f, 2396
b053, bf96
9765, 69da
dd0a, 7fe3
2d05, be47
949e, 9207
18ea, 0452
d5db, e207
68a7, a7e9
2d94, 4d15
52b3, 5b62
44b6, fb95
376d, 712c
3d07, ab9d
36a2, 08ea
b1f7, 042a
cbca, e7b9
f1f7, 81d5
df44, 187e
9a94, 4ae8
8988, 865c
b8ae, 40c4
6bd1, 1959
e9cc, c802
be72, a766
889d, c102
9304, 5bbe
38c7, 1316
1df2, 8520
3e01, ec03
ef8a, 2e2d
ff4c, a192
c880, 427f
a127, f0e9
9209, 1a17
1e41, 4222
3868, 086e
520b, 26d1
5cba, d2ea
eb17, a3b0
908e, 9048
9383, 8197
a391, a90c
bb9b, 4fdd
81fd, f513
2606, 2d03
e2ed, 3554
ade5, 2a4f
b1ec, 6746
76f0, 7f85
0813, 77b1
2eb3, 0fa8
078c, d82c
9231, 9e08
1bc2, 3c7b
9278, f6fa
d522, 7db6
47eb, 961b
f1b3, 0de4
9626, f106
87ed, f9c8
2cfc, 10e3
ce1a, 4412
bdc4, 9d5b
ab0b, 423a
4f08, e493
48ce, 6ff4
7611, 346d
11d8, 48d4
1129, 0473
56bb, 5abf
d1be, de02
85e5, e654
c0a0, ae34
29bf, 6390
f5fd, a225
a5c0, 7d8f
e4bc, 54bf
d5d7, 9f4f
064a, 5d6d
264d, 1d45
3c5b, 13e5
b721, 6a7f
8472, 2716
d682, c9b8
ba91, 91c0
9f55, 60dd
f5ab, 8a0b
cd21, e591
3795, bb3f
0bae, 2e11
c256, beb3
a576, aaa9
88ff, 5cd2
cc05, 1704
714d, 3901
5a9f, 31a7
22be, 28b2
b4c4, a914
c60a, 2444
8450, 7f13
43e1, 271c
082e, 33b3
4319, 4121
0dba, 026b
b8f1, 027f
fe3b, 37b8
