1057, 44fe
8ca2, 61fd
f4a0, ed91
e919, d9a6
4cea, 14d4
8f2f, 6dc0
c1c5, 292b
6f99, ad40
8011, 89ae
e4a3, 1b09
e3a3, 24e2
9037, 693b
d70e, 2832
3bca, 83c2
8bd9, 5b69
e8b9, 6613
0efc, 59a5
6bcc, 3801
a978, 2903
8cb5, 3b4b
21e6, 9fab
d466, 2f41
cf63, df58
be41, 038c
ffc8, 6bda
4b47, fe97
8726, 29d6
53a6, 29b8
9716, 6786
fdda, efa5
2831, 69d6
0c44, bf3f
9689, 19ce
7dcd, 8816
375d, 31dc
b390, 17d5
9756, c0f2
4d4e, df20
73f8, 78e2
b16b, c16b
100a, c9f8
fa3c, 8e2b
eed9, 2750
23bc, 42a7
81be, 804b
5d6e, 0dc7
a869, 04be
1502, 653f
61c5, ec7d
80d9, e066
2720, 2609
c33d, 6951
e00b, 3b25
971f, f378
dfb3, a173
8709, b453
24df, 761e
8e19, bcb3
e47d, 4b8c
58b3, 5d6d
da59, 6c22
0f95, b9f2
008c, 8027
32bb, d5cf
53f7, c13e
e32e, 42d5
848b, b3ce
23a8, 92c5
da43, 2520
a22d, a593
e2ce, edbb
2cb2, 04e6
33ec, 8055
b85d, fcaa
899b, 5ea3
9b3f, 1861
fb6d, 7322
fa72, 901b
8087, d870
35d4, 9a7a
6e87, 7a06
3aaf, babb
087a, 6f17
5997, dd71
0dce, 5794
556c, 2656
343c, b325
0019, 53db
2568, a4b0
0bda, 9f28
a00c, e0f2
a563, 1022
9975, d804
6cf8, 6770
f013, 521c
e0d7, 5bb4
b8be, 824b
9889, d448
01f4, 455e
b352, 6845
76ef, 15f9
5d91, a46c
858e, 5345
b0d4, 48c3
0187, 9747
388b, 363e
32ed, 0e13
c558, 53d5
89f5, ed35
2ad1, 8c77
bd7c, bf16
876a, 8534
5a4b, cefd
d07b, 7546
13f6, ac6e
1c99, 6686
fb3f, 59e9
ac50, 6ff8
3618, e39f
d428, 222d
d58f, 2a89
b594, 9188
31cf, 5522
5fe9, c14a
c4e9, 2646
c61f, 1ad5
3d7e, ef1a
255c, dc3d
4d93, 0727
67a0, 99f9
28fc, 7879
c3f1, 17ec
4970, 982a
d6ff, a208
deff, a9d2
db69, 005c
2c4a, 4a4a
3161, 8564
de89, afda
2a7d, 8e90
8f61, 3e67
8695, 768a
e59b, a30d
d57e, b07d
6b58, 6ecf
8dd9, 5da2
847a, 32c7
099e, fe3a
539d, 3331
1a1e, 947b
71e0, 1544
435a, fed6
590f, a26b
9d67, 4de9
d133, 754a
8119, 51c9
66f8, 6ed6
9917, 900b
bd48, dee8
a977, 0fda
a75b, dfd2
7eab, 0379
24c1, 6477
6a47, 4a38
f379, 2fa2
2e4b, d6d6
d813, 74f3
0c5a, 285e
2628, 9bc3
fc1a, 4378
38b8, 11aa
6773, 18e6
6d0c, 5045
ca6c, 590c
363b, 6ddb
95cc, 459e
9924, 137c
b8b8, 3858
6429, 2313
cde8, 1088
95e1, 14e1
1563, 6d25
e5c9, ad4b
a73e, f15d
cc45, a4c3
dd69, c5c7
0047, 546d
427e, 4611
36ba, 40e3
8e5f, 5f52
2213, ad7f
f778, f8b5
dd56, 73b9
98d1, 16d6
cf0e, 2519
0ffd, 25fd
215d, 4aed
faa3, 2937
e4fd, 980b
0bba, 0050
b032, 79d7
3430, 4907
dbaf, 9b7f
0254, 3ae7
fbf4, 9934
8880, 1610
6b76, 60de
2479, 0676
6d70, cc11
7b35, 13c2
6ca4, b03d
8af0, 18f0
9b88, 206b
0fe0, ede0
9824, 9ea8
4482, 0fbc
b240, b487
efc3, 928b
df89, c926
e1d6, 756c
57ca, 3224
40bc, 4dbd
b938, 0235
783c, c0cb
8d18, 4f93
6882, 7742
58bc, cf27
3a30, e6f9
1833, 382e
18fc, 0f5a
5b44, 4dc8
a8df, f9c3
d1d8, 2a6e
957b, 474c
7291, d551
03aa, 7f67
de47, 49cc
3fbf, 8972
d2c4, 4a91
e0c5, d15b
54ad, 84db
9302, ff52
f96e, 6027
279a, 7e28
6302, 20c5
3239, 1d5f
82e2, 4fe5
96c2, 96b2
bb56, fa06
2e1c, 0917
f3e5, 93f4
2775, fc23
19da, b437
eeb6, 93d5
392b, f7b1
342c, b525
6cad, 3efa
f3f7, f73c
16de, fab2
6f0f, bf99
a485, f983
597e, de75
9d30, 17d7
706d, 016a
79d1, 77b4
d7f5, 2f3f
fb78, 7a1e
c6a2, 7aa3
a0a7, a70c
1226, 49f4
2438, 073e
c0e5, 85b4
dfd2, a75b
b7db, 59ee
207d, 511b
11a4, bd68
0813, c270
4f3b, 2700
e06a, eba7
bc6d, feea
3840, 8f9c
1808, 9808
7a3d, 8e43
2c80, daec
f541, 3188
93d5, eeb6
34b2, 1e74
4389, 0ce5
bad0, 9212
9846, e0a3
c09a, 5fa9
3074, 6780
7391, b38b
2911, 6911
c9d0, def8
6791, 402c
c774, a427
4387, 1b89
a386, dc0b
f10b, a10b
6735, 8b76
65b8, f4e0
ac17, 6800
7d3a, 364e
8753, 613c
d689, 3736
bbd3, 33d0
07c3, adb7
6e61, 2c9f
3030, bc7d
6709, 7749
2cab, d7d5
eb6e, ce59
63cf, 6eb0
dddd, d6db
2bed, 68e4
bc27, dcd9
59e0, 7fd9
386f, 877f
6c76, 24d1
442a, 292a
ff91, 4697
a21d, d882
09c4, 6417
c5c8, 99c5
f6ff, fad4
6847, 3d8d
0fc3, b4d5
1edf, 3984
7c47, bc01
95db, 2d7a
095e, eb99
653e, c8d2
99e2, 0f97
6c5d, 398e
aff7, 1b60
bed5, 9e62
b44e, 344e
22d0, 44dc
8503, f390
9c8f, 41da
1315, ed71
c4d1, a404
3c84, 673a
0820, b320
ff92, f9f8
