f813, 6eb8
45ba, c440
804f, f842
21eb, 7e2b
74af, c6b6
9c31, 25a9
4169, 42ad
84ff, 6ea2
d073, 8eb5
9c6f, f4eb
49ba, dc4d
7c02, dd45
8370, 3628
3f94, 8f2e
7198, b956
50a4, 2d4c
4b2a, c006
2935, e95f
83c0, 5c98
8bc0, 0eda
8182, 71e1
965f, 8634
d879, 18d1
6498, 547a
fa36, a618
dafa, 6e25
4954, 7a99
2ca0, 9815
4dff, 981e
3f8e, e275
e080, d85b
cc37, f3c5
cf45, 8c4b
3bf3, 3f98
d654, f6d8
bb0e, 6bf5
050b, 7ef5
1ea7, fed1
d70e, 8b2f
43dc, a224
3950, 77ee
70ec, b162
ef32, bb31
4438, be18
eea8, 1c45
77a3, 9cc7
80ac, 581d
e803, b00b
9c12, d141
5923, 6cfa
c789, cb1c
f21d, 4203
9d14, a5da
0f10, 60e8
40b4, 0d02
b64e, 0791
e1a5, 9205
27fd, e4de
b3dd, 84e9
e945, 257c
333e, 3306
8af6, 6228
bf05, 3aae
c2d1, 482d
520c, 64e9
4683, c42e
f9ef, 5787
f056, 7ac6
7983, 6c09
9174, 2941
9086, 86c2
5223, dbad
e65a, 98ea
319c, 0246
c9ae, b0ab
fdf8, b182
8ac0, 663e
eed4, 75f0
0b3f, ebb3
c409, c97f
068d, 943b
ac91, 9e1e
f6d2, f6a2
8a18, b940
b21e, 0516
dc74, ed81
f0e7, f2e2
7d9d, 5316
a737, d658
0168, 0b62
ccca, 5733
fcd6, 96f5
27ce, 46c5
15c3, 017d
29f8, e044
a90f, f275
55b4, 1550
c7fa, 9214
a1fa, 19c1
7356, 3da9
dda2, 7438
67ec, c70a
284b, 44e1
d7d9, 231e
8e30, 512c
9ead, 9c69
dedb, d97e
0604, 5238
bff8, 9b5c
85b5, cc58
7d45, 3da4
c753, 48e5
0701, dd60
93aa, 07e9
0cce, 2303
6b6c, 4873
b9b2, 7d8e
ed95, 8fa3
d42b, d3ae
0f48, 112c
7b28, 1a9e
308a, e559
c9ca, de9c
2c65, 2c6e
fcab, fcac
1ee1, 3564
ac48, ba47
079d, 7c9c
b3b2, b0d1
0f41, f1b1
ca99, ed2c
0298, 37a4
a1ac, 9763
3c73, 319f
b7a1, 468a
8b30, 829e
ae5c, 2171
acea, c70f
e534, 33d5
a49f, c49f
09d2, db45
d26f, f49d
55ad, 7a38
c233, 2d38
1193, 2e71
20a9, bf7e
0ae5, b896
882f, bffc
2e08, 83d3
c431, 8b3a
4556, c7ac
d501, 0032
991d, 9c57
fde5, b40a
06b9, a27e
4c5a, 32b8
9862, d550
21ca, 9bc7
2560, 6294
d37a, 0186
0447, 0ac0
3a03, 80ca
2599, c30d
21ab, 5b35
0eec, 176b
5188, 08eb
ee4f, 6ade
c4f5, e676
cfd3, 68dd
402d, 7083
99c1, 49ce
1fd2, 3c17
9606, c275
bea5, d594
0c4e, 4ef3
c39d, eec2
0858, 7f58
bb39, 08d6
1685, 1ac5
6674, 20b3
e1b5, 5cbe
6c62, 2084
10e7, 621c
4c6a, 03ad
e5be, 89b7
3f4d, 6429
3ef7, 0b41
ae31, da36
6cec, e4a8
fadc, eac4
d9c0, 20b2
ff6a, 1992
be35, 6a00
0d68, bcaf
b282, 10f0
2f69, d9e3
4c73, 7299
ad6e, 3467
c56b, 55d6
452a, 9573
5109, 9a77
7e95, 3e95
c78d, f95f
e863, 37af
14b7, ffc1
d9f0, 2e8a
f145, dac0
73f0, eb61
4832, 97b0
819c, e113
be7d, 63aa
c6bf, 756b
cf7f, 7a01
213a, 292c
ff1e, eb10
94c0, 77f8
209d, 6d0e
0a83, ed7d
a004, d645
04ea, bab7
08db, b97e
9bd3, a2a6
b7b9, 3e74
2053, 205f
caeb, e3bc
e5a3, 0c3b
c6df, 724b
157b, 82c3
4960, 5559
d855, 6496
bd02, b508
58f3, fc3b
e72f, 5b63
5c55, 5c5e
9e83, 25c8
c639, 0d85
ed17, 685d
4e54, bce0
8d4b, e9d6
79b0, 7b90
3ba7, 3ff5
fb83, a440
a157, 4239
9e1c, 86d7
1af4, 4c42
702b, b521
4bf5, 42a5
62c3, d207
beb6, 39fe
b06b, 87c7
9198, a97c
2a21, 8045
a3be, b502
d3ea, b35a
a33d, de5c
dd03, ca2c
e1fd, 22bc
e035, b17f
76a5, 56db
296a, 5360
5cfd, 80ec
1bd3, ebfa
6799, 0178
9491, e329
5e66, 07f4
6e58, 8f6f
292d, c3e2
2350, 9782
dff2, 9b73
a127, f7ef
5d7d, c460
9b92, 7341
583d, e6d6
dc2d, fef8
a08b, e14d
de99, 1359
41ab, 815c
0b3a, 4c15
a9b7, 2435
bb69, cf70
782a, 0d53
9fa2, 732a
8581, 1858
d7ba, 35bc
d6b7, 0923
9f9d, 6819
c501, ffc3
c839, e2a1
a60a, 6879
8c6e, 4b7b
f592, b1b5
d5c7, a1d2
11bd, 61ec
018b, d8df
f9f5, ab7e
e526, 8a81
ae01, d5e7
ca2f, 4450
21da, 66a5
88d0, f494
b077, 59ee
9595, cedd
9e24, d128
254e, c6e7
2ee2, 2ed7
361e, 7e45
8f3b, f66b
8e70, 0e70
c85c, 911b
7156, 1fe1
032d, 22ab
9e69, 0382
1e7a, f6a0
b90d, 7228
ead9, 612f
c3ca, b107
620d, b2b1
f0f2, 18b5
ff42, ae48
1b5a, 9acf
63e7, 1203
ad45, d094
4070, 5a6d
e8fa, c865
9e4e, 0fd2
f589, 1c30
97f7, c09b
c6b9, ca25
693f, 1e3f
72ba, f459
be68, 5ff3
4188, 617c
