f519, 6854
74c1, 2d9c
5049, eab3
eca9, 1cc7
d32a, 15b3
72b2, f3a4
a1c1, bcd3
16ef, f8ba
ea8f, 25c7
66d7, 65b8
395e, 5843
e0ed, 2d01
5f9e, 3f86
59fe, c31e
4104, 1e7c
3957, 46e2
aacf, 876a
63d2, c8a5
3c74, 6dbf
068f, a546
1751, b94c
0801, 7619
d16f, dbb2
cf3b, 5ccd
c0fb, fb9c
c239, e815
ea63, ee27
895c, 2dd4
1601, 2b99
7936, 4936
e28b, df31
4b47, 6e55
6f7d, cc07
823e, 5233
e265, b716
3f01, ef3d
8df0, 364c
8b46, 7e06
6100, 3383
9856, 0966
83a2, d609
c045, 8584
fe05, 41cf
4363, 2284
67dd, 44ff
7fa6, df35
5432, c472
536c, 706e
efab, b072
2c26, 5679
899e, 69c5
2789, acdd
b94c, 1751
2b50, b207
3086, 3659
d16c, b615
93e4, 1bef
470d, 16eb
bf2d, 4946
fcb5, d56d
4d5d, 3a81
75b3, 43ba
0a73, c43a
0f91, 7426
40fe, a81b
1b9a, de17
1062, 0563
05f7, b84e
20b0, 8dba
feea, b0a5
a8eb, 65f9
40fe, a81b
2c2e, 4d81
3045, 704c
1b50, 801d
b5a4, 06d5
b6f2, 4323
5410, cd13
76af, 60d9
4413, 2e94
777d, 9a57
e89d, 4c1b
f286, af58
f12e, 47cb
2694, 8055
2381, f923
9601, 98a7
f51f, badf
ef6a, 3a92
7c3f, 64d7
4529, bbf4
d676, 74f3
a9e3, f4e3
1434, ea2c
a6cf, cd44
1b26, 284a
a63f, f143
8c9e, 3ccc
abea, 4408
ead3, 8d01
8bd1, 5db1
7be1, bd00
aee0, 0284
ba86, fde5
03c1, 8cd5
272b, 12f5
2e00, 0a9c
440c, f50b
9901, 6c31
6538, 3ad0
ec77, 2ca1
33ee, 6e65
19a0, 869f
fbf2, 1e74
1177, 5f3e
192d, cd84
2212, c7e0
421e, 27c5
746a, b18f
aa51, e70a
259b, 757a
c952, 59c2
74f6, 382b
6c9d, 939d
1430, 7dc6
ec8b, f7ac
7730, e518
afd5, 6edf
4c2e, 1df6
d379, 9e22
8c4b, 7108
03b6, 9385
dbd0, 2bbc
a485, 0942
3dab, fc2b
4846, ff26
b079, 60a5
da22, 5ff9
6da2, 9c89
2066, 70e5
ca7c, a0b4
a7aa, 5100
25c4, f596
59c8, 59b3
6ea7, 7eb7
726a, 6182
3479, e862
21cd, eb2d
3f07, cdd2
33e2, 2202
8399, 5306
a331, f0f9
473a, 42c8
9f61, 1669
9e9f, c463
8726, 529a
3fc7, 3d41
df79, 33d2
4b6f, 8edb
7957, 01b9
595a, d994
13ed, 7f5a
a060, c1bd
53ac, ce77
6d3c, 1817
d4c3, 1d19
a763, a574
72d2, 0c38
f604, 872f
74b7, a8a0
e29e, a378
17d2, 6223
308f, 3052
5731, ac43
9f80, d8eb
f343, 4398
8a3c, e802
c8b5, 7e28
2716, 0786
fc27, 01a1
e6fa, 3df1
ec04, 0917
bed4, 08a7
0390, 295f
2e8f, 4e5e
d361, 5bec
ac3c, 1ceb
17d6, e7d6
40f6, e3ce
03ff, c69b
5b1b, 3e0c
8bba, 5ba7
8069, 2cb8
b9f4, a17f
2e44, 445d
ee86, 52ee
f6f5, e5e7
3a3c, 9ade
3524, b666
acd8, 54cf
55d0, 2337
16fd, 169c
eb1b, 8e0c
500f, e699
8feb, b65c
f2b1, 1ae6
2a6e, cf4e
38e8, 4c78
2a06, 9cf2
d539, 70b6
0860, e860
13fa, 9bfa
95a5, 32db
0a5e, 7e62
f58e, 3807
323f, 0a3e
5eae, c3f7
0cbe, 0397
4c16, e4ac
052b, ad21
853e, 5533
801a, e685
ed57, 2b9d
33af, d677
4d4a, 3ac8
6521, 001f
1558, b568
fc8a, 1a25
5e46, e76b
72f5, 4313
7a1a, 25ce
b4e3, ae93
7701, a3fc
a476, 848d
7385, d016
d217, d6fc
d24b, 9400
9a3b, e015
1c9a, 97f6
a1c8, 2671
6a72, 91ef
f220, a3a4
62bc, d409
8ce3, b9db
e43f, 7c88
331f, b56b
7056, 108e
aa7f, be31
d97f, 53e0
619b, 874b
49e3, 24e3
5a1e, d8d7
006f, 3c77
9e51, f7c5
cacd, da28
8e9e, 3955
7584, e1a0
9fb6, 18e6
24fd, 880b
b8c8, 07a8
da91, 5a01
bb8d, 96b6
c3bc, abe5
73af, c728
827f, 5229
c7d5, 0b79
34a9, fd2a
1bdd, 65ba
da63, be96
0ede, fe9a
5043, 8d43
6a3d, e43e
ac9a, 018d
bc90, 4390
d20e, b378
c31b, fecc
6df9, 739b
20fd, b7c7
1719, f8df
a468, fe22
b6bf, 817a
a908, 2973
1f44, 6850
bd3b, 1da6
ea6b, 71ea
38bd, 9cf0
9e53, ae6a
ed37, db98
a181, e7f1
4a7a, 11f9
cc96, 6a3f
c52f, 39ba
f376, 19ae
57d2, f3fa
1af2, 6186
94c5, 9281
8261, b5b9
0626, e49b
3008, 60e7
bd4d, 0b9d
0c3c, 0e1c
c78d, a07d
653e, 0648
c236, 0d7e
5c68, 98fe
2c5f, 5cca
cb77, ac85
fdda, 1b1b
7f34, a572
990d, 9e5b
f1c8, dd1a
2d94, be6b
57c4, 88a4
fadb, d5fd
420b, f50c
a721, 9a46
ecbd, be6f
f4d5, a20d
37a4, 810d
52ae, 0adc
055c, 5e98
4597, 90fb
3431, 6587
7cc2, cc6f
5171, 2cd7
9ad1, 4586
da4b, b422
1a87, cfe3
ab8a, 4f55
eb82, eb56
dcc7, 8c39
906c, dd6d
402e, 0fc7
8fc3, 5e69
2855, 0a51
7fd3, 6816
51dd, 68b9
