0d83, 5a1c
40ec, d101
ffe7, 01e6
17a2, 984a
4ca8, a26d
260c, 9e43
676f, 39f7
7541, a283
dd92, 7da8
3ad3, 2f05
3f45, aa4b
2199, 619e
891c, d643
0993, 0dec
b84c, 3e69
86c8, db22
9092, 22a7
c9a4, 020b
dd06, e7a0
d954, d225
5cc7, 36c4
40dc, f1f6
178b, 16a9
475b, a802
2bfa, febc
9340, 55dc
2b56, 3b9f
920b, 7253
2ced, b450
b0f1, 40b6
d052, 7789
022b, cfd4
677e, 2d77
b333, d3cf
169b, e3ff
9eb5, 5999
5877, b25d
1c42, 10ee
1a26, 8366
92f7, 6b32
4e82, d14e
e6e6, 4a51
886e, dd64
3797, 3dcd
d0f8, d68e
d400, 8963
bb00, 6fe6
4d84, 8008
80dd, e62b
abb9, 88be
9eaf, 387f
0a1c, 6eb3
8772, 7a9b
2fbd, 91f3
f332, b7f3
e702, b17d
5737, 2858
7f44, 19f4
b6db, ba6a
413d, e492
f3b2, c047
05f8, 56db
e86f, 3114
e830, d431
61c9, 387e
363a, 37f6
8ff3, 8572
69c6, 25af
9884, 211b
dc6a, 80ac
b843, de1f
bc83, c49a
1d1b, fe0e
271d, 5df9
beec, 1dba
2891, deed
26f6, 5c83
10a8, 2766
9362, f607
d23b, 42ce
72f1, ec10
37bd, 0df7
b1f2, 086f
2a6a, 3ba1
75aa, 9cb9
83e5, 8523
83ce, 8bc8
77b1, a186
37a1, 28c0
7b6a, b1ac
2aab, 1d82
da96, 4461
9f35, cbab
bff2, c2f6
fb7c, d3b5
b0c3, 56a7
9378, 5f94
49bf, f72f
bff0, 86b0
d03c, c9cd
cdac, fbca
4fa2, 056c
89ff, b6f1
25ea, 1e49
7a4f, 2d38
83d9, 892e
6901, f963
3ce7, f8ba
e5a4, 6e54
a33e, 5db2
ce42, c18d
9ac3, ecb8
200e, 1d75
58ce, 5670
398a, 5241
10b7, 7f13
30be, 93d9
a0ce, ef94
b40f, 7703
3269, 535b
37c7, aeec
fb72, 3c30
683f, b0fc
e997, b6ce
6654, d3a3
5bbc, 54b0
98cc, 3b91
6979, d3d5
601a, eaae
0147, 3d42
4808, 225e
52f2, ae20
7b77, a077
1c68, a652
0622, 93d7
86b1, 9df0
5de6, 27dc
e40f, ea6f
ee3b, b83e
0f62, 50aa
4829, a12e
a4d2, 0ea9
dee7, ea2d
16d5, fdcf
1074, e3c2
7b01, ae96
3b05, 3a0f
c032, 699b
eb09, 1a3d
1d93, 5de1
27d6, 2f58
80ce, 2bd9
b13e, bad0
f61b, 6786
0524, 6e34
2dd3, 167c
c74f, 98c3
8394, e36e
3d34, c9f9
ab7c, 13b5
61d2, e92e
6e1c, 3684
fc76, 74fd
b06b, 83c2
1f75, a1ff
e8a6, e4a3
0d1e, 3916
1556, 36e2
57e6, 3a57
ab82, b41e
45e1, d546
af2d, a9d7
f53c, 3361
d9b6, 4567
ffb5, 1312
84b6, 9334
4b8e, a82d
969d, 63c7
3987, 0152
04a5, e887
372f, 36aa
b2fa, ecda
cca9, 52cd
6c84, 06ed
100a, 1dec
aaba, ebb6
8221, b2da
60c0, d3a9
5ea6, e064
00f1, f681
0bff, f8fc
be9c, 3c5d
a12d, 71b0
0684, 5a99
ef97, 8f68
b9ab, 8ad8
a78d, e1e0
d5cc, 8033
1cac, 06a7
bdab, b19e
3039, 8f70
5206, 3d13
33b3, ccd6
242f, 54f3
2a19, 95bf
c883, 7cc1
af8d, af47
9934, 3f3b
b178, 529d
943a, ff18
44c1, d15f
0fde, 2437
d366, 1955
dd96, 8e7a
0b72, 0ac4
1b17, 133b
ac3b, e274
2092, 656e
b4f5, e4a2
003a, 1a67
913d, 5066
170a, ec9a
48d3, 220b
eb4b, eedb
dd54, 8e38
2c86, c5f0
183f, 7e03
7f23, 0ef6
fd1a, ffa3
2865, 1c2d
9eeb, cb12
b248, 72f9
1fbc, d64a
fb02, c868
91a8, 3868
0d16, 9b20
060b, b88f
7f00, 1387
b629, e3c0
78e7, 1658
0287, 92b7
6be4, 94dd
1d10, c0b0
d617, 40bd
e45d, 8b67
026f, 95cc
5e24, cbfb
c1d9, 41c4
e5b6, 1246
19ec, 0e1c
ccbf, ad15
06c1, 8fa8
d51f, 0795
4dba, deec
a830, a831
4f94, 1cce
70fd, 1684
7c5a, 703c
2109, 7149
8826, 11b5
6f30, 9595
47fa, 8f91
caeb, 24dd
67a9, 2a7b
b3ae, 4ca7
b84a, 2c90
62ce, 9078
c393, b2c9
267a, 22c5
a120, aef1
85bc, 5d41
6087, c477
2c14, c2d7
3030, 5293
a306, e965
fcf6, 0f13
9151, 5d3a
a6b6, ca85
2fb3, 911d
6daa, 57a5
15cd, 18f7
5deb, 5789
72e0, 3e20
2b9c, 8c80
2514, 5627
cc2c, fcb0
d2df, 69c2
0542, 60f8
0a1a, 0596
a12f, 0525
1d1b, fe0e
b5bb, f712
9624, 90bb
89d6, 7954
f07a, c69f
d7a9, 7498
a4eb, c01c
91f3, 2fbd
02cd, 303d
ede4, e39e
c453, 9dc5
85e5, 1921
f66d, c067
b25f, e2c5
7c91, 8951
5a01, 80fc
1fce, 0206
076a, 9d95
600c, 796e
d346, 46b5
9bfd, 21e4
f838, f97f
46c4, 68fd
51a8, 62ac
baf0, a631
c382, 655a
cfc1, b894
a6f8, c153
0435, 6855
3a45, 0740
f564, f3c9
8725, 14f6
3dd0, 01f5
c626, 3923
e619, 4baf
dde9, 7afd
050b, f352
d712, 5f36
2232, c5c4
b868, f606
4726, 7a34
71a4, 329f
