9ba0, 70a7
5272, 374c
2416, 6481
e3f6, bea1
a653, 0f42
2f01, 6eef
a590, 7f36
d04f, 12b9
27db, b286
6cae, 1ba2
143b, 5144
36f6, 7282
a4ce, 8464
3e82, f7b8
98c3, b645
f39e, b76f
7f32, 79da
bec2, c372
d5cb, 0d13
2490, 9133
c82e, 8f83
3c6a, 41df
565c, 1959
848c, 37b7
22d6, a458
66f6, b8e4
cd82, ae9d
7d40, f0d5
b252, 5717
63a7, 2f92
9e73, 9dea
3b2f, 5a40
a230, 184a
462f, f53a
e924, bdc8
d12f, 69b5
5616, 26a8
777f, c699
c7f9, 73b4
34b1, 5606
e649, bc33
15a0, d8f4
3bc7, b65d
924d, 528b
5ae0, 1f34
7a85, 874c
e3c6, 431b
b915, 330f
341c, 8dc1
1007, 7f16
e728, 9351
832a, e3cd
935d, 0b82
01b4, 875e
faf6, e283
175b, 5a47
79f6, c300
cd77, a25d
9b48, 7ce0
1c5a, 88ce
29e3, b276
3603, 200a
d079, 6487
f2bf, 93ef
dc80, 86bf
fcce, d16d
55e6, c62f
c679, b401
aabf, d23c
4b46, 54f0
8afe, 54a4
0b9d, 4e02
3aab, e9ab
a7a2, a7ae
9635, c233
21b8, ab5c
5602, ed46
e45a, c849
28bf, 8c1c
1abe, cdad
6a95, c117
eb0e, f959
f3e9, ce43
6395, d1d7
e1e3, a17f
21d3, f27f
5069, 3f65
5ec8, 91cb
9817, e7d4
8636, e287
9e5d, 317a
e768, 9ddd
0ec2, 621e
8357, 5eba
15b9, 0c81
4fb1, 9ef0
f9ae, 1ce2
7865, 0b7b
8dc8, ada0
6f98, 9ed9
2f4e, 03dd
445a, db95
fe4e, e76a
a62c, fdcf
2655, 6675
4b12, 909a
972f, 506c
57b1, 212f
4999, c8b8
8a19, a083
d6b7, e973
1a3e, 0724
b429, 30c3
838e, 1c42
6ab1, 6480
05dd, 6287
5c74, 27bd
561f, 1e9b
0ab3, e609
8afa, be20
913e, c6ed
9486, 9804
4c55, f9a0
0525, 20d1
6f38, 4569
e5e8, 96b1
3084, 1eb8
23ff, be5f
8405, e48e
b7f4, f39a
1f1c, 89f0
0642, b814
506f, 9c51
a654, 9cdf
07ad, cb36
beff, 891e
9680, d25b
5d13, a980
77e8, 9989
8607, b29d
2b3b, fab0
ff93, 24e7
2cce, 3572
8fa4, 63ac
6b41, e5da
b75b, 742c
6dc6, 133c
e2ee, e1e7
9a95, 39f4
5811, fc52
fbb8, 4230
d796, 65d0
ce81, 793d
82c2, 0600
a9e4, 8a16
eb13, a0db
36f3, 45fb
0d81, 922b
e3f6, bea1
dff4, e003
12da, 46d1
7f91, 0fb9
0019, c049
53a5, 42c2
074b, 2226
ac10, 71e9
50f9, 3a43
e4ec, 89cf
8bc6, b52d
9f80, 7e45
8224, 58d2
70b1, 0333
16a1, ac06
769b, 38d6
e6ec, 7c16
69b7, 598e
e994, 18d9
00f7, 5740
fb2b, d090
8a06, ee75
8016, b4a1
1d7b, 0964
e657, b7db
b889, 2d55
78ba, f9ea
9200, c5d4
b9dd, e0dd
8a37, 1c6b
c8a1, f156
3e77, 05a6
36a9, 7d11
549a, cfd8
48a2, d4cf
a8fd, 5b63
024d, 3212
65d8, 378a
f8fb, a8a2
b26a, b067
8cc8, 0847
ebd6, d65a
ff83, 38de
91fe, 3714
35dc, d869
21d1, d620
7c63, ef8d
c34f, e766
d1bc, 44da
8d68, 2202
3e6f, 4c0e
46c1, 7c06
719b, 260e
d481, 4b26
2049, 9e0e
8c3e, 2222
7f4f, 4c2a
0a7d, f890
06bd, 1f7c
c60c, 526a
9449, 5718
df69, 22f4
d650, 0425
7652, 683e
9723, 31f6
91a4, 412d
6b42, 8431
9749, d5f0
ab7e, baa9
59b2, 3dca
3577, 1795
9bfe, c29e
a6c2, 76da
8997, 5fb7
8fca, cf62
41eb, 114e
cc5b, df9c
2862, e237
98c5, 09fb
9940, e8d6
06d0, adcb
731a, 4cb1
f382, 1e4b
b973, 1682
5717, b252
007b, f35b
46bb, e32b
db72, 49a6
e4a7, 2eb7
69b8, 05e2
287c, 6ca3
a424, f866
f110, bb9b
1f71, a7b0
37db, d7ba
dd26, 4cb9
8c9b, c753
a8b9, 9949
70d8, dc47
2507, 8b80
1472, 53a8
c13b, 936c
abc1, 864b
31bf, 4669
6a53, a26a
f3bf, 4ef3
4d69, b476
2b3e, 3f28
ae38, ea02
0adf, 2379
6edf, 2df1
2837, f06d
f4f8, 7544
f79f, 3930
dd5d, bed1
948e, bea3
5e48, 6fa9
e6ad, 23fb
5b0c, 6099
543f, f5e6
e58d, 7183
202b, cd5a
d468, 3911
d7ed, 961f
e176, a1ad
caf4, 74c1
7b51, 9e12
4236, 62b5
e5d2, 5983
3c50, 3551
35bf, 26d9
426d, d5f3
a89a, d9cd
d4e0, 3eb4
8cc0, ef44
f831, ed2b
e54b, f195
4693, a6d2
96f7, a10f
5a1f, 5dce
b93f, f5f8
f23d, 117c
4d01, 5dfe
e0ae, a6cb
7bb4, f455
8138, 4ba1
8a30, 03c9
1c2d, c23b
e5b8, 1b3f
9b43, cf07
5c22, 70f3
437b, 96b5
a1ad, e176
057b, d3aa
97af, d681
33db, ec5d
4fa3, de00
3085, 20d0
e1dc, e91e
8c6a, e2ed
141a, 7ebc
5a5b, 90e7
e823, 065b
9ea1, 7e8d
02dd, 0157
bb3d, f00b
9e12, 7b51
1e83, e0c3
7f6f, 9626
10fb, aa4c
8069, fd53
ceaa, 52e9
c862, f472
658e, 11f7
471b, 37cf
5753, fa09
1859, f992
ae1f, 0f52
