b6e5, f851
d2c4, dd48
413c, 6c31
c2f2, 2ba7
7232, 1a75
d3c2, d99d
9934, 40db
a0ee, a156
2c3b, d530
624c, 6cf3
86f0, f4a0
8a7b, 59ea
138f, 16e1
b340, e442
1be7, 32b8
9a49, 348d
0520, 0925
2b1a, cc18
71d6, ad9b
3dff, 3ee0
132f, f1c0
deac, 5700
e304, e7d8
ebf5, e810
84a1, 8156
b6d2, 9aee
d4a1, dd35
3f8d, 98df
e2ae, 3b84
3491, 8fb6
677b, 319d
0313, 6620
d14a, a8b6
9442, 1c09
14bf, a1da
c23a, 0631
c634, 0f38
bc28, 82c5
6729, f3c7
253b, f97e
2338, bb56
73df, b6ba
7293, 7c9c
6103, 03b0
d257, fb6e
0223, 0ab4
6989, 87db
5c80, f40a
2898, 25cf
0e4e, 0d4d
34ef, 86d1
ed94, f0cd
4cf7, 1924
c8da, 5d80
7b16, ed1a
04dd, 5578
e77b, e410
75f4, 79f9
e644, 7327
c7f8, cc7f
cb59, 67a6
247e, 58a7
83f3, 378b
bbb0, 867f
ada8, c99f
296d, 2f72
1e91, 21d9
df53, d065
8e14, b40a
1efb, 9623
046c, 5150
8c75, 5e17
841b, 2373
3e11, 3185
a3fc, c800
6b4d, 2cc8
7a25, e120
01a8, d3dd
c161, a5ba
8841, 846e
d926, a4cd
c733, d48d
3c68, 839f
a118, d074
0c26, 0a22
c906, cc7e
516b, 50c1
1dfa, 1408
a314, d100
bca3, a3e9
7997, 7059
b43a, b5f8
46c7, 1a2e
d45b, e825
7f92, 7e49
7363, 766c
fd43, f542
198c, c147
d6c8, b34a
dd77, da1c
6f61, 303a
5b16, 5612
9238, 1120
cc11, ce1e
9d3e, 1fc8
d263, d95c
1c8e, 552f
9ace, b599
31dd, 918a
ac32, ae8d
72c3, 0564
3b7e, 3e98
89cc, 8505
04d2, cbe6
cfd2, 09bd
b66a, 73af
4f8f, af62
433f, 3338
4a9b, 1821
af24, 22cf
0949, 044f
dfc1, a98e
2156, 246a
3a93, 0b72
f82e, 74cd
7997, 7059
f9e3, d39f
d127, d0cb
11d7, 7065
1f91, 100f
5aa0, 6af7
056f, fddd
ba38, f2c7
23ac, 2139
bb01, c811
fd33, c83c
d985, 921d
34c1, 310f
cb98, c738
d17d, 1ac8
6ec6, bcbc
10a4, 51e4
8535, 1e7e
6b4f, 69ed
6e85, fb81
40e7, 1ece
cdfc, c5f7
e542, 88af
95db, fcbe
9fe1, 18dd
16e9, 1384
41ed, bc0c
7b08, aea0
e1e5, 4901
9158, 33c0
a7cc, 71c7
f679, 24d2
4851, 4eaf
cf40, c045
7c0a, ec71
bef7, 461e
28ed, 2ebe
e490, e2b2
b0aa, bf66
1125, 57a6
78ad, a8da
8990, 3962
06e5, 0934
7c02, 2178
6455, f7b8
5f2b, c0d7
88a8, 487d
40e1, 3366
bbb0, 867f
fc07, f301
f266, fd6b
b340, e442
32c8, b136
93aa, 9656
e79b, e7e1
89f2, 8529
945f, 6947
568b, eb76
cf6c, e0c8
4527, 1c12
0dda, 53cc
e930, 2fef
34e1, 8cba
9cb8, 998e
608b, 63e8
39b8, 3e4a
edcf, e029
0bd9, a902
1dc3, 4aca
66c6, 822c
e3f3, 767d
944f, 5dda
910d, f4cb
6665, 6ba8
1c50, 6398
c73f, f6fe
e987, adef
7b82, fa9b
b22c, 6696
5001, 5d04
cbaf, e0d0
8abf, e78f
0227, 5de1
fed4, 3b8d
a8d5, a4a9
556b, 623e
427f, 9f0d
aa3b, 7dfc
6738, ca79
b844, 27da
352e, c890
cd94, 945c
4f84, c1cb
ab4e, a84d
4a56, 7ef0
cd43, 8245
3e14, ad75
f669, 866c
638e, 6ee3
9b8d, f8bb
a22c, 151c
bfdd, 7fb8
df6a, 7db4
3964, 340f
4ff0, d643
6dc1, 5d68
38d5, d1c0
3f86, 76f8
536f, 9501
2111, f44f
bda1, da98
6295, 6708
f40d, f60f
4e47, d6b6
48e5, 4bd3
a8e3, aa54
343a, 54a6
9970, 9595
8b6d, f09d
7d04, 7a80
b2c4, d23b
cf39, 8398
b94c, 640c
0a26, 0c22
f926, cfb4
2903, b0a2
dae6, c5ec
1467, 4dec
986d, 2b38
5843, 05ae
ba81, ba0b
53de, dc53
f1a7, fc6a
380a, 82d3
6a80, 935a
9991, 4fd1
d5b2, d9e9
f675, 9571
4d68, de38
5476, 3a01
a177, 5ae0
3961, defd
f22f, b47b
fcf6, 99ff
020e, 0537
b844, 27da
5172, 3492
259a, aac7
cd15, 2a11
0aca, cec7
ccec, c2e3
dca1, c0ae
9bc0, 1c2f
7122, 75c9
3535, 2813
07c2, 5199
615f, b56a
29e1, 22bf
349c, 3193
50af, 5702
b745, bafc
ac83, 9c2e
3d86, 3411
32d7, 3ce9
76c7, d00d
95aa, fda8
09ff, 0c16
0621, 1e1d
4ad6, 4169
90f1, 9b44
7007, a295
ab38, 185d
5376, 5872
59d2, ec1c
0cf1, 0e89
8a96, 8fb7
c6e6, 65e9
0e61, 7216
51bc, 0b26
4d23, db78
fc87, d18b
c951, 5487
4bcb, 1126
2f9e, d5c6
fee4, 60e3
b8e0, 7e3d
9614, fa13
a6f7, ff16
8bf8, 5da1
bc0c, 41ed
a671, f674
e459, 2af4
ea96, dd99
0ccd, f711
e23e, 7764
6313, f7d8
4d62, c1f2
e261, 559e
7c58, 7394
