f75a, 7f92
0003, f8b9
ca21, ca6c
4f7b, 3f2a
9db1, fd6c
94ca, 42e7
2acc, 8c5c
eeab, 00f3
d544, 2816
4a3c, b6b3
d22d, 747e
eee7, 72f8
9ddc, cdd6
4ccf, cccf
49b5, 82de
4289, c48f
b9fb, 29c3
aa98, 226f
03d8, ac2f
96da, 802a
52fa, b639
5c99, 49df
24cb, 1921
e165, 9a8d
347e, 297b
ce1d, d296
022c, 3408
199a, 72e6
6b1a, 8410
6505, 2639
523c, cbec
523d, 4292
e994, ed47
226d, 8c85
8976, 51c8
19da, 3273
9106, 5de6
abb9, 1073
50e1, 0cfb
9eae, addd
3a7c, 0b17
f339, c396
caba, cadf
e029, b389
3aad, 5b9d
c5cb, 1577
7c36, 0e83
c991, 5404
a7a6, 1913
308a, 45f7
a9f0, b464
f90a, baf6
4d15, cf15
733f, a368
cbea, d45d
f28a, 7ece
6721, f4a3
e2ce, 0218
17c4, 5164
2491, 8404
36f2, 1df0
0501, 5f93
4f13, 172b
8a73, fac9
772a, 12dc
069c, cd40
52b7, 367d
2575, 632c
6775, a77e
3ad4, 8a29
65a3, 22cc
353a, cae0
a1dc, 2667
52f0, 002a
93ad, f1bc
4473, f275
45bf, fdac
e9f3, 9351
f3bb, ffea
8df4, ae6d
e42a, 4aa5
3dc3, 338c
ec34, d71e
4934, 52f9
076a, 5d7f
7a0d, b588
aa5d, 0ac0
bb06, 0952
4fd0, aa9d
6bfd, 7e15
bd80, 5313
538a, e43a
cfa8, 7553
0aa1, 0caf
6b57, 0752
dc1f, 94d5
65ed, 7440
aa19, 2cb2
fed8, 4e63
f0b7, a504
dbf4, d3ff
56ef, 8467
51f8, cedf
c18f, e9f9
a4ef, 79ec
f130, ec91
1c00, bef6
63ae, 90ad
ecd4, 4622
fa8d, efa9
53ac, 3cd5
855b, 3007
e199, eded
1909, 2744
cb19, a10a
266a, 1877
f358, fe26
479c, 997c
c659, 64b2
447a, 9277
f96d, 8224
5e88, 4a91
d406, aa92
ed91, 66cf
aadb, 3b07
ef4d, 92f8
d23f, 270a
86de, 97f3
481a, 3efa
5e97, e481
2db8, ccd7
8b7d, 3528
5cb8, f078
2fa7, d760
cb68, b163
5f53, d0cb
e1c1, 16f1
8a96, 2dcf
0f1d, b6ad
4c5a, 2db5
bcf6, 9e3b
6b1e, 259c
7008, 80d6
5a2c, de3b
5823, 33b5
bb0e, b424
7944, d934
1ffa, 6f0b
c964, 1924
5f24, 2c7e
d914, 5ca4
0f46, 67b0
4a2f, 91dc
58aa, 8f80
c7a0, 7ca7
f7b6, e326
f315, 3549
2afb, 76b5
bbf0, aa51
2a34, b413
f6f3, 5609
60e2, eeec
dcc5, c4e4
e64c, 0330
f95f, e74f
df8b, 43f9
dd00, 9bfc
1e53, 3ab0
cbc8, f8dc
91d9, 8eed
3eca, 5b92
bb07, a506
d1a9, bc19
9af9, e81f
f624, 5da8
812a, 45dc
10d7, c627
1829, 7262
0298, 5fed
4478, 82c5
7dfd, 7e7a
b2b3, 0408
6643, b4d7
461a, 4e74
4251, e6ba
cd21, 9eb2
fc6a, 9e12
6507, 76e7
cd94, a866
5925, 2d4e
093d, b037
761f, cd7c
3417, 5c8b
ff07, 7308
f326, 8e38
1145, da39
62b6, ea6b
afb3, 8d94
e07d, 77cd
dba4, 5ea9
058a, ba71
d5db, f63b
9c5a, 56e7
0836, 46d4
8eb9, 9329
518a, 156e
eead, 71ae
f6c1, 867c
51c3, 1793
f491, 847f
084b, e9b5
77e9, d809
95a6, 7f3f
9edd, 88d2
8562, 5a7d
61f0, 6052
f10b, 5a4c
c6bc, 7d2f
2473, 6975
48d7, f57d
1f4c, c8fa
45d9, 8bb2
5b5a, 826c
d709, 38a9
5a3a, ca07
afcc, 78c1
aa2a, 0f63
965f, 4d40
a714, e0cc
2d14, 5e7b
383e, c4e0
87bb, 5366
283a, 353e
9f11, 8140
0f59, 1c4d
3dfe, 58a0
4835, e43c
1331, c3e1
f3fb, 56ad
d619, 0f70
47af, 91f4
9f85, 7880
ade5, 40bb
475e, 0fee
9556, 7a26
02c6, 26ba
07e0, 645e
aeb8, c356
816b, d63b
0b31, bbdf
e709, 6cb9
b785, d49e
d848, 3e80
c339, bbbf
134e, a3c7
50c3, 8eee
02b8, b568
a4b6, 9aee
0527, 68a7
f2ea, 529a
9536, 7adb
1dc3, 720e
f297, 93b6
978f, 7c89
3781, d1f9
798b, a99b
a12e, 66b3
139f, 139a
20ea, b8a6
431a, 03a7
f8b4, e003
8359, 9e43
0553, 67c2
f36b, 8b69
315d, 7e65
0a26, 07ff
d713, c718
6ece, bf8a
0542, d661
6745, 67c1
a1b4, c1b9
cbaf, b8eb
1ff2, abbe
b5a8, 66bd
99b9, 97bd
015f, 3e0e
b557, b3c7
546f, 32ef
6605, c86d
a33c, 181d
6bec, d1e7
2b26, 38de
70e0, 0e46
2407, 28c2
854c, 89fd
f628, 5d18
e010, a55f
83d7, 5c3e
556a, 1e8a
d56a, 739c
2ae0, 1353
b1a3, db64
490b, 03eb
3263, 5cd0
2c1c, 8465
b59b, d6ea
8485, 82f0
1f26, 1109
4eec, 1d43
20e4, 67d7
dd2c, 565c
a278, dae4
b65b, d5d2
900e, 86e8
0dc2, e122
22f1, 81bb
5b34, 9fc8
c560, 0636
19b6, 23e3
e7e8, e766
fb9f, 58ee
2361, 5fb2
5509, cc9e
9012, 1bfe
bd37, ac30
f843, 6d4a
065f, bd2f
e7db, 4013
8bba, 13e0
bf17, ea20
b9ce, d278
0ea0, 3809
ab17, 6dbc
1038, cf6b
c676, 5b54
9ed2, f82d
