b02b, dbd0
3105, 7268
ae55, 7344
c212, b160
e280, e797
7f2b, ae7c
62dc, ac85
984e, 5add
7763, 4a7e
4fd0, 72f5
168c, 7bf1
bc89, 078f
1b67, a969
7251, c20a
56cb, 7079
4a1d, 72a2
bfc1, e508
618c, 7da9
ead7, 6530
ccce, ec6d
530d, 2b9c
a44f, f474
39a5, e4ae
8306, 57eb
a4bc, 72bf
83ff, 34b3
1d38, 76e5
f0ae, 3a24
aa4a, 65dd
4230, 062d
8426, 963a
f732, 5f0e
1461, 22ab
4bfa, d5d4
caac, 4244
c6e5, cc02
89da, 2ddf
362c, 3230
1fa4, 8bdc
b172, d1cd
7885, ef21
b009, a62e
7734, b17e
d1c6, e548
8bb4, 1e78
d894, 5d79
7ee4, 7e7b
94f7, dbfd
8ef1, dab8
6558, e94c
bd5c, 6528
46d3, b265
de6f, be2a
afc6, c302
2a8a, 0dab
90be, d2b8
3622, 2822
acc0, 2e68
3df9, b9c4
642d, fcfe
5b93, 5513
9733, 194a
4fb4, 2a10
bbc3, d6ce
ada8, 305a
eef4, 5ad5
06fa, eec0
7d60, dfd8
3ffb, e890
b034, 0351
56d9, 4ba9
2a28, 16d3
e02f, 6b5f
1621, 0655
8f4c, 2645
66c9, 592b
ecc4, 38af
7753, 0821
effd, 6f8a
8e0b, 7b30
2604, 784d
3598, ec4e
1dcb, 7727
35fa, 116e
b095, b227
8945, 8e0e
7211, 9af4
f040, e2a1
8a52, bfbb
dd5c, 6cd3
0f1c, ee77
dc50, 1b50
b69c, 7a8b
04c0, d3e3
995c, 8e9f
66ff, fa12
5963, 70d3
5703, 5cc3
de34, 582d
f24d, e204
1d77, 8dea
1e42, 2816
d25f, 6f06
2eff, 53af
b158, e936
e29d, 92ed
92c0, 9cde
f173, 83e8
d8e7, 790f
2111, 5cff
0b87, fdfc
2575, 5fb2
c078, 10d4
0086, 648a
9ff2, 2d70
0124, a3f0
c335, 603a
1419, 4f5d
dc5e, 9f57
4d29, c2c2
294f, 84a9
74f7, 3aed
0ebb, 6e55
911c, 724a
1093, 433f
2f09, 1432
75d7, 9557
8507, 36e7
629e, 1259
24a5, 67ae
a4d9, 14a3
44e5, ca9a
d5b5, e9e6
3886, e2e7
bfb6, d8b0
e016, 5da7
a158, b6af
f1bf, 4c2f
e227, 941c
20e3, 6b53
2332, b48e
6326, 0af3
4310, 7efe
17fb, 8718
83df, 162d
9661, 27a8
bf1e, 661a
29ac, 7232
8e99, 2481
41d3, c7d8
7004, c3b9
029d, 42ed
bf0d, a4e9
3164, 81b9
80bc, fd2f
f036, 4446
562e, 0692
ca84, 94ff
1cd7, 5037
6cc3, 2cc3
55f9, 04a7
a3d9, c980
c591, 941d
3e21, 3b39
4b16, eef1
3f92, ec06
c834, 0eb7
65c5, 6799
2fb8, dd08
b211, d7ca
d560, 3d9d
956e, bdc2
fcd4, f790
571d, 112d
c4d2, 8d53
cb79, 269b
f0d9, fe5f
6b33, 18ad
ce3a, 8585
71f6, e118
0e21, 6661
daab, 453d
bf31, 0f54
f682, 4b82
26fe, 0eec
b028, 855a
4ca2, 9906
8275, 1f6e
d756, 5953
4986, 4023
613c, 91ac
8785, fd0b
4111, 7cff
21e8, 8eeb
d2ee, 61b8
aab4, aa29
3f12, 2d12
5ba9, 20af
a2a8, debe
2327, ba70
8f94, 2f9b
9244, 7291
5dad, 1880
6b9d, ee9c
8cbd, f197
127a, 3503
0d25, 95d2
b5c1, 89b5
be31, e92b
04a0, eed6
9ff9, bb56
b795, b292
c40d, 2664
8ce2, 3c8e
53ba, f7b0
2f82, 36fa
9634, bf26
ff63, fe25
c204, 224d
2d17, 56f0
71c2, 9942
fd9e, 9861
a3f8, 131b
94ae, cf57
62ae, bf25
692a, 22da
811d, 5cd2
cadd, 37ad
a3d5, 35ed
f751, 04be
ff6a, abc6
e68f, a425
b37a, 79c2
c3f6, 03a1
6586, ef47
6f7d, 1648
d9d1, 29d4
267f, 58c4
48fd, 5d40
6134, c924
2751, da61
3200, 480b
d9b0, 27e5
0bdc, 9337
6675, c1e1
fe86, 8388
6020, e3de
b8ca, e642
7416, c270
f85a, cb8e
b704, e1b4
64ac, 648d
64e1, dcda
e4c3, 34ce
12bd, ae65
60d8, f53a
a553, 6207
4782, ee0e
f8a2, 8abf
1293, e7bf
6401, 240c
bfa4, 91b5
2563, 838f
37e9, 8f84
59a8, 09a8
f323, 78bb
45a7, fc17
676c, 4c9e
975c, a399
7bb3, 1f05
c86d, e559
4c6d, 0625
cd92, 21f5
ae87, 0721
64be, 9d28
cef2, 84ea
0a19, b219
a921, 7921
b5cd, c1b9
96b1, c02b
f251, 52f1
6fc5, 2684
e0f9, ee11
cffe, 0f2f
7921, a921
0284, b2f1
692c, 242c
cf0a, e554
f4cb, d209
2a3c, 323d
21a8, be52
851f, 2991
4e38, 5bb9
d124, 5c3f
4607, b567
07a9, 541d
d4f3, 793d
2910, 6410
4ff7, 5967
b998, e322
1af7, 86dd
b711, ee6d
ecf8, da70
de50, 1e4f
9f50, 5750
7337, af57
0578, 9fe1
a1bd, a1d4
3a8b, 54ca
d335, af83
2ee0, c8f1
f846, 4cb8
7375, 7b9e
4730, 0e37
a041, 209b
1148, 7cf3
dab3, 8e81
22c9, 1e15
11c2, 5792
279b, 4058
f60c, ecf0
0617, b6f7
8ef4, 0393
4c83, c0db
516d, 4619
ab91, c69c
36c3, 4bcd
5e54, 0bff
6a1d, 04a2
a276, 22b9
bc8b, 50b1
8816, e2cc
7013, ede1
2fa0, bbea
b232, 4fac
47d2, f964
f158, 4dfb
