5747, 6862
f815, 4c60
7c1d, 29e8
c7c8, fbf8
f2c7, 3904
71cb, 1baa
c960, d509
573e, 7bc7
4579, 2326
d7cb, 66e4
3edc, 9b95
3615, 0f34
3344, 7b3c
f748, e933
7e08, 339f
45bf, b013
080a, 9efe
c68b, f981
d8cb, 64d4
0247, c0eb
9bd7, a86b
f5d4, 4a72
75d3, 5c3c
9226, 0ecc
dba6, 2d7e
a806, c73c
8e7e, 5aeb
627b, ebe9
1d13, 1442
20af, 4363
f368, dcfe
1559, 839c
4bce, 92a1
c051, 9287
e175, 5587
9eb9, 3abf
a781, 6457
9c50, 037f
4763, e409
f60e, 4028
c9bc, c8d6
d826, 0a89
777f, 2820
baec, 2b40
0f02, 0e8e
4f18, 5110
bb8d, 75e5
b622, 51f1
c17c, 3723
0338, e1a3
511b, 4229
b2a2, c878
12c1, 7877
2413, b425
9a26, 56ac
29bb, 557a
485b, 443f
dc98, 00d7
2194, 343c
7624, 5e56
9f7d, 796f
0615, 0bc2
d211, 4b42
b69b, 3c23
6211, b960
94e3, 31ef
60c1, 9338
148b, cd5f
020c, 3390
b47b, 1e7a
6b57, 6181
f77c, 9d73
12c8, 9624
0496, 170d
5b8d, 8eba
445a, 221f
b1aa, 7c29
c215, c35f
8a0c, 824d
a037, a20d
653d, 78da
4570, 9a80
e10a, 84fe
e534, b99d
018e, b266
6241, 0b34
17b9, b873
a1d8, 340d
4694, 927f
79fd, 56f1
5dd3, 924a
e792, edd0
1d01, b1dd
cd4d, 65f9
af4c, c973
6d1d, c128
5e00, 8747
857f, 4373
8928, bfb1
f412, db7c
9267, 6212
bf05, 836f
e50f, 2bbb
b3cd, 1ff7
0a82, 9693
525a, 6961
2fc2, 1632
91c8, 373b
5098, 20da
8425, be2f
3826, c453
8519, 7589
f03c, faec
92a9, 09d3
4f70, bf2f
f8c8, c4f7
1444, 7e8e
b06c, 82a3
da0c, ad3f
fa5e, 717c
7718, 23b5
4f22, e9e5
45f8, 10d1
3c82, 3a33
a38c, 87e2
9025, 39eb
8969, 83d5
2506, bcfc
1ee3, b122
91a8, 8a95
6d39, 3406
57ab, 4bcd
83de, ea86
470a, 113e
8418, 58be
0a02, fb03
cffc, a566
a50a, a308
e529, b645
6224, 6a9d
c8e3, 7ede
2711, efa8
db8b, 6d51
c186, 7350
d20c, c566
0db5, 45a9
c27e, c8a8
9135, 98cf
d08a, f9eb
2339, bff3
9638, d9fb
aa40, db25
4efd, db46
42d2, 6d77
1a20, 5b89
e58d, 9095
8184, 75db
0266, 9ca5
815b, 8724
b19d, b89e
238c, 15b0
4448, 1e4b
01d9, 2979
1709, 324a
b01c, 12e6
7b24, 4a51
f2b6, 3045
d20e, ccc4
dee8, 2122
0e57, 084b
0708, 1d62
f0e1, cfed
5f5a, 2d80
1684, a3d0
efb4, b55e
76ce, 7994
ac87, 33eb
8c39, 19cf
a2f3, 7f4d
572b, 7e21
6b18, 6d2d
9d1e, 89b7
81bc, cd44
8459, 4453
1021, 797e
2c67, f080
de46, 693f
91d0, d13f
42b1, 4f5e
5de2, 4b53
1bc2, 51ac
e4dd, bdfb
66fa, 09ce
71ca, 58f8
4cd2, 429f
d43f, f7e2
3827, fd92
4453, 8459
b639, 604e
6dcd, 970b
c055, 4786
ed88, 5b54
b92d, b318
35f9, c42d
3004, 0573
3fea, 2793
c188, 6032
05f3, 77b2
4f28, b921
e3e9, 4676
d649, 9010
ac10, 3c47
4ba2, 0ecb
eef4, 7356
7655, bf52
c79f, c890
08f0, 3eff
018a, 26d9
a342, 64f5
0dbd, 5d73
d0c3, 66c2
b370, 2555
59ae, 4d56
0529, d2a4
f29c, 7704
d193, f78b
637a, ff1e
8482, 861e
d190, 3dcf
c801, 0ead
9b27, 36dc
a740, 3879
3ba9, 9ad3
10f0, a1b3
624b, 319e
582a, 17ee
5336, 50e3
52e1, b28d
faf0, fb9c
bc9f, 8f93
dc36, 6cc3
7822, 8688
3494, 2b30
8677, 2f11
473c, 7607
9a82, d429
6b6f, ba78
aa02, f2d4
f59d, dff1
7aec, 11e0
7f3b, 14d2
632b, 651b
43eb, ef41
7785, 1e83
70f2, 9a6a
a0ac, c2ff
ea84, 5158
b9d5, 6472
2bba, 3bfc
c924, cf57
c25b, 95ba
ce38, ca01
9708, 7ba2
1369, 29d2
6847, 633c
784d, b748
a783, 1973
5c66, 0116
eec5, 2685
3433, 78fb
811d, 17be
80ac, 6481
e273, 461c
92e6, 60ec
508a, 38c7
8764, 31a0
9d9f, c1cf
9822, 0abf
17f5, 1196
ee24, e81e
b08d, 191b
6d10, 6756
8313, 4c7c
9e0c, 78c7
c4d3, 3aa9
399a, 3700
0bb2, 98b0
4ba7, 9acc
0761, faad
247f, 64b7
f1ae, 0e9a
8232, 7e41
3760, 0af5
4476, f0e9
5582, b99a
f5b6, 77d7
f63b, 8f48
ef22, 5408
120f, f7b5
9c66, 32d2
e5e1, 1e9f
94e3, 31ef
accf, a3f0
cf34, dfd1
c161, 9ac1
680d, 60e1
6641, 098e
b70b, 76e6
9e54, a490
a877, a411
94ca, 64e5
eda2, 7195
4883, 8119
cd24, fed5
1e79, b914
b0c0, 5fd3
0b7b, 0dba
f0aa, 146a
1f43, 87d0
ea73, 4c51
8419, a4b7
5eb1, 5e17
83db, 2fca
4844, 94f5
731e, 778c
