2a30, 905a
0a6f, 34ed
d3f8, 11b5
7385, 8126
6c67, 129d
86ee, 3ea0
24a5, 5e47
bd12, 4c14
4644, 691a
a70e, 085c
25ab, 9667
c82e, d8bf
86ca, 5a6c
b18a, a44b
e368, 00d7
614a, fbe6
8418, ba1e
c38e, ce32
e3ca, 61a6
93a0, 13d9
56c3, a720
dbac, deac
4d2c, 7f5a
01ba, 01bc
e3f4, 219a
7887, 6d5d
7eb7, cdd0
e38a, f182
4fda, 7483
ac5a, b608
7698, 2703
e6d0, 9a2c
0f1a, e52f
0504, 764a
8850, 95e1
7e12, 73a2
dbfe, 16f3
471c, d9c9
5dbd, dfdc
144a, 0bd0
a5c3, b68f
97e7, 89b0
f454, aab9
0ad0, 85d0
8b98, 9a22
537d, c263
802a, 2357
ba9a, 518a
6308, f7fd
e0dd, b86f
337c, 3b6d
c48f, 0091
dd75, f472
a0a1, f871
f9a5, 5343
1443, c9c7
7228, bfff
2d80, 0fb1
5b64, 1126
4a8b, 4db7
51e2, 21e2
6e41, ab2f
b420, ef65
e8f9, 096f
4792, 9504
31a0, 80ec
52b6, 0d39
c9ba, 19bd
6487, 649d
9645, 8d5a
814b, a97e
79b8, cdc7
b039, 584a
98fb, eb81
2db1, bc3f
7e20, 0890
8efd, 8806
e167, ad54
1f5e, f004
ddfb, ddcb
649c, 9837
a984, b681
b29a, 04ef
17a5, 284a
c991, 1279
20a5, a078
23b8, ed16
66ba, 8084
2539, f071
f421, fcf8
9cd0, c1b8
19d7, 7569
93dc, 8938
fac2, c158
de2b, 79f2
1173, 9a30
a41a, 3e96
2b1b, fa16
6156, 75a2
e570, 4bea
285c, e908
9322, c03b
e5d9, beb1
4aa4, d753
fa4f, 1287
dd38, d887
d24b, 3249
28c2, 2a0e
1edb, fe1c
3c2f, 520f
a744, 0de8
c915, a61d
5434, 2684
146b, 4ac3
f6f2, ddd4
b437, c8bd
3b36, 76d3
fc21, 72e1
6645, 2e4b
ebd3, 35a1
e053, 2c7d
7384, 2f6e
c1dd, 8041
3885, 783b
84e0, 63a0
e4f4, 523e
32f9, 6c57
1db9, cd0a
3d7f, 8d24
1542, 2d95
b68c, b4f2
8e18, 9aaf
0e1e, fe17
91f3, fa29
90f5, 4edc
6665, 6ab2
68c3, d088
7a2c, e9da
0c16, e34a
2692, 0a7d
9bdc, 9def
0f8c, e849
de4b, 3fb6
c8f1, 1ba2
ec37, 2b2f
bff6, 2f5a
4e4a, fe2f
62e6, 5cd6
124d, 671a
6b99, 17da
b8b4, a960
16f0, cc9c
d399, 82ee
4305, fef9
2d38, 0315
d129, 779e
9145, 9d4e
1915, 9747
5f07, 952a
b217, cc46
3094, 470a
380e, 1aec
c178, 0d4f
9e73, f11b
3532, 5651
39ee, 2789
33f2, 195e
ff78, 7182
48de, ad7d
1988, 859e
d650, 7148
64f5, 75a3
da5f, 15d9
faee, d025
bdaa, 92c9
9a53, 4589
1fa4, cf7c
b826, 6a34
14ed, f92e
2907, d91f
aef9, 5c97
3405, 5329
07eb, b9a3
2505, 3f4a
3ce6, e9c2
c5a6, 5211
7d23, 1769
4fd1, cba0
2fef, 2864
c787, c987
6873, e3bd
aa2b, 92c3
7b0e, 7f50
0811, 9db2
a663, 5bc5
1e9c, 9471
57e1, 8391
64c1, 3ede
a9c1, 3c0a
2421, 27bb
adf1, 8bf9
9b66, 0a46
c1a7, d6ac
a978, abe8
828f, 9003
cb80, c03a
6684, f5df
8fe5, c00b
087e, 6786
5af1, b675
216c, f93b
5cf3, 0727
90bb, 5406
7c90, 3790
43d0, 3edf
b82b, af85
211a, b745
209e, 7817
f45f, f655
9a99, a8f1
d2ca, ed30
18c9, af79
c2a1, 884b
a450, cf62
ba38, e6fe
a8c0, 0827
5b39, 5301
9387, ce76
4ec8, 4aa5
8fad, 38bb
4a88, faea
d699, c5ee
5725, a7c4
4528, 2293
2929, d9d4
eeea, 085d
4538, 58c1
67fc, e2f3
e9cf, 6b53
e396, d729
2f63, 85b3
4f99, abff
6d9a, e033
b81f, d00d
f13e, cd5e
83b9, 96ff
5e3c, 55c0
e6c8, 3e8b
7152, 7a94
88d5, 8ef8
25aa, 096b
eb6a, afdf
3ea8, 5168
e67d, 0768
6f0e, 9725
8092, ce35
bdbd, 688f
f3f7, 3b27
c94d, 0fff
bef2, fc26
470f, 8a6d
baaf, 9c32
d323, 8681
0e48, 2206
2e2a, 9858
eb7f, 3f41
4c37, 99fd
c50f, 48ce
adab, 254d
a7ee, d938
9edc, 69e8
19cf, 5a4f
ddfc, 1e62
e39c, af09
06d1, 53cb
defc, 15bc
57ff, 5a3d
d1f5, 376a
57cc, da4b
6f16, 5629
8bc8, e609
ff37, c454
4082, b353
d07f, 24a3
e20d, 9245
0290, 5960
19a8, fa24
1d19, e154
8c44, 122a
e811, fa8a
d0ca, f2e0
ab10, 5f9f
7728, 11e9
540b, 68a2
4073, 2039
9804, 4315
1b1b, c4ff
32e9, 69ea
a84d, 17f4
5d94, a16f
0fab, e3e2
9c36, 8e6d
dad1, 1c58
90a1, f172
411e, 9c15
47bb, fa8d
2ef4, a8ee
6274, d1f9
3b37, 2c34
428f, 6203
8853, c6be
fcc6, 3923
0529, 4f59
168d, 81e3
8e14, 9682
7d63, 81c6
f6b0, 4334
8abf, f53b
eb36, 7910
4b3a, 2fea
9cde, b6a1
f124, be33
ad6d, 5f3d
aafa, 2e89
a629, 3087
826a, 6771
1a5e, bb55
76b2, 99d5
efa9, adc3
008f, f3e8
7ab1, 3e4d
5c72, f5da
9667, 25ab
c0a2, cd32
ce9c, 86b8
5a00, 5527
0239, 8cf6
1161, 1878
335b, 69da
0f70, e6ce
