8a23, 9665
208e, 903e
4e08, 0817
6d34, 7b54
d0a5, 7f9c
96b5, 6540
4a23, f520
0e16, a13e
6bb4, a5db
c959, 1b7f
f7f5, c604
ae24, 1ae8
d578, 8611
6cb1, facc
feac, 09ba
d048, 4693
fcce, 4816
9660, 90bb
b0e3, 3eed
641a, 904c
7b28, c1c8
40c6, 3ee5
2743, c6e7
b06f, 48d0
6778, 9fb1
1445, 4fbe
75c0, e528
a91a, c421
94d9, 4228
7c59, 67da
6544, 0e08
ac18, 2863
8861, 8367
5602, 6df7
f52e, c853
db55, 9b55
03f6, 97e8
075b, 1e87
0796, 69f9
3623, eb23
5fed, 7de3
61a9, b70b
0074, f2be
84cd, ba75
4cd8, 5db2
8b23, 7dfa
23fd, 011a
4e2e, 77fe
0434, a434
5864, 38aa
72d1, 3189
81a1, 7539
a736, 87c6
1d66, 75ba
1be6, f3b1
6ed4, 7fb4
5750, 78d2
bf3a, b1f6
e8c0, b39e
b685, 16a7
01ed, f594
968d, adf3
0f08, f18c
443e, a4a0
e947, 1c87
deb3, 22a6
b502, 679a
d2b2, a25f
baa4, 547e
bd27, 8dd8
828d, 97f7
708a, bd4d
d99c, 2c45
3780, b265
afe3, fa25
638f, 2960
38ed, 17af
91d3, 4d7e
0e06, d985
a7e9, 2769
f046, 6e65
b574, 1a88
db86, e1dc
6c8d, d746
f622, 9eb5
3599, 3c96
febb, b4d7
5d2c, 5f84
738a, d03b
fdb5, 1b6e
877a, 8277
5695, e008
1aa2, 6a12
595e, 67db
3261, 794b
b64d, 7be7
6d14, bdad
7a38, 6e15
353d, 5f17
ed5e, d89b
f6ec, 165d
59a3, c16a
d0f6, aef9
5f69, 3f73
5a25, d256
1c06, 74d1
d14a, 954a
ec9a, 8544
d145, d94b
7145, 3461
c1c1, 31a6
6849, b802
8d57, ec91
09ea, 144a
ddcc, 6142
d18d, 2a5b
6b9c, 860e
d0fc, 7917
b23a, f94a
21a4, f1b6
cfa8, 7b93
8552, f0ee
92dc, d4d0
30c6, 6327
a6ce, 05c5
31b3, b306
3bd1, 2635
f077, dfaf
4f0b, dc23
0d3a, 369e
e1a4, 5182
7cd2, cfe0
37e5, 64ab
57f5, a25c
9f36, 4745
1cf4, 8788
b53d, 655c
e665, 98ff
9252, 3abf
289e, eac9
1aff, b4da
d9a1, 91ef
ad8e, 10e3
8a3d, 9a29
7a21, 0f6c
bb38, 3900
39db, 576c
d969, 48cf
fdfd, 4d18
a66c, 0928
f31e, 39fe
bc8a, 82e9
71cc, b0d3
383f, d79f
2905, cd34
913e, d1ee
7b1a, 06bc
3e1f, bca0
c06a, 7c6d
27c4, 4424
d1a5, 5e06
4c00, 3f6d
7e71, 8e99
19c0, b093
61d8, 28d7
e9be, 7021
77bd, ee32
c7b4, 7210
c5bd, 63c9
0fde, 4faf
dceb, 4c3c
2a58, 1c5c
4fa4, 74fe
849a, 83df
9d88, 3db7
e3c2, 27cf
c82d, ff7d
6507, 3fcd
fc81, 5941
6163, 8ef7
70a5, 7019
8a5e, 3a88
be06, 31a5
442d, fac8
8dfe, b04c
9ae5, bc4a
953c, 68f6
a5e0, 9c53
b5b2, 826a
8f4e, 5ee9
9f21, 1d26
f2d6, 4486
cb34, de84
6bd2, 28db
db37, 0cab
cc9f, ccf9
b709, 1733
fe28, 8ffa
2a16, c60b
6229, c07d
aa0a, 3558
a3ae, 6366
ad4e, a3fc
25a0, 5813
ea26, 2f95
5c80, 8db9
d981, cdc6
2a10, 3340
a3d2, 2355
bdf8, fa08
636c, 1027
2368, 2481
0c0b, 56c7
446f, 4372
6940, 9d2c
3241, e972
f572, 1b15
67f0, 71ce
5cb2, 2c62
8c9f, 5711
aa21, dde1
3888, b5f0
20a0, d038
97db, c95e
a8d0, 09a1
ed85, ed11
b54b, 8525
6031, b0f0
e183, 55e5
2df6, 29cd
97ae, 297b
1c34, f8e8
810c, fefd
e06b, d3b6
5894, 7dc4
410b, be0b
6572, 92a4
ab0e, 02cb
1fc0, a32d
04d5, 3936
4ed3, 4fc4
487a, 3791
cc12, aa82
108a, 4fe9
81ba, 6c36
6aa5, 28aa
88cd, 5e2d
2089, 5cdb
4808, f808
ae29, c490
3a4e, 024d
cda2, 7ad8
1131, d04f
03fa, 56ec
2456, a7d8
d6e7, 1c27
5101, d0f5
eaaa, 4ac4
8358, 764f
6fec, 8dec
7bb9, 6a19
5a73, fd7c
dd9f, d894
c6f6, 1183
7bd3, 53d0
dcab, 27a5
65f7, 0a0a
947e, fd16
5eed, a4a6
b442, e37d
8990, bffa
9832, 64a8
b7bd, 046d
c400, 6ffb
546f, 3ba0
9bcd, 1603
3bfa, 4015
a3fb, f53f
69db, e7ee
736b, 0eb5
69c4, d37c
1489, 94a9
1c7f, 75d9
5218, 2873
1660, 8668
edd1, 56d4
3a87, a967
6597, fa8d
c840, d6c0
50f0, d112
05b5, 66da
366d, ba0c
ee88, cca4
6f69, 429a
2114, 5ae9
ad77, d922
ed99, cbfd
f97f, 4441
50d8, 2302
65f0, b8dd
81b2, 1f82
b549, 571b
14a1, 8581
9666, b5b1
de89, afda
080b, 2a0b
6fae, 68db
2d12, 143c
bf23, 5730
8289, 165f
53bf, c1b8
f650, 1dec
11c3, d97e
d968, 5e6f
494d, 367c
7861, 03a4
b498, 4bd3
940b, dccc
7961, 5aef
294e, 9359
f41b, f27e
ef70, 8f1b
2d99, 8472
788f, 6f86
dfd3, 38d6
9c42, f977
7647, 4aa3
5eb8, aaa1
a985, 1ced
090e, 237e
1592, a3db
0fd1, 9c99
42d9, 1236
a9ef, c8f9
eb67, 3b67
e925, fbaf
235d, 9f8d
8d68, bac0
