1f47, 70d8
a09b, f00c
a8aa, 69b5
4303, f0fd
48e8, cc03
9dc8, 8a2f
dc37, e97b
aec6, 2399
b9ea, 0515
07bb, 8953
0a44, 1233
59c6, 88d6
ff6e, 5934
2533, 453e
0cbb, b33b
c798, a809
bb6b, c6ca
0e22, 0c64
13fa, 9bfa
46d5, 4fba
9c3b, d15c
6ab7, bbd8
7092, 0053
48bf, b493
7241, c139
560c, 7ec4
3c6b, 78c8
fc2d, 6bc0
0fbe, 08c6
68c4, ebdf
37c1, e224
eafa, eb3a
999c, d49d
53f4, 585c
03f4, bcc1
96c8, 3b78
295a, e994
028b, 75a5
8c12, 1f48
5431, 99f4
5a16, 8c1f
0cd7, c171
dcaa, dc82
077c, fb95
c7df, 5ea8
ae2e, 83f4
b497, db10
b149, d5e1
82f9, e69c
2a43, 119b
5521, dab1
d2d9, 276f
1b13, f291
349c, 654b
1c0c, 8bcd
ee4b, 4c43
cb14, d93f
37eb, d682
5d5a, 30e4
89fd, 6773
19dc, c7bc
8577, d532
8236, 28e3
162b, 3888
ce5d, 05d2
5167, e1e9
fa2f, 6a4f
aec6, 2399
4a69, eead
df84, f148
5948, de4f
fa19, e193
8103, 3c7d
dbe1, c3e9
b545, 5a9d
225c, c691
d628, 6f74
424a, 7cea
6a1e, 138d
8dcc, 108b
5a6b, 036f
ec2d, 1126
73af, c728
9cfc, 7833
096d, 4949
7286, eaa6
4d9b, 132d
dde5, 2635
f811, 98d1
0eb6, 13d5
e406, 3902
680c, 84de
dac0, a14c
ab29, c443
3eec, b0ec
1cf6, 951a
8eab, bb79
6270, 8410
3ac4, bdb6
bf29, 3128
3bcb, ebcb
4490, f59d
e068, b6c4
1348, 4343
9807, de41
f9f2, 4c7f
b5d2, 15c6
0e32, 78e9
ecbd, be6f
890b, 239c
f019, d81f
a94a, 0af2
2cae, f9bc
b117, 7a6c
cd13, 5410
044f, 9a33
7f77, 54db
e45e, 388f
3313, 386f
daea, e970
1318, 96df
631c, 7e2c
4834, c8a9
acca, 06d7
6c9e, f457
1331, 9ea9
a06c, 6668
cfc9, 0c11
e9ba, a2a4
093f, e9a2
0ad4, 6fc2
d849, 7c1a
a268, 4392
a279, 35d0
965b, 185c
0dfe, aa0e
3e7d, 7209
de0b, 7f55
496f, c629
295d, c094
bb4d, 5b45
803a, 487b
c02c, 3e7f
3b1f, a746
59fc, 5372
57f7, d737
15b8, 57c6
6be5, b3bc
fdb0, 34bf
8500, 37cd
d3e4, feb8
8ad0, c276
1851, 57c5
aa0b, ca9b
ea17, f0b8
c780, c7a6
747f, c99d
9bbb, d66d
9531, f850
8e7a, 5f77
9138, b882
32bd, 364d
dc88, d555
584f, e82a
fa1c, 98d6
0c68, 0f0b
b4af, 828a
921e, d9c5
870c, 239b
9844, 1d94
2638, 56a4
e12e, b388
3927, e2ca
32eb, a42f
1d9f, b5d1
d153, 9558
2c93, 50c0
a558, 13c4
f777, 1221
97ab, a233
2654, 53bb
7984, b41c
82cb, 622c
9b8c, e154
4999, 8f48
b105, 75a9
bd89, afbc
3d57, 8d84
f282, 9230
eaa9, 7d09
a2ed, 8bc1
4dc6, 674e
d17d, 9e3d
470a, 7a31
509f, 8692
1ab5, 5772
24dd, 44ab
72c3, 8d5c
bd65, bfec
faf5, 474e
67ac, 8153
6559, 09b1
14a0, f26b
8587, b49d
5f68, 0db0
3c8f, 81da
dee2, b4b8
b99d, 6128
af80, 75df
654b, 349c
3695, 7d87
040e, ed8c
4e8f, f651
6477, 9d0e
3ea7, 891a
b5cb, 342e
c334, ccb7
2c9b, 363e
c60c, 100d
4ba2, 678f
3cb1, c6e3
b7b7, a3dd
eaca, 92da
68fc, 32a5
9687, 9607
875e, 5f93
c16b, bf01
19ac, e9ac
05b7, cac1
a858, f439
f03d, 924c
1743, 4cac
968a, f313
152e, 9431
9426, 82df
4d94, 9d54
1161, a37a
e02f, 3d2f
dcc1, 8cd7
6327, 0e71
a5ca, 234b
1109, 9514
92c5, f73f
e37e, 2975
e869, a85e
51bc, 40d1
e0e6, 508f
11d8, 322f
687e, acf5
386d, 2c00
d6a9, 1313
2c89, 5c17
5e78, d42e
6a43, b220
0e8d, e7f3
4c42, 1414
a87c, d211
4377, 5ec5
dced, 3069
bc24, edc1
371a, 8ed7
9a09, daf2
86b1, 3bb7
e3da, 58b1
385a, cb50
526a, 7562
b2fb, c751
feee, 4e6e
4b92, 2e77
0048, 27f1
184a, 2bd8
bda7, 6ab0
21ec, 4c8c
6e34, 189d
67fc, a4f7
e94a, 27ea
2996, 3433
e4e7, a8be
4c77, 3ca1
6d11, 76d0
298e, 4c5b
474d, 29fc
52e9, d445
077a, 5c01
911f, f902
6072, 7da5
aaec, cc80
a7a3, 2cd6
176f, 02c2
0f3f, b107
363a, 8657
10fc, cb4c
1223, 87e7
4779, 0816
465e, 4b55
c92d, 0ed6
8654, 041a
2365, 10fa
613f, 026a
e9de, fc85
a735, 496d
137a, b50c
2f6b, 0669
6611, db31
893d, a637
499c, 224d
c764, 55f8
5810, 9c3e
aaa4, 0aa4
bb79, 8eab
d1e1, 82c0
4e92, 1768
1aed, bfe9
a0a0, 6868
064a, bb4a
c109, 7b86
835f, c504
fd5b, 4c7d
74d1, 353f
00bd, aada
885f, e788
224b, 4ee0
041a, 8654
5ffa, f9d5
caa4, 53b8
6970, 87a4
950e, 4a7c
2c26, 5679
58d7, efda
afdb, b082
