e568, daf3
139f, 113b
9532, 971e
5507, c17c
c706, d4a5
78c3, 0bea
50a2, 7db4
1067, da86
ff8d, 4614
55a2, 3ef7
6d5e, 6b38
91f4, 6dde
fb25, 2650
796d, bf65
e477, 48a6
955d, 396f
fb02, fd99
ae19, c8dc
b6dd, 1f1d
4825, 5543
57dc, 7376
f215, 5c90
0e13, 7fa4
14b8, 0a9c
d19b, 38a1
2aa8, e335
555b, 63de
1de4, 1f38
8815, 8764
f841, c20c
d96c, 8794
9284, 6730
4eb6, 181a
b6c8, 6228
4a18, 4672
31d7, fa46
de08, d959
2bd5, 837e
0e77, 802e
5668, f3cd
fcf3, 2bad
5323, bc4d
debc, 5bb1
ccd2, af57
db1c, 7f90
219d, 3f3c
2e49, ddd5
133c, 2710
0f9a, 2b4e
7e92, 13f9
58ea, 5c11
c4e8, ded1
8c32, c9df
1464, 1f8b
eb74, ba15
2ee7, d8ab
9d3b, c09e
9a48, 9e3d
dc38, ca98
052d, 0b48
8a4d, 29df
35ae, d4ff
c76e, feab
b878, d68f
543c, 4942
b4b1, 5161
b5fb, 621f
4a89, 5704
4fba, 549b
4663, b689
9dda, 2dd1
f99c, 737d
69c0, 0c6c
3d78, df82
7f48, 213e
d0b5, b574
7369, 3292
a48d, 8946
d43a, a625
c231, 164f
4a09, 7eb6
a525, 05fe
13ef, 8d1f
ea36, 8fa8
4d7e, 4a79
2787, 5974
155a, 1c26
3adb, a10a
1093, 9099
8e29, 96a8
2d03, 9072
8062, 5302
bdbd, d8bb
e40a, efd2
0197, 0a94
a555, c672
73b2, 1325
ebc9, 6137
0371, 8bc5
5143, 0ddd
321a, d913
359b, 8c20
9570, cc78
cc3e, a230
f1ab, 9044
58f0, 5377
3dc0, 29e4
1e6d, 3f0c
cf4b, 7683
27f2, 9be7
7143, f103
1910, 2469
27c8, dfd1
b026, 272f
e8d0, b097
aec6, e8d1
3225, 8554
4c93, 580d
50b1, 890a
88fa, 4ea1
9816, eb9d
d6e7, e83b
0980, f66d
83d0, 52a6
d956, 7c16
ce07, ee70
0fbf, b59a
3117, 3416
8088, 0cc0
e9e6, 0521
19c8, c2d7
2dcd, 2bcb
172a, 24e0
83d7, f004
f538, 1076
254b, a715
77ec, d09e
53b3, e190
dd2f, 2638
65e2, aee4
40c9, 5236
b5d5, 2825
5443, 19f1
e7d0, d462
a3e1, a497
3df1, c976
4e73, 477f
da1b, f0d8
c972, fdfe
d574, 9997
efa0, 1768
af6d, 4704
1c0e, 577a
4a93, 3478
2b29, 51c8
20a0, 144b
bbd4, 4d65
2dfa, 0670
6a7b, 3696
9602, 477e
cbe6, 0390
69ec, d70f
9b61, 7d86
eb2b, 9496
2363, 4f2a
6055, e004
8c61, 4d46
52e4, eadb
2f3c, 1861
b87e, b764
2fd9, ea35
2cb7, 8b3d
0ad7, 84c0
ffb3, e184
59ef, 4302
2e02, 9136
96fd, a0d1
f9a3, 02da
ed61, d987
cc91, c59a
ab48, 64a6
502b, 3b64
934a, 4630
3ee5, c711
ed44, e55d
1d5e, 4664
cc13, 0900
9480, dc8e
e231, b629
2c44, 838b
9da6, 2792
5af4, 66c7
cc44, 375c
003c, 0838
85bf, bdb7
d761, b452
21fd, a1da
4c9a, 635e
519f, d24c
670b, 6692
a47f, a776
5439, edb8
83aa, 61b4
d7d2, 17d4
2b20, f70c
f451, 7c98
e43d, 197c
963d, 5e8b
7863, c8cb
667b, 900c
5199, 11c7
77e4, 31aa
4ee3, 0955
2ee6, 55f4
3016, af56
771b, b4b5
a6d4, 8faa
494a, 49f1
e226, 2e9c
ecab, bd31
88e0, 56e5
c35d, dc20
894f, 8f18
8984, 17f4
bf71, ae15
61d3, 0573
7ba8, abdf
41e5, 6be7
5acc, 51c0
bf15, 58e6
ecb6, 9ff0
b496, 6cb5
7c3f, c0ef
69fc, f69e
1414, 73d3
eac9, 4e96
3b7b, 5b91
922c, 4469
c4ad, 6b91
e5ec, d9c3
4dc5, 6dfe
baa7, 7e74
ad87, 1d84
8009, 8453
3ae0, 8723
e048, efa5
dee7, ea81
d372, eae7
68ea, 7578
03e4, a6ff
77b2, 46ed
2ebf, 5d96
9107, f2ae
4a12, 4fe6
0ec4, cc2b
7bdd, 742b
6cbc, f232
608a, 450e
06e2, 5464
1aa7, 813d
39de, 37dc
5dbf, d37e
ab46, f2bc
c9e4, 2b6a
80ae, 5353
83b4, ff99
de54, 487a
f127, 911f
4079, a40e
d78c, 90f9
ff9b, b1b2
86b8, e299
b354, f9c9
a5cf, 9767
390a, 4d8b
508b, 0d74
e025, 3b0b
c1a6, 98b0
da14, 5929
6273, 4644
f1f7, 3988
556d, 4b1c
9c4c, 69ff
e674, f406
8ec9, 4b3e
160d, 3d63
8f55, 131b
f137, 6b97
d0d6, ead5
8d3f, cd61
1aaa, 6d56
0bbf, d011
dbc3, 12b8
a782, a338
00ad, ed4b
63ff, 2bf9
8a4e, b9a2
d57c, 4570
a21b, 44f0
2b6d, 152e
c743, e238
b2aa, 4e87
dfa6, e6f6
7b5b, 9c87
1a31, 84f4
b907, 66a7
b130, 518e
2dd1, 9dda
f6d8, 70b8
9bac, dc3f
0892, 6993
6cd2, ddd7
12eb, 28b5
f580, 5835
ba15, eb74
c507, 8e9c
ed15, c80f
04fa, d590
70a6, 4fa1
092e, c7ed
a4ce, 7fbc
7300, 1162
c14c, 5d8a
28d3, 0bc3
818d, 1af5
49d5, 763a
7819, e403
9528, dd03
56d4, 1361
719b, cf2d
d5ae, d52e
f52c, 9a84
