95d2, 2e96
8ef9, fe78
1379, 59ed
b404, 0673
1a1d, 26cc
1ce4, 684e
6eb6, 2d04
1883, 08f2
a518, d7d0
46f1, 2a9b
a4e6, f85f
0c6a, b5ab
6a70, 5224
5cfb, 2e7a
9782, 4b48
db28, 6d77
3924, c94d
016e, 842b
d4bf, 1b20
46b4, af2d
3f21, aab4
b9cd, 431f
64b3, a274
5bf3, fb23
3b39, fa57
c926, 4e8c
1836, 033e
3049, c535
fd5d, 3891
c146, 8985
71db, f83f
86cb, cca1
f136, c3f8
cecc, 973a
afb6, 3f9e
78ac, 1a7a
1d2f, aa73
2fd6, a996
79e4, b96c
c87d, 3fe8
5c31, d0df
bd7f, b403
7297, 10e0
4903, 59e8
8923, 1d5e
258c, 85e6
7042, 6acc
2359, 8530
1a4c, 8e1c
e269, 9837
0793, 1210
ed13, 4db3
9b79, 65c1
e640, 1814
c858, 3ced
61bf, e341
0fd1, fa92
b5c0, 0077
64a2, 74b8
c120, fc6f
5056, 48d8
f58d, 9858
98f4, 7783
8c3a, ebb0
2cf6, 1b25
2821, 3222
4e74, ea72
bce6, 89e5
a97c, c910
c8f3, 045e
da46, 8ebc
5b4b, 416f
9ab0, 0b5a
f827, 5fac
88b9, 990c
151a, 468a
cc4c, 005d
a6c6, 8f1e
c28f, b1af
0541, 8dd1
5180, 75b1
e710, ea41
c51d, 0214
b865, 97ee
47fb, 9457
566e, 18fc
4ec8, ff91
5d28, 2f85
ef7d, 4d72
aefe, d823
bc5c, e3de
4030, a4dc
ed92, 959f
9306, 6ea2
0cb0, e989
52b3, 84df
76ac, c747
35d0, 40e2
bec6, 98e3
c340, 7f5d
a92f, a3ba
3795, 585e
4943, 34c3
3581, df56
b482, 893b
5e72, 4be9
ae2c, 1fd2
12e1, e129
d3ae, 5cf2
b7a1, 1c2b
99a9, 6444
b0e7, 29e0
004a, 44b5
41c7, 2f10
d1c9, a400
ea95, eaa0
1d7f, e276
bd2b, 374f
a95d, 7594
b6b8, b763
9012, b1c8
6012, b98f
e4ee, f929
10ed, 5f15
fe8d, 726e
2daa, 01df
34b3, 89cb
06bd, 1f7c
eff1, d2c4
316e, 7ab7
d46d, c5d6
efe6, f207
b8b6, 262f
d2df, 5390
4380, 9d3a
1d49, c640
240a, ac87
3d47, 27f7
1f2a, f150
f365, 1672
353f, d038
009e, 1874
1d5f, a61c
f9ca, 98e6
5be5, 2f03
0835, b237
aaac, b50d
5186, 6bda
3162, 3a51
ce95, e2ae
ead4, 99c1
4264, 5a13
eca7, 987b
93e9, c917
6142, 288e
e986, f4e7
d3fa, d308
3171, 0d90
2c11, 6346
3ace, ee2e
81ed, 2635
14a4, 5e78
a601, 22ba
7185, 09ea
5207, d51b
5cb2, 9d5a
69f2, 048c
5312, 91c7
453d, d8c8
f8fb, a8a2
d29f, 6085
12e8, fdde
fbe8, e141
d43f, fdb7
2806, b744
435c, 234a
3877, d0a7
f9a8, c2ba
6a20, 3d43
21a7, e313
a0be, 864d
2ba4, 10c6
14c4, 035c
9ca6, 6b8f
267c, 6f63
b37a, b2d2
42b8, e767
df3f, e6b6
d351, 0721
8d2a, d924
6525, 5f2a
95d8, 88f7
2b5e, ca2c
b099, 3970
04f2, 3508
f28c, a7ea
bf60, f388
1dcb, ab3a
f8a4, c86a
489a, 0b47
e262, 7920
d239, 8eeb
a444, f1f0
32f9, 9778
021b, bbe4
e019, c3db
18ea, f177
51e1, 31d5
2920, 7d29
24e1, 7fe4
753b, 5cd9
ec61, e35a
01f5, 4f4c
acc6, 5d0c
deee, ad80
e49b, fb1d
6454, 043d
113c, 759c
a96f, a04e
55ae, b7fc
59ea, a179
350c, 2740
21ab, 2973
d074, b90e
cb62, 77f6
9c6e, ac66
3f9b, a832
b491, cf3b
18c8, 5283
d1b0, 4ccc
084a, 8604
bcd0, 6931
ca06, 641e
8c55, b57f
af39, a994
06fa, d4b3
2d85, 442b
f7a5, 9aaf
222d, 91c2
4e5b, aa66
72f4, d612
6dd8, 55cf
d526, 0780
0f29, 2734
97f3, b17e
3630, 312e
4ea1, 0ade
fe37, 77da
fe7c, 0329
2e7b, 3159
71b2, 5d74
c0aa, c111
e064, bf3b
ec79, ffaa
e3d5, 34bf
ea15, 51e7
0022, 9ee1
7a2e, dbd7
0e2f, 6505
5c69, ed16
7529, dbd4
cd28, 3fa8
0b88, 1939
5775, 51ab
76fe, 3d33
2705, 2130
2b67, 5662
07a4, 07ab
603c, 8fe3
f16d, c159
5fcb, 2954
d9ea, b036
6c03, 223c
2363, 9356
4e1b, 997f
153b, d2fe
f8e9, 6952
c250, dade
b938, 9e75
eadf, ac0f
5603, b5c2
afb2, b314
4481, d6bb
c870, 6f19
e6e1, 66e2
4c91, 08b3
d38a, ba5c
39ae, 8271
26ff, 56b1
7f30, ae00
ddae, 2d22
8a99, a7a6
ec21, 0415
2aee, f5ae
e981, 0d72
92f9, 3804
7348, 8720
d200, 2eda
086b, 11e7
2c4f, bdef
a891, 52c4
5dcb, f51e
efe9, 7003
381b, 42d9
e4ac, a95f
ecf0, 74f2
4e90, 6d8d
02a2, 30a3
d779, 803f
67d5, 01e6
3af7, 1dca
2ff6, e714
738c, 500a
16bf, e4c6
ae70, 13e7
7543, ef4f
234b, 81e8
d6d8, 06d6
98a0, 8337
c312, 5837
714d, e4d8
ae95, 1934
7dcf, bda8
2e1f, c6cc
590a, c70e
fa11, ec68
3c8a, 8be0
8762, 1ac6
23e3, e38d
1ee7, e539
f0f5, 328f
a486, c842
778a, f55c
0d3a, 3a08
4d1a, 6926
22b0, 93fa
63bf, 6ac5
29c3, 682e
d7ad, dd6c
d23b, 7fef
