48ac, e214
91cb, a7bc
12c6, df55
1783, 88b3
86d9, 8c28
6ce9, 66e8
ea22, ee14
987a, 3130
88de, e2a8
eef7, a822
2e4c, f693
32c8, 6902
029e, 2904
6b78, 3d3d
9bae, 9479
d872, 7e5e
72d5, 1a14
5b5d, 55af
b6b2, 1cbe
71a1, 041f
37a0, 5d5c
bde9, 2a99
ed84, d1de
e670, e5c1
abce, d139
f349, 1c7c
61e2, c71e
f8da, fab5
bbad, 4a68
7df8, 09b3
0407, 7128
7a56, 7e3c
6e85, 6af0
e72b, d504
0185, c84c
9340, 55dc
4ba5, 6406
df6d, 137b
dec0, eb06
9dc7, 67ad
ce93, b2ef
e1ba, e1f3
f136, 5b60
31de, 90fc
68e7, 7477
7a6a, 61f8
137e, d5ab
6fa9, 8c6f
9b56, 6ec0
7134, 44a2
c412, 02ec
2658, 9fc7
5ccf, ce18
80a4, 38a4
f2f3, 91fe
15d0, bfa2
e1b4, 2dcb
bd10, bb0e
0618, 19fb
86e7, 3ecc
20f7, 20ed
fb6f, 31dc
f67f, ff61
e0f8, e68e
608d, 6a57
edb7, 540a
a7b0, ee86
bf5f, d9af
eb12, e824
70c0, a6d7
2aab, 1d82
b83d, a77d
e85a, c30e
f505, 81ec
edf6, 114a
3665, 9f7f
ad6e, 8467
b322, 121e
0f24, 2624
7816, b1e3
1f83, bcfa
a7a9, bd38
e57a, e6cc
9047, 96ed
2e68, 4ab6
08a3, 0466
e067, e828
95b6, ce0f
dfbc, d6ff
e163, 2023
9301, c293
99f7, 0775
557b, f062
abfb, ba87
0e81, a58f
717f, 8bcc
ebe5, d11c
4797, 770e
e194, 5909
2b34, 26a1
a628, bcd8
1124, bd18
00ac, 0c36
cafb, 6aed
4d4a, 4dae
7965, bf6f
a910, b761
fb45, 3d21
3aeb, ce24
17a8, 4a78
00a2, 550e
6dfe, 0010
570c, 63d9
2059, 257d
148d, bbd7
d769, 4dc7
ab04, 4877
8846, 1edf
57c0, dfda
e0dc, 0d1f
a2fa, 75d5
fde9, c4eb
df3c, df3a
ff13, ffb3
36d1, 4b43
fd88, b404
1b17, 133b
e2bd, e3d4
508f, 358f
37c5, 6ba1
2920, c986
1cf4, b6fb
ee95, c705
a641, a952
2aba, 5721
78d2, 17b9
763b, 4364
bce4, 55f5
f7e1, 909b
4168, 496e
1ec2, dbc9
ca94, 579b
7247, 7ffd
7916, cd4e
a5f5, 05be
a362, ae87
339f, 3c9f
0bb2, f5bf
3cb3, f717
7392, 703d
fc26, 8b39
09ce, 1a52
16b8, 1029
c25b, 0039
6dc8, 4dfa
c03a, 336c
cb6e, 2d9d
a073, a563
c6c3, 09a1
ed12, 7eee
1210, e31a
1d26, deb5
2bb9, 3016
9442, ddbe
976b, a74c
a828, 6194
d530, 5054
c0ed, c0f7
eb0f, ea9f
5673, 1adb
dba6, e793
8eb0, bd15
8d71, a17f
5fba, 0b4b
5bc6, 19f5
fb73, 7cb5
4bc2, 78c8
7209, 1580
0c1a, da16
6a1d, 7869
a75c, f96d
2716, 20c0
cf63, 20aa
cf5d, 3eb1
228b, 3834
c858, 9c03
fdc3, b5d5
40cf, 3f1e
24ba, 9bb0
246b, 0832
4119, aeee
5240, 59f1
8563, f52d
aad4, ad10
7439, 842f
db0e, 115d
7b1f, e42f
e567, c6c5
7fee, 09ef
620d, c3ad
d5ab, 137e
7e75, 7ac1
e4e2, bedd
9b81, 55fb
9de9, 0448
7e1c, 0046
eb65, d735
620a, 75ce
bb9b, 87c7
a894, 3095
0cc0, 659c
376b, cc95
4890, 8765
262b, 55dd
a20a, c830
5365, 3676
c725, 69ee
762b, f51a
a18b, 2f4f
a8ea, a110
c173, 7d05
6e3a, c450
6c6e, 99cd
16cb, b2b5
d4f7, 0763
c337, 0c98
9fbd, 9327
7d1d, f6d1
f950, 6f73
9274, 8aca
a0e1, 51a5
249c, d7e4
e3ac, e96a
5590, 2f5f
c4ac, 2b3f
0395, 57c7
5dac, 0a03
2d25, 5785
8da5, d985
76dc, b278
4861, d153
f7e2, fe4e
e8bc, bb13
f308, 9262
ade0, e781
51fb, 2e89
afa1, ac33
64e1, 31ff
b51a, b323
97d8, 7e92
5e43, b463
0657, e77f
bd93, b3e7
7c63, a075
9c3e, 2098
2000, 65c5
ac06, cb35
3f13, 0cd5
3d1e, 2147
e47d, 7b3b
09bf, 7fbe
aa8d, eb89
d471, 42b4
ef0d, 7bd9
7ae5, a813
d75a, 5f69
607a, 069f
0cea, 6541
a768, 7e0b
82d8, 5fb6
d991, 4d2c
612f, 40b0
6c3a, ffe9
53e8, 5459
3c10, e2e4
d4d7, 83a4
9158, 71ee
03cb, a290
98c3, c74f
3af8, b705
b336, 432e
e0d3, e932
1958, a59d
640c, fb75
f675, f96a
181f, cb04
8299, 4cd3
8d76, d3f6
238b, d956
cb3d, f644
7566, 1cc3
5195, 919f
7c88, 16fe
01aa, 1fd6
9367, 56ad
ad94, d767
8509, b39e
d3d8, 440c
c77f, f5f4
3daf, 83f5
2e68, 4ab6
603d, b459
b55a, b05c
a0dd, 1475
0272, b16a
31ce, 9d54
2f0e, 1ac1
9d8f, 0efa
009f, 16a2
c9c2, a3b3
25a0, f74d
98dc, 9f24
052f, d41a
7dbc, ce07
c1ed, 5e1b
65eb, 338d
1df9, 0c85
824f, d6b5
850c, c284
2d3d, 2b79
0049, 3c14
989a, de8d
50a8, cd21
fe31, 6400
a40f, a9e9
9518, 2f35
68f6, cbf0
7eb1, 9167
26d4, 30ee
