9c21, f516
3a93, 0b72
1abb, 17d8
65ed, 6d4a
8608, ef7b
cc25, d38e
d46b, c569
9086, 3b8e
1cf6, 13fc
a16f, db60
e9a0, 5002
2a46, 272a
a072, 1d22
f99f, 109f
0c20, 079b
7f49, 7044
1dda, d421
8181, b7ba
9191, e241
abd9, e0ab
434d, 47cf
3f00, 5f75
f78c, 6bf5
3234, 9c92
e835, 9f81
a82b, d597
d892, 3465
5d43, 335a
7ca9, e11b
8c2d, 829c
65cc, 617d
c191, 81db
f8c8, 47b7
6e9b, fc55
d48d, c733
17df, 1ab1
3bbd, f0bf
050e, eb92
27e4, 3aa7
9456, c5c2
5cfe, a246
331f, 3829
e6bc, 93b9
9d07, bc21
fb80, b686
6ba0, b6bc
cfdd, e94f
4f5b, 43a8
bcc4, b117
47b3, 478c
0a82, 04fd
7a46, d783
c83e, 8ed7
c89d, cb9e
e7d0, eb02
54a8, 573b
5c6b, 00c9
efaf, 881c
677e, 61cd
999f, fbef
3987, 37fc
b6ae, ad30
8ac6, 8c12
2f6d, d55f
66a7, 2a48
1c59, 1888
a7a0, a7a5
d5f8, dd0f
076f, 7923
644e, 69f3
51f0, 7304
85b4, 08db
32cb, 6d29
f04e, 5703
cd37, 063c
aced, a2ee
8a9e, 84b1
f933, 0576
9799, 9a79
e6ad, ddd4
7d5a, 6b1e
0caf, 517d
7cfa, 0e3f
ac8b, d696
dbcd, 8e02
9350, 93a5
ada8, c99f
b686, fb80
5c58, f3a9
cb81, c88f
1a17, 9687
98c1, 9b0f
52c9, e9cf
a9ee, a453
3cd6, a3e7
6abd, 07d8
2ed1, 508e
b0a8, 40a4
12f1, cb80
358a, 5e8d
8e76, 8e7a
76aa, 8dfc
76c5, 6b41
ed40, 69c2
93df, 52d1
acaf, c626
d1f0, ae74
67ce, 6c61
0c85, 4519
4bd8, 48ee
af9b, ae4d
83dc, 4086
f08f, 6b88
b7e4, bc98
cf3d, c03e
4b52, 4ea7
1c21, 9b99
8787, 20b7
3bd8, 1e0d
7a18, 7c7e
2506, ad77
8ed4, e81e
5f6c, 2ec0
ff6d, 3b1d
69c3, 6164
e117, dc72
3189, 371b
a31f, c170
3d43, 94b0
b772, ec9e
6b95, 680c
c53d, 7600
dc7e, def9
e70c, 1bb6
cbc3, e374
2f78, 8a3e
2672, 2208
40c8, 4b1e
5f85, 36d3
56de, 5b19
310b, 3c90
9343, 9122
8882, edd9
6157, 6439
8622, bb17
c805, 4c31
8360, 8035
0cfe, 0781
71b7, 74b2
819c, 85fb
8b0b, becd
fab8, 9264
90aa, 60a3
ecac, 75a3
72da, 42bf
0901, 0404
ea9f, 8fd2
662d, 474e
456d, 6420
04b6, c711
2678, ad32
9d18, 2615
d9a1, 7249
210f, 94ca
57fa, 53d2
8798, beca
4312, 48c6
c5ca, b3bb
32a4, 8503
8f67, a4be
938f, 11ff
0b19, d02e
2c7c, 2a1f
9919, 576b
87ce, 8415
4cab, 82f6
0c43, 6ea8
606c, 76bc
70c4, 469d
f951, d4d9
46ce, 139d
3359, 36a9
c876, eeec
5d09, 123a
c6f8, 09f2
4ae9, 4f6b
2885, 2ad6
30e5, c5c4
3de8, 96ef
dd0f, d5f8
72e6, 0a9c
a7cc, 71c7
0c9b, 7c51
d0d3, 6c49
2f4a, dac5
3386, 37f9
19af, 19e4
e1c1, 9252
8e64, 814f
0a98, b418
b4a4, 3488
a9a4, db8d
a473, ad7a
577f, 349a
dd41, e547
66f0, d8dc
8424, 7b24
068e, 6f8d
aff4, ae01
7f37, b632
4af2, d417
b0ac, e3ca
ec29, bb19
0429, 06b1
aa1a, b96c
42f3, accb
1e71, 191b
e355, 8624
2d3a, cea1
8257, 89a2
afa8, 212c
36a2, 820f
dee2, e358
5b73, 8e28
3ce2, e6d9
294f, 2e48
8c88, 898b
0bab, 5629
7c48, 724b
cbe3, 2c50
e9d4, eb74
fd5c, 60e9
75b3, 5dca
2ba4, fd62
c29c, cd99
82e8, 0812
e730, 1839
a244, 0c0d
b586, b2fc
a2cd, 29c9
2142, 2e2d
d87c, e8ab
53b2, 5fe7
3daf, f7ba
6055, 7915
8a22, b119
2724, 2a49
bd4e, 8556
3d44, a19f
80ae, 4339
7001, 093e
1a5a, 9d1c
22af, 2f30
2245, 2c23
7e94, f2c4
03f4, 3b65
7b21, 7dc4
c642, 37b2
0a65, e621
678f, 7e51
79ef, 75e1
2609, d433
4601, 5926
5a40, 5c4b
5ca1, 7e52
3b64, 6ba9
0d88, c68f
4e30, 47a1
613d, 2a77
4baa, bba3
d85a, 4d3f
50ef, 5142
450b, 6eb6
5eee, 3f94
bf69, 205c
b909, b037
4704, dc57
5605, c7ea
07f2, 0119
a6fe, 364f
f913, e50e
2783, 5018
e49e, 2cf1
0211, 35fa
4714, e4de
79d3, 9356
b5f0, 643f
6695, 4080
74b7, 4428
e939, 10e6
98e5, a1c6
11d4, 1567
4605, 43cc
0dfa, 058d
26c9, 21de
dd7f, d403
c916, c51a
4471, aa71
a64c, d3ac
7a1d, fb26
61ca, 6776
a7d2, a0ad
e549, dd46
e3a4, 756b
ecd2, f09e
59fe, 7e17
7ab5, 4591
4631, a422
e9c1, 52c4
3230, 52a5
47d7, 4964
b9f6, b081
aff1, c725
e8a5, ee6e
3ecb, 57f1
5315, 0733
c0a0, c7a2
f80b, f39c
2546, 292a
a83f, ab31
204a, 1a66
b7a1, 84c3
f0b9, e90b
da6a, a6b8
dacc, 999b
c0af, 5bad
feac, 19df
396a, 3198
8229, 89f4
b8db, 32f7
eb44, e697
6a92, 1bf4
1bad, 186e
dfe7, a8bf
